chrom	start	end	ratio_change	gene_id	gene_name	gene_type	overlap_type	strand	tss	distance_to_tss
chr1	34650000	34800000	-0.1088403333333333	ENSMUSG00000037509.21	Arhgef4	protein_coding	promoter	+	34678188	28188
chr1	34650000	34800000	-0.1088403333333333	ENSMUSG00000102537.1	Gm37224	processed_pseudogene	promoter	+	34752775	47225
chr1	34650000	34800000	-0.1088403333333333	ENSMUSG00000102612.1	Gm37845	processed_pseudogene	promoter	+	34753123	46877
chr1	34650000	34800000	-0.1088403333333333	ENSMUSG00000118272.1	Arhgef4	protein_coding	promoter	+	34801794	1794
chr1	35700000	35850000	-0.1130869666666666	ENSMUSG00000064601.1	Gm25634	snRNA	promoter	+	35761602	61602
chr1	35700000	35850000	-0.1130869666666666	ENSMUSG00000101714.1	Gm28415	lincRNA	promoter	+	35806974	43026
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000001143.13	Lman2l	protein_coding	promoter	-	36445271	4729
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000037408.10	Cnnm4	protein_coding	promoter	+	36471620	21620
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000104316.1	Gm37909	TEC	promoter	+	36473952	23952
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000106081.1	Gm47280	miRNA	promoter	+	36506562	56562
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000001138.13	Cnnm3	protein_coding	promoter	+	36511867	61867
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000102845.1	Gm38033	antisense	promoter	-	36528237	71763
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000067653.12	Ankrd23	protein_coding	promoter	-	36536883	63117
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000109510.1	Gm42417	protein_coding	promoter	-	36539429	60571
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000079610.9	Ankrd39	protein_coding	promoter	-	36547445	52555
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000026121.13	Sema4c	protein_coding	promoter	-	36558349	41651
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000087589.3	D430040D24Rik	processed_transcript	promoter	+	36557701	42299
chr1	36450000	36600000	-0.1011803333333333	ENSMUSG00000089906.1	Gm6428	processed_pseudogene	promoter	+	36601802	1802
chr1	39150000	39300000	-0.1022351533333333	ENSMUSG00000098833.1	Mir6349	miRNA	promoter	-	39186992	36992
chr1	39150000	39300000	-0.1022351533333333	ENSMUSG00000026077.15	Npas2	protein_coding	promoter	+	39193731	43731
chr1	39150000	39300000	-0.1022351533333333	ENSMUSG00000092553.1	Gm20428	processed_pseudogene	promoter	-	39276565	23435
chr1	39300000	39450000	-0.12350248	ENSMUSG00000092563.1	Gm3617	processed_pseudogene	promoter	+	39314899	14899
chr1	39300000	39450000	-0.12350248	ENSMUSG00000073702.11	Rpl31	protein_coding	promoter	+	39367842	67842
chr1	39300000	39450000	-0.12350248	ENSMUSG00000102607.1	Gm37265	TEC	promoter	-	39419932	30068
chr1	39600000	39750000	-0.1063809666666666	ENSMUSG00000102471.1	Gm5100	processed_pseudogene	promoter	-	39598005	1995
chr1	39600000	39750000	-0.1063809666666666	ENSMUSG00000050967.5	Creg2	protein_coding	promoter	-	39651474	51474
chr1	39600000	39750000	-0.1063809666666666	ENSMUSG00000097083.1	D930019O06Rik	antisense	promoter	+	39650176	50176
chr1	39600000	39750000	-0.1063809666666666	ENSMUSG00000057173.8	Rfx8	protein_coding	promoter	-	39720997	29003
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000089964.1	Gm16582	processed_transcript	promoter	+	74850895	895
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000090071.4	Cdk5r2	protein_coding	promoter	+	74854934	4934
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000055197.4	Fev	protein_coding	promoter	-	74885419	35419
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000006546.3	Cryba2	protein_coding	promoter	-	74893143	43143
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000065616.3	Mir375	miRNA	promoter	-	74900721	50721
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000047021.14	Cfap65	protein_coding	promoter	-	74935599	64401
chr1	74850000	75000000	-0.1070484333333333	ENSMUSG00000089653.1	Gm15841	antisense	promoter	+	74902371	52371
