chrom	start	end	ratio_change	gene_id	gene_name	gene_type	overlap_type	strand	tss	distance_to_tss
chr1	3000000	3150000	0.1401503633333333	ENSMUSG00000102693.1	4933401J01Rik	TEC	promoter	+	3073253	73253
chr1	3000000	3150000	0.1401503633333333	ENSMUSG00000064842.1	Gm26206	snRNA	promoter	+	3102016	47984
chr1	3750000	3900000	0.1253168	ENSMUSG00000102592.1	Gm38385	TEC	promoter	+	3752010	2010
chr1	3750000	3900000	0.1253168	ENSMUSG00000088333.2	Gm27396	snRNA	promoter	-	3783933	33933
chr1	5400000	5550000	0.1610876333333333	ENSMUSG00000102907.1	Gm38264	TEC	promoter	+	5403547	3547
chr1	5550000	5700000	0.1747475333333333	ENSMUSG00000025905.14	Oprk1	protein_coding	promoter	+	5588466	38466
chr1	5550000	5700000	0.1747475333333333	ENSMUSG00000103936.1	Gm36965	processed_pseudogene	promoter	-	5618230	68230
chr1	5550000	5700000	0.1747475333333333	ENSMUSG00000093015.1	Gm22463	miRNA	promoter	-	5644745	55255
chr1	5700000	5850000	0.1244474	ENSMUSG00000103519.1	Gm37429	TEC	promoter	-	5844672	5328
chr1	5850000	6000000	0.1350466966666666	ENSMUSG00000033774.4	Npbwr1	protein_coding	promoter	-	5917398	67398
chr1	6000000	6150000	0.15866437	ENSMUSG00000103090.1	Gm19214	processed_pseudogene	promoter	-	6050045	50045
chr1	6450000	6600000	0.1260031333333333	ENSMUSG00000033740.17	St18	protein_coding	promoter	+	6487231	37231
chr1	7200000	7350000	0.10297414	ENSMUSG00000077244.1	Gm23274	snoRNA	promoter	+	7265803	65803
chr1	7200000	7350000	0.10297414	ENSMUSG00000102768.1	Gm19002	processed_pseudogene	promoter	+	7315451	34549
chr1	8700000	8850000	0.1016328666666666	ENSMUSG00000084353.1	Gm15452	processed_pseudogene	promoter	-	8792162	57838
chr1	8700000	8850000	0.1016328666666666	ENSMUSG00000103933.1	Gm36964	processed_pseudogene	promoter	+	8815842	34158
chr1	8700000	8850000	0.1016328666666666	ENSMUSG00000076135.1	Gm24276	miRNA	promoter	+	8816138	33862
chr1	8850000	9000000	0.1471311	ENSMUSG00000086195.1	Gm6152	processed_pseudogene	promoter	-	8856267	6267
chr1	8850000	9000000	0.1471311	ENSMUSG00000104504.1	Gm7445	processed_pseudogene	promoter	+	8856763	6763
chr1	8850000	9000000	0.1471311	ENSMUSG00000066693.2	Gm7493	processed_pseudogene	promoter	-	8963621	36379
chr1	9300000	9450000	0.115732	ENSMUSG00000025909.16	Sntg1	protein_coding	promoter	-	9299878	122
chr1	9300000	9450000	0.115732	ENSMUSG00000101571.2	Gm6187	processed_pseudogene	promoter	-	9398687	51313
chr1	9300000	9450000	0.115732	ENSMUSG00000104428.1	Gm18299	processed_pseudogene	promoter	-	9440376	9624
chr1	9300000	9450000	0.115732	ENSMUSG00000102272.1	Gm7512	processed_pseudogene	promoter	+	9450579	579
chr1	10350000	10500000	0.1305168666666667	ENSMUSG00000103810.1	Gm38005	TEC	promoter	-	10451989	48011
chr1	10650000	10800000	0.1041555999999999	ENSMUSG00000042501.12	Cpa6	protein_coding	promoter	-	10719945	69945
chr1	10650000	10800000	0.1041555999999999	ENSMUSG00000081417.1	Gm15603	processed_pseudogene	promoter	+	10695123	45123
chr1	10650000	10800000	0.1041555999999999	ENSMUSG00000103448.1	Gm37133	TEC	promoter	-	10784377	15623
chr1	15450000	15600000	0.10538635	ENSMUSG00000104149.1	Gm37138	TEC	promoter	+	15556249	43751
chr1	16800000	16950000	0.10000591	ENSMUSG00000101640.1	Gm28376	antisense	promoter	+	16898185	51815
chr1	16800000	16950000	0.10000591	ENSMUSG00000104133.1	4921511E07Rik	TEC	promoter	+	16930970	19030
chr1	17250000	17400000	0.1464272366666666	ENSMUSG00000100272.1	Gm28785	processed_pseudogene	promoter	-	17250492	492
chr1	17250000	17400000	0.1464272366666666	ENSMUSG00000100398.1	Gm5251	processed_pseudogene	promoter	+	17394958	5042
chr1	17550000	17700000	0.1222312899999999	ENSMUSG00000067780.3	Pi15	protein_coding	promoter	+	17601901	51901
chr1	17550000	17700000	0.1222312899999999	ENSMUSG00000100053.1	Gm28154	antisense	promoter	-	17641081	58919
chr1	17700000	17850000	0.11932572	ENSMUSG00000085125.7	Gm16070	antisense	promoter	-	17727646	27646
chr1	17700000	17850000	0.11932572	ENSMUSG00000025776.13	Crispld1	protein_coding	promoter	+	17727045	27045
chr1	17700000	17850000	0.11932572	ENSMUSG00000099895.1	Gm28153	antisense	promoter	-	17805417	44583
chr1	17850000	18000000	0.1130765333333333	ENSMUSG00000100554.1	Gm7690	processed_pseudogene	promoter	+	17947041	52959
chr1	17850000	18000000	0.1130765333333333	ENSMUSG00000099473.1	Gm18775	transcribed_unprocessed_pseudogene	promoter	-	17999622	378
chr1	17850000	18000000	0.1130765333333333	ENSMUSG00000099591.1	Gm17969	processed_pseudogene	promoter	+	17993813	6187
chr1	18000000	18150000	0.1353813333333333	ENSMUSG00000099473.1	Gm18775	transcribed_unprocessed_pseudogene	promoter	-	17999622	378
chr1	18000000	18150000	0.1353813333333333	ENSMUSG00000109887.1	Gm28756	processed_transcript	promoter	-	18059056	59056
chr1	18000000	18150000	0.1353813333333333	ENSMUSG00000102001.1	Gm28755	unprocessed_pseudogene	promoter	-	18016186	16186
chr1	18000000	18150000	0.1353813333333333	ENSMUSG00000101717.2	Gm45784	transcribed_unprocessed_pseudogene	promoter	-	18058269	58269
chr1	18000000	18150000	0.1353813333333333	ENSMUSG00000025774.14	Crisp4	protein_coding	promoter	-	18145902	4098
chr1	18600000	18750000	0.1606251333333333	ENSMUSG00000101306.1	Gm5252	processed_pseudogene	promoter	+	18708428	41572
chr1	25950000	26100000	0.1624332	ENSMUSG00000101618.1	Gm18443	processed_pseudogene	promoter	-	25997159	47159
chr1	26400000	26550000	0.1233163466666666	ENSMUSG00000099458.1	Gm19123	processed_pseudogene	promoter	+	26466236	66236
chr1	27300000	27450000	0.1074965666666666	ENSMUSG00000100310.1	Gm19641	processed_pseudogene	promoter	-	27336768	36768
chr1	29400000	29550000	0.1203606333333333	ENSMUSG00000099257.1	Mir6342	miRNA	promoter	+	29421488	21488
chr1	29400000	29550000	0.1203606333333333	ENSMUSG00000099492.1	Gm5525	processed_pseudogene	promoter	-	29485915	64085
chr1	29700000	29850000	0.1038580666666666	ENSMUSG00000118548.1	AC125120.1	processed_pseudogene	promoter	+	29813154	36846
chr1	29850000	30000000	0.1000044333333333	ENSMUSG00000101726.1	Gm7858	processed_pseudogene	promoter	+	29930094	69906
chr1	29850000	30000000	0.1000044333333333	ENSMUSG00000096829.1	Gm23771	miRNA	promoter	+	29985934	14066
chr1	30600000	30750000	0.1027995666666666	ENSMUSG00000053185.2	Gm9898	lincRNA	promoter	-	30719962	30038
chr1	31200000	31350000	0.1213135333333333	ENSMUSG00000086727.8	4931428L18Rik	protein_coding	promoter	-	31222684	22684
chr1	31200000	31350000	0.1213135333333333	ENSMUSG00000026063.4	Pih1d3	protein_coding	promoter	+	31222838	22838
chr1	31200000	31350000	0.1213135333333333	ENSMUSG00000077664.1	Gm26145	snoRNA	promoter	-	31259719	59719
chr1	31200000	31350000	0.1213135333333333	ENSMUSG00000100205.1	Gm4850	processed_pseudogene	promoter	+	31267326	67326
chr1	31200000	31350000	0.1213135333333333	ENSMUSG00000100592.1	Gm28645	processed_pseudogene	promoter	+	31274892	74892
chr1	31200000	31350000	0.1213135333333333	ENSMUSG00000094215.2	Gm6489	processed_pseudogene	promoter	+	31286945	63055
chr1	31500000	31650000	0.1338209333333333	ENSMUSG00000101093.1	Eef1a1-ps2	processed_pseudogene	promoter	+	31559540	59540
chr1	31500000	31650000	0.1338209333333333	ENSMUSG00000070960.4	Gm19680	processed_pseudogene	promoter	+	31615149	34851
chr1	31650000	31800000	0.1247233333333333	ENSMUSG00000088620.1	Gm23032	snRNA	promoter	-	31656738	6738
chr1	31650000	31800000	0.1247233333333333	ENSMUSG00000082159.2	Gm7910	processed_pseudogene	promoter	+	31736057	63943
chr1	44250000	44400000	0.1252677333333333	ENSMUSG00000100966.1	Gm5700	processed_pseudogene	promoter	-	44331036	68964
chr1	44250000	44400000	0.1252677333333333	ENSMUSG00000100769.1	Gm28893	processed_transcript	promoter	+	44392809	7191
chr1	44400000	44550000	0.12499315	ENSMUSG00000101567.1	Txn-ps1	processed_pseudogene	promoter	-	44464231	64231
chr1	44400000	44550000	0.12499315	ENSMUSG00000056870.9	Gulp1	protein_coding	promoter	+	44551511	1511
chr1	44850000	45000000	0.1460229666666666	ENSMUSG00000100013.1	Gm19480	processed_pseudogene	promoter	-	44874152	24152
chr1	44850000	45000000	0.1460229666666666	ENSMUSG00000101251.1	Gm3496	processed_pseudogene	promoter	-	44924893	74893
chr1	47550000	47700000	0.1126670999999999	ENSMUSG00000104067.1	Gm37196	TEC	promoter	+	47605996	55996
chr1	47550000	47700000	0.1126670999999999	ENSMUSG00000100033.1	Gm8337	processed_pseudogene	promoter	+	47657693	42307
chr1	48600000	48750000	0.1200424266666666	ENSMUSG00000101721.1	Gm8354	processed_pseudogene	promoter	-	48733090	16910
chr1	49050000	49200000	0.1008988333333333	ENSMUSG00000092790.1	Gm22693	miRNA	promoter	+	49095444	45444
chr1	49050000	49200000	0.1008988333333333	ENSMUSG00000099698.1	Gm28740	processed_pseudogene	promoter	-	49173374	26626
chr1	49350000	49500000	0.1033105266666666	ENSMUSG00000099627.1	Gm6757	processed_pseudogene	promoter	-	49400729	50729
chr1	49350000	49500000	0.1033105266666666	ENSMUSG00000099577.1	Gm3605	processed_pseudogene	promoter	+	49498553	1447
chr1	49950000	50100000	0.1189331499999999	ENSMUSG00000101760.1	Gm8384	processed_pseudogene	promoter	+	50056782	43218
chr1	50100000	50250000	0.1326912333333333	ENSMUSG00000099608.1	4933411E06Rik	lincRNA	promoter	+	50107470	7470
chr1	50100000	50250000	0.1326912333333333	ENSMUSG00000099864.1	Gm8391	processed_pseudogene	promoter	-	50178291	71709
chr1	50100000	50250000	0.1326912333333333	ENSMUSG00000098249.1	Gm27330	misc_RNA	promoter	-	50222520	27480
chr1	50250000	50400000	0.1153554333333333	ENSMUSG00000100451.1	Gm29665	lincRNA	promoter	-	50398079	1921
chr1	50400000	50550000	0.1077805	ENSMUSG00000100451.1	Gm29665	lincRNA	promoter	-	50398079	1921
