seqnames,start,end,distanceToTSS,geneId,SYMBOL
chrX,106011556,106012093,0,67075,Magt1
chr15,75713267,75713500,679,14787,Rhpn1
chr10,79779936,79780219,-362,83554,Fstl3
chr1,159231781,159232536,0,26374,Cop1
chr4,153974583,153975622,0,13368,Dffb
chr7,125444606,125445208,0,77035,Kdm8
chr2,164400606,164401044,-2097,19668,Rbpjl
chrX,101532486,101533085,0,270627,Taf1
chr9,106159853,106160125,-1715,235582,Glyctk
chr18,64265912,64266277,0,20451,St8sia3
chr6,51379738,51379944,28,625167,Gm6559
chr13,117602283,117602936,0,15165,Hcn1
chr4,119421975,119422972,0,106564,Ppcs
chr2,119897055,119897698,0,29808,Mga
chr4,66403653,66404185,298,56079,Astn2
chr4,66402788,66403061,1422,56079,Astn2
chr2,162660429,162661436,0,19281,Ptprt
chr6,87838577,87838982,0,57905,Isy1
chr1,177983180,177984000,0,545391,Catspere2
chr9,119578474,119579349,0,20271,Scn5a
chr17,45595310,45595950,0,63959,Slc29a1
chr15,84446017,84446399,146,72301,Shisal1
chr2,28911901,28912165,330,54422,Barhl1
chr7,18991833,18992615,514,232934,Mypop
chr4,127313822,127314034,5,14612,Gja4
chr7,12921732,12922559,0,20103,Rps5
chr11,94979093,94979302,-2766,20391,Sgca
chr11,53430470,53431262,0,14566,Gdf9
chr2,74762807,74763831,0,102634678,Haglr
chr3,94363448,94364383,1010,271944,C2cd4d
chr18,46850128,46850589,89,74574,Lvrn
chr11,33162421,33163415,0,18148,Npm1
chr1,64532367,64533738,0,12912,Creb1
chr1,178318207,178319311,0,66359,Cox20
chrX,93831877,93832375,0,236900,Pdk3
chr7,49911830,49912323,130,104245,Slc6a5
chr7,119896105,119896407,0,233805,Dcun1d3
chr2,102400437,102401261,0,80985,Trim44
chr13,64432348,64432883,0,105278,Cdk20
chr5,45520218,45520734,0,66999,Med28
chr12,79130664,79131107,0,11847,Arg2
chr11,94210243,94212093,0,22057,Tob1
chr10,80249313,80249552,0,75406,Ndufs7
