gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Gdf7,chr12,8297918,8301954,-,8301954,8311954,5.469240524768829,5.1437425115505855,0.9404857014892389,Mixed,Neu,GFP
Vsnl1,chr12,11325242,11436613,-,11436613,11446613,3.312485925364494,4.713999191093445,1.4231001421009009,Mixed,Neu,GFP
Atp6v1c2,chr12,17284721,17329359,-,17329359,17339359,4.5726498626708985,3.4723150540351866,0.7593660477662283,Mixed,Neu,GFP
Rnaseh1,chr12,28649602,28659589,+,28639602,28649602,4.324273190808296,3.7270084004402158,0.8618808840205493,Mixed,Neu,GFP
Mir5627,chr12,44210313,44210373,+,44200313,44210313,4.8064549834728245,4.960734337226549,1.0320983665267272,Mixed,Neu,GFP
Ttc6,chr12,57564113,57737928,+,57554113,57564113,4.841364306306839,4.7977045804897935,0.9909819375170404,Mixed,Neu,GFP
Tmx1,chr12,70453095,70468040,+,70443095,70453095,3.3573764222860336,5.167426664670309,1.5391263935641193,Mixed,Neu,GFP
Six4,chr12,73099609,73113456,-,73113456,73123456,3.5653886114358904,4.323530631470681,1.212639378945417,Mixed,Neu,GFP
Wdr89,chr12,75630596,75669537,-,75669537,75679537,5.049761981725693,5.550512747852007,1.0991632413445334,Mixed,Neu,GFP
Mthfd1,chr12,76255298,76319803,+,76245298,76255298,2.93377252972126,2.8684049390395483,0.9777189301421667,Mixed,Neu,GFP
Plek2,chr12,78888691,78906964,-,78906964,78916964,2.8922486377716066,2.701719783473015,0.9341243170416398,Mixed,Neu,GFP
Smoc1,chr12,81026808,81186414,+,81016808,81026808,5.5149174905300145,4.774284311032296,0.8657036699516352,Mixed,Neu,GFP
Ttc9,chr12,81631249,81667557,+,81621249,81631249,3.8792954473733907,4.6078459992647165,1.1878048634796856,Mixed,Neu,GFP
Abcd4,chr12,84601464,84617413,-,84617413,84627413,5.453399604129792,4.839528661386172,0.8874333466634753,Mixed,Neu,GFP
Gpatch2l,chr12,86241858,86291784,+,86231858,86241858,4.504105766654014,3.94955499765873,0.8768788306214119,Mixed,Neu,GFP
Esrrb,chr12,86361117,86521628,+,86351117,86361117,4.027078792285919,4.4467849285840995,1.104220989443303,Mixed,Neu,GFP
Ism2,chr12,87278638,87299705,-,87299705,87309705,3.579553479790688,4.359171997865041,1.2177977008797034,Mixed,Neu,GFP
Golga5,chr12,102469135,102497907,+,102459135,102469135,2.3471024404764176,3.4614190465211867,1.4747626634560458,Mixed,Neu,GFP
Ddx24,chr12,103407982,103425830,-,103425830,103435830,5.421266860961914,5.384366001486779,0.9931933143264251,Mixed,Neu,GFP
Snhg10,chr12,105030617,105032279,-,105032279,105042279,6.754033179235458,4.921737943863868,0.7287109514053347,Mixed,Neu,GFP
Vrk1,chr12,106010228,106077426,+,106000228,106010228,4.269748182940483,4.4430527593533204,1.0405889455273416,Mixed,Neu,GFP
Bcl11b,chr12,107910403,108003602,-,108003602,108013602,3.956090999007225,4.08260141530037,1.031978641625001,Mixed,Neu,GFP
Mok,chr12,110807798,110840939,-,110840939,110850939,5.7171202147722235,5.415451070825259,0.9472340736919446,Mixed,Neu,GFP
Amn,chr12,111271095,111276426,+,111261095,111271095,5.762635766744614,4.654223320563634,0.807655300274663,Mixed,Neu,GFP
Mir203,chr12,112130880,112130955,+,112120880,112130880,5.360516662836075,4.704495444456737,0.8776197781591711,Mixed,Neu,GFP
Kif26a,chr12,112146208,112181747,+,112136208,112146208,5.797392574715615,3.6192622588793437,0.6242913882810296,Mixed,Neu,GFP
