gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
Insr,chr8,3122061,3279617,-,3279617,3289617,3.709069369792938,5.089183130804698,1.38011376101176,Mixed,Neu
Arhgef18,chr8,3353415,3456601,+,3343415,3353415,3.2663210487365726,3.755551777879397,0.4892307291428244,Mixed,Neu
Zfp358,chr8,3493138,3497208,+,3483138,3493138,5.5661914179086684,4.6724579196214675,-0.893733498287201,Mixed,Neu
Mcoln1,chr8,3500457,3515232,+,3490457,3500457,6.585085463190079,3.344969030491511,-3.2401164326985676,Euchromatin,Neu
Pnpla6,chr8,3515384,3544267,+,3505384,3515384,5.70661713051796,4.847672145930925,-0.8589449845870343,Mixed,Neu
Camsap3,chr8,3587293,3609075,+,3577293,3587293,3.602295713186264,3.9594058231353757,0.35711010994911163,Mixed,Neu
Pet100,chr8,3621548,3625848,+,3611548,3621548,5.23538725566864,5.033020172691345,-0.202367082977295,Mixed,Neu
Stxbp2,chr8,3630955,3643644,+,3620955,3630955,4.83110469508171,5.050250988046328,0.21914629296461818,Mixed,Neu
Trappc5,chr8,3676299,3681255,+,3666299,3676299,5.219787028980255,4.422907037234307,-0.7968799917459481,Mixed,Neu
Evi5l,chr8,4166567,4211257,+,4156567,4166567,4.390201580381394,5.149556261730194,0.7593546813488006,Mixed,Neu
Prr36,chr8,4209543,4217459,-,4217459,4227459,4.822503981757164,4.171574200856686,-0.6509297809004781,Mixed,Neu
Map2k7,chr8,4238740,4247897,+,4228740,4238740,6.108991474866866,4.584290645718575,-1.5247008291482915,Mixed,Neu
Tgfbr3l,chr8,4248214,4251423,+,4238214,4248214,5.315787308526039,5.064007450962067,-0.2517798575639718,Mixed,Neu
Snapc2,chr8,4253080,4256220,+,4243080,4253080,5.612191246747971,4.721452674865723,-0.890738571882248,Mixed,Neu
Ctxn1,chr8,4257660,4259274,-,4259274,4269274,5.2162322944641115,4.306088965415954,-0.9101433290481573,Mixed,Neu
Timm44,chr8,4259731,4275913,-,4275913,4285913,5.542216046011447,5.108490034270287,-0.4337260117411601,Mixed,Neu
Elavl1,chr8,4285382,4325413,-,4325413,4335413,4.153213831114769,5.933057547386487,1.779843716271718,Mixed,Neu
Cers4,chr8,4493026,4531680,+,4483026,4493026,5.215291906714439,4.033293177930514,-1.1819987287839249,Mixed,Neu
Shcbp1,chr8,4735976,4779567,-,4779567,4789567,3.867284557414055,6.0557860589067145,2.1885015014926594,Heterochromatin,Neu
Efnb2,chr8,8617434,8661242,-,8661242,8671242,4.1260407313108445,5.26964834245046,1.1436076111396156,Mixed,Neu
Mir7654,chr8,8690093,8690162,-,8690162,8700162,3.817408293151855,4.871897667050361,1.0544893738985062,Mixed,Neu
Lig4,chr8,9969049,9977686,-,9977686,9987686,5.205889569759369,5.142917094262441,-0.06297247549692742,Mixed,Neu
Myo16,chr8,10153911,10634742,+,10143911,10153911,3.5242888140439983,5.167804141227404,1.643515327183406,Mixed,Neu
Irs2,chr8,10984681,11008458,-,11008458,11018458,4.11840333867073,4.130153175107638,0.011749836436907302,Mixed,Neu
Col4a1,chr8,11198423,11312826,-,11312826,11322826,4.654708446407318,4.806539630103111,0.1518311836957933,Mixed,Neu
Rab20,chr8,11453518,11478710,-,11478710,11488710,5.9433686122894285,5.053100971619288,-0.8902676406701406,Mixed,Neu
Naxd,chr8,11497506,11514960,+,11487506,11497506,5.412876280093194,4.361618202352523,-1.0512580777406706,Mixed,Neu
Cars2,chr8,11513977,11550783,-,11550783,11560783,5.288578530073165,4.023094802157084,-1.2654837279160809,Mixed,Neu
Ing1,chr8,11555571,11563251,+,11545571,11555571,5.04655204782486,5.125398704353969,0.07884665652910883,Mixed,Neu
Ankrd10,chr8,11611583,11635757,-,11635757,11645757,5.31272476375103,5.267952381221453,-0.04477238252957694,Mixed,Neu
Arhgef7,chr8,11727721,11835219,+,11717721,11727721,6.258332720875741,4.973626291354497,-1.2847064295212434,Mixed,Neu
Sox1ot,chr8,12385771,12436768,+,12375771,12385771,6.122654180431366,3.9609496736129124,-2.1617045068184533,Euchromatin,Neu
Sox1,chr8,12395295,12400126,+,12385295,12395295,3.804788298845291,4.479459647695223,0.6746713488499321,Mixed,Neu
Tubgcp3,chr8,12614277,12672248,-,12672248,12682248,5.294730499720574,4.626143432641029,-0.6685870670795451,Mixed,Neu
Atp11a,chr8,12757014,12868728,+,12747014,12757014,5.0550232234716415,4.97761936472257,-0.0774038587490713,Mixed,Neu
Mcf2l,chr8,12873806,13020905,+,12863806,12873806,5.286119250488281,4.485562900360424,-0.8005563501278568,Mixed,Neu
Pcid2,chr8,13077189,13105459,-,13105459,13115459,5.960640983366966,5.283509858047963,-0.6771311253190033,Mixed,Neu
Lamp1,chr8,13159161,13175338,+,13149161,13159161,4.380353184461594,4.122007311741512,-0.25834587272008225,Mixed,Neu
Grtp1,chr8,13172022,13200620,-,13200620,13210620,5.083733612179756,4.865875311096509,-0.21785830108324689,Mixed,Neu
Dcun1d2,chr8,13255963,13288131,-,13288131,13298131,4.6136138687133785,4.519723873440424,-0.09388999527295461,Mixed,Neu
Tfdp1,chr8,13338751,13378448,+,13328751,13338751,4.2086918673992155,4.884224030065536,0.6755321626663209,Mixed,Neu
Gas6,chr8,13465374,13494490,-,13494490,13504490,3.517817410469055,4.787714111208916,1.269896700739861,Mixed,Neu
Rasa3,chr8,13566948,13677603,-,13677603,13687603,4.994308971381187,4.654684245920181,-0.3396247254610065,Mixed,Neu
Cdc16,chr8,13757676,13781938,+,13747676,13757676,3.5859520862102507,4.4506213983138405,0.8646693121035898,Mixed,Neu
Upf3a,chr8,13785615,13799193,+,13775615,13785615,3.8954684498310086,4.963555900017421,1.0680874501864124,Mixed,Neu
Champ1,chr8,13869641,13881639,+,13859641,13869641,2.5594528428912167,1.465937636446953,-1.0935152064442637,Mixed,Neu
Coprs,chr8,13884794,13890281,-,13890281,13900281,4.130062291038036,4.485536778457958,0.35547448741992227,Mixed,Neu
Fbxo25,chr8,13907803,13940522,+,13897803,13907803,4.2843184326410295,3.8272083142201105,-0.457110118420919,Mixed,Neu
Tdrp,chr8,13952008,13975032,-,13975032,13985032,4.129723101592064,3.174765395585696,-0.9549577060063679,Mixed,Neu
Erich1,chr8,14027561,14090301,-,14090301,14100301,5.854295176386834,4.871681879492601,-0.9826132968942325,Mixed,Neu
Cln8,chr8,14881335,14901720,+,14871335,14881335,5.748282461643218,5.213084641893705,-0.5351978197495137,Mixed,Neu
Arhgef10,chr8,14911663,15001085,+,14901663,14911663,5.344487511014938,5.426601775574684,0.08211426455974635,Mixed,Neu
