gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Ighmbp2,chr19,3278017,3288017,20.039464928009114,20.039464928009114,1.0,intermediate
Ppp6r3,chr19,3570749,3580749,112.47541053574184,112.47541053574184,1.0,intermediate
Tcirg1,chr19,3902133,3912133,22.640529794689016,22.640529794689016,1.0,intermediate
Cdk2ap2,chr19,4092182,4102182,40.57674214186272,40.57674214186272,1.0,intermediate
Pitpnm1,chr19,4094998,4104998,41.2883411303401,41.2883411303401,1.0,intermediate
Aip,chr19,4120858,4130858,37.54830100056131,37.54830100056131,1.0,intermediate
Gm45928,chr19,4209357,4219357,19.428232076423367,19.428232076423367,1.0,intermediate
Pcx,chr19,4505472,4515472,45.58150490874251,45.58150490874251,1.0,intermediate
Gm21992,chr19,4806612,4816612,22.872195883780716,22.872195883780716,1.0,intermediate
Banf1,chr19,5362168,5372168,16.148556103545427,16.148556103545427,1.0,intermediate
Cfl1,chr19,5485455,5495455,70.94054864287874,70.94054864287874,1.0,intermediate
Pcnx3,chr19,5683908,5693908,55.1323693901221,55.1323693901221,1.0,intermediate
Atg2a,chr19,6236668,6246668,23.94639159702062,23.94639159702062,1.0,intermediate
Ehd1,chr19,6271725,6281725,25.490491851687434,25.490491851687434,1.0,intermediate
Cdc42bpg,chr19,6301456,6311456,18.96539555392265,18.96539555392265,1.0,intermediate
Sf1,chr19,6358690,6368690,82.48467437692483,82.48467437692483,1.0,intermediate
Esrra,chr19,6916840,6926840,43.975222370316594,43.975222370316594,1.0,intermediate
Catsperz,chr19,6920380,6930380,43.81361205765605,43.81361205765605,1.0,intermediate
Cox8a,chr19,7212616,7222616,25.365007327608268,25.365007327608268,1.0,intermediate
Mir6991,chr19,7417573,7427573,31.645974604092046,31.645974604092046,1.0,intermediate
Rtn3,chr19,7478281,7488281,32.43533033869068,32.43533033869068,1.0,intermediate
Taf6l,chr19,8781417,8791417,16.93713480796814,16.93713480796814,1.0,intermediate
Hnrnpul2,chr19,8815010,8825010,48.25189416946967,48.25189416946967,1.0,intermediate
Eef1g,chr19,8962041,8972041,42.39026005073389,42.39026005073389,1.0,intermediate
Fth1,chr19,9975598,9985598,39.91438538529674,39.91438538529674,1.0,intermediate
Fads2,chr19,10096746,10106746,44.36496680616935,44.36496680616935,1.0,intermediate
Osbp,chr19,11960941,11970941,171.20235821641882,171.20235821641882,1.0,intermediate
Lpxn,chr19,12791193,12801193,44.397136830362676,44.397136830362676,1.0,intermediate
Tle4,chr19,14593051,14603051,134.6742949324628,134.6742949324628,1.0,intermediate
Rfx3,chr19,28006166,28016166,42.650882814472915,42.650882814472915,1.0,intermediate
Pgam1,chr19,41906923,41916923,23.743763970537984,23.743763970537984,1.0,intermediate
Ubtd1,chr19,41976763,41986763,48.641411444866655,48.641411444866655,1.0,intermediate
Pi4k2a,chr19,42085470,42095470,49.232131372968354,49.232131372968354,1.0,intermediate
Avpi1,chr19,42124059,42134059,32.6237815217177,32.6237815217177,1.0,intermediate
Tlx1,chr19,45145680,45155680,5.246796928107738,5.246796928107738,1.0,intermediate
Btrc,chr19,45358734,45368734,40.4441839964827,40.4441839964827,1.0,intermediate
Oga,chr19,45778837,45788837,41.02219352616867,41.02219352616867,1.0,intermediate
Nolc1,chr19,46070863,46080863,24.282420256924627,24.282420256924627,1.0,intermediate
Cnnm2,chr19,46756596,46766596,70.65802652630806,70.65802652630806,1.0,intermediate
Sfr1,chr19,47726682,47736682,31.631666712363565,31.631666712363565,1.0,intermediate
Xpnpep1,chr19,53035214,53045214,38.03697599967122,38.03697599967122,1.0,intermediate
Mxi1,chr19,53305518,53315518,38.7138781729579,38.7138781729579,1.0,intermediate
Smndc1,chr19,53385578,53395578,31.10445104673704,31.10445104673704,1.0,intermediate
Smc3,chr19,53595398,53605398,39.29786632324656,39.29786632324656,1.0,intermediate
Adra2a,chr19,54039151,54049151,21.33964482410749,21.33964482410749,1.0,intermediate
Gfra1,chr19,58450909,58460909,37.951667085131,37.951667085131,1.0,intermediate
Hspa12a,chr19,58938654,58948654,28.5420745689253,28.5420745689253,1.0,intermediate
Eno4,chr19,58938425,58948425,28.438476150547462,28.438476150547462,1.0,intermediate
Eif3a,chr19,60785658,60795658,17.008008970115583,17.008008970115583,1.0,intermediate
