gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
Ighmbp2,chr19,3259076,3283017,-,3283017,3293017,8.935085816776752,5.993321416930358,-2.9417643998463943,Euchromatin,NSC
Cpt1a,chr19,3322334,3385733,+,3312334,3322334,8.336834977197647,6.2152848842899004,-2.1215500929077464,Euchromatin,NSC
Tesmin,chr19,3388857,3407823,+,3378857,3388857,7.306633397352695,4.885894857370853,-2.4207385399818424,Euchromatin,NSC
Gal,chr19,3409915,3414544,-,3414544,3424544,8.577580222153664,6.785925102190177,-1.7916551199634867,Mixed,NSC
Ppp6r3,chr19,3454928,3575749,-,3575749,3585749,7.485438583278656,5.265444730623563,-2.219993852655093,Euchromatin,NSC
Lrp5,chr19,3584828,3686564,-,3686564,3696564,7.313790533256531,6.758146962523461,-0.5556435707330705,Mixed,NSC
1810055G02Rik,chr19,3708293,3717881,+,3698293,3708293,7.577657872211933,5.739607682609559,-1.8380501896023747,Mixed,NSC
Kmt5b,chr19,3767421,3818303,+,3757421,3767421,6.379892566597462,5.4216176378011705,-0.9582749287962917,Mixed,NSC
Chka,chr19,3851773,3894369,+,3841773,3851773,6.809139808213711,5.5047033345063525,-1.3044364737073586,Mixed,NSC
Tcirg1,chr19,3896050,3907133,-,3907133,3917133,8.706891426992417,6.516709224949281,-2.190182202043136,Euchromatin,NSC
Doc2g,chr19,4003313,4007005,+,3993313,4003313,9.95382384970188,6.736610603662332,-3.217213246039548,Euchromatin,NSC
Ndufv1,chr19,4007384,4012806,-,4012806,4022806,7.419965630412101,6.492399069456258,-0.9275665609558423,Mixed,NSC
Gstp1,chr19,4035407,4037985,-,4037985,4047985,6.604821194469929,5.572843947947025,-1.0319772465229047,Mixed,NSC
Cdk2ap2,chr19,4097182,4099019,+,4087182,4097182,8.00223226546049,5.916999185915788,-2.085233079544702,Euchromatin,NSC
Pitpnm1,chr19,4099998,4113965,+,4089998,4099998,9.323900036656855,6.40090699792703,-2.9229930387298255,Euchromatin,NSC
Aip,chr19,4114446,4125858,-,4125858,4135858,8.000569751238823,6.459561376039186,-1.5410083751996364,Mixed,NSC
Coro1b,chr19,4148619,4154035,+,4138619,4148619,9.57300278686285,7.16714427431027,-2.4058585125525793,Euchromatin,NSC
Rps6kb2,chr19,4153991,4163354,-,4163354,4173354,10.601907328057289,6.880754139109452,-3.721153188947836,Euchromatin,NSC
Carns1,chr19,4164324,4175479,-,4175479,4185479,7.895186717784405,6.1838052263975145,-1.7113814913868906,Mixed,NSC
Ppp1ca,chr19,4192065,4195420,+,4182065,4192065,9.68228856575489,6.649449563145637,-3.0328390026092524,Euchromatin,NSC
Rad9a,chr19,4195196,4201662,-,4201662,4211662,7.1469317734479905,5.84697868027687,-1.29995309317112,Mixed,NSC
Gm45928,chr19,4214357,4233297,+,4204357,4214357,7.749550977528095,6.240695078619321,-1.5088558989087737,Mixed,NSC
Ssh3,chr19,4261668,4269180,-,4269180,4279180,6.573343274235726,5.278678777575492,-1.2946644966602339,Mixed,NSC
Ankrd13d,chr19,4270180,4283137,-,4283137,4293137,10.312930583107471,7.654393579153219,-2.658537003954252,Euchromatin,NSC
Grk2,chr19,4286001,4306222,-,4306222,4316222,8.214016019642353,6.768269303381444,-1.445746716260909,Mixed,NSC
Kdm2a,chr19,4314419,4398285,-,4398285,4408285,5.99035246014595,5.660434652030468,-0.3299178081154821,Mixed,NSC
Syt12,chr19,4445908,4477447,-,4477447,4487447,7.920366363501548,5.59393561100165,-2.326430752499898,Euchromatin,NSC
Pcx,chr19,4510472,4621752,+,4500472,4510472,6.936333702003957,5.800495166691145,-1.1358385353128115,Mixed,NSC
Lrfn4,chr19,4611785,4615667,-,4615667,4625667,9.944568083441258,7.010291560067732,-2.9342765233735255,Euchromatin,NSC
Rce1,chr19,4622591,4625641,-,4625641,4635641,5.558161046886444,5.604613907118638,0.046452860232193416,Mixed,NSC
Gm960,chr19,4625734,4698668,-,4698668,4708668,6.085754550874233,6.163705720980961,0.07795117010672836,Mixed,NSC
Sptbn2,chr19,4711167,4752360,+,4701167,4711167,5.9198986977338794,5.549086045145988,-0.3708126525878912,Mixed,NSC
Gm21992,chr19,4742913,4811612,-,4811612,4821612,6.334183776450157,4.763639657052358,-1.5705441193977991,Mixed,NSC
Rbm4b,chr19,4756497,4767065,+,4746497,4756497,7.493649426817894,6.255389801597595,-1.2382596252202998,Mixed,NSC
Rbm4,chr19,4784293,4793901,-,4793901,4803901,7.588361976933479,5.977838717822234,-1.610523259111245,Mixed,NSC
Ccs,chr19,4825366,4839332,-,4839332,4849332,7.088026758015157,5.6342884550015135,-1.453738303013643,Mixed,NSC
Ctsf,chr19,4855130,4860918,+,4845130,4855130,5.48630474048853,5.269347851971785,-0.21695688851674433,Mixed,NSC
Zdhhc24,chr19,4878668,4885397,+,4868668,4878668,7.451483854174614,5.6805069930791845,-1.7709768610954297,Mixed,NSC
Dpp3,chr19,4907229,4928287,-,4928287,4938287,7.097550399541856,6.328179527366161,-0.7693708721756947,Mixed,NSC
Peli3,chr19,4929717,4943127,-,4943127,4953127,6.240574854576588,5.12813492692709,-1.1124399276494978,Mixed,NSC
Mrpl11,chr19,4962147,4966999,+,4952147,4962147,6.059812463742494,4.67288113142848,-1.3869313323140142,Mixed,NSC
Npas4,chr19,4984355,4990316,-,4990316,5000316,8.30432973072529,6.647526859792073,-1.656802870933216,Mixed,NSC
Slc29a2,chr19,5023860,5031972,+,5013860,5023860,7.143036831319332,6.205306011577448,-0.9377308197418843,Mixed,NSC
B4gat1,chr19,5038826,5041131,+,5028826,5038826,8.304481141948699,6.966579960429667,-1.3379011815190323,Mixed,NSC
Brms1,chr19,5041354,5049917,+,5031354,5041354,8.968800715517999,6.8784201544046395,-2.090380561113359,Euchromatin,NSC
Cd248,chr19,5068078,5070682,+,5058078,5068078,7.844911277389527,6.144088786681493,-1.7008224907080338,Mixed,NSC
Tmem151a,chr19,5070859,5085531,-,5085531,5095531,9.161518990743161,6.42826577896277,-2.733253211780391,Euchromatin,NSC
Yif1a,chr19,5088538,5092881,+,5078538,5088538,8.674897908759117,6.5554643032789235,-2.119433605480194,Euchromatin,NSC
Cnih2,chr19,5092868,5098521,-,5098521,5108521,8.644198105192183,6.441640969800949,-2.202557135391234,Euchromatin,NSC
Rab1b,chr19,5099205,5107072,-,5107072,5117072,6.958385501849651,5.847446306375662,-1.1109391954739891,Mixed,NSC
Klc2,chr19,5107746,5118560,-,5118560,5128560,5.902535926997661,5.221420453985532,-0.6811154730121292,Mixed,NSC
Pacs1,chr19,5133158,5273119,-,5273119,5283119,7.738445960974693,6.138331203842164,-1.6001147571325296,Mixed,NSC
Sf3b2,chr19,5273932,5295455,-,5295455,5305455,8.532224472224712,6.218561225006977,-2.313663247217735,Euchromatin,NSC
Cst6,chr19,5344705,5349574,-,5349574,5359574,6.719147185432911,6.064015622540315,-0.6551315628925964,Mixed,NSC
Banf1,chr19,5364638,5367168,-,5367168,5377168,6.433886133348942,6.416291566113631,-0.017594567235311054,Mixed,NSC
Sart1,chr19,5377523,5388703,-,5388703,5398703,7.274941782146692,5.672186809758345,-1.6027549723883476,Mixed,NSC
AI837181,chr19,5425144,5427313,+,5415144,5425144,9.215129224658012,7.0889044907371215,-2.126224733920891,Euchromatin,NSC
Fosl1,chr19,5447547,5455946,+,5437547,5447547,6.596540388357639,5.706671528081099,-0.8898688602765397,Mixed,NSC
Ccdc85b,chr19,5453180,5457894,-,5457894,5467894,10.122773735308648,7.718051331702868,-2.4047224036057804,Euchromatin,NSC
