gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
Ighmbp2,chr19,3259076,3283017,-,3283017,3293017,7.734929553103448,5.407445456107458,-2.32748409699599,Euchromatin,Neu
Cpt1a,chr19,3322334,3385733,+,3312334,3322334,4.916131037473678,4.732105149149895,-0.18402588832378353,Mixed,Neu
Tesmin,chr19,3388857,3407823,+,3378857,3388857,4.933041332364082,4.515426986821493,-0.4176143455425896,Mixed,Neu
Gal,chr19,3409915,3414544,-,3414544,3424544,5.405218951392174,4.265713342722257,-1.139505608669917,Mixed,Neu
Ppp6r3,chr19,3454928,3575749,-,3575749,3585749,4.871954882907867,3.4379822267452878,-1.4339726561625796,Mixed,Neu
1810055G02Rik,chr19,3708293,3717881,+,3698293,3708293,4.463929563260079,4.174558905029297,-0.2893706582307818,Mixed,Neu
Kmt5b,chr19,3767421,3818303,+,3757421,3767421,4.637257123708725,5.791290826098124,1.1540337023893992,Mixed,Neu
Chka,chr19,3851773,3894369,+,3841773,3851773,5.215661244082451,4.621283487272263,-0.5943777568101885,Mixed,Neu
Tcirg1,chr19,3896050,3907133,-,3907133,3917133,6.126553875064849,4.359039272534847,-1.7675146025300021,Mixed,Neu
Doc2g,chr19,4003313,4007005,+,3993313,4003313,5.350874620556831,5.171968922710419,-0.17890569784641208,Mixed,Neu
Ndufv1,chr19,4007384,4012806,-,4012806,4022806,3.88943166911602,4.447553999876976,0.558122330760956,Mixed,Neu
Gstp1,chr19,4035407,4037985,-,4037985,4047985,6.820746232628823,4.7784866379102064,-2.042259594718616,Euchromatin,Neu
Cdk2ap2,chr19,4097182,4099019,+,4087182,4097182,5.466907277107239,4.546544622206688,-0.9203626549005515,Mixed,Neu
Pitpnm1,chr19,4099998,4113965,+,4089998,4099998,6.017444044470787,4.900025298945109,-1.1174187455256783,Mixed,Neu
Aip,chr19,4114446,4125858,-,4125858,4135858,6.239623463988305,5.052578765424093,-1.187044698564212,Mixed,Neu
Coro1b,chr19,4148619,4154035,+,4138619,4148619,4.755414759397507,5.13323966530164,0.3778249059041334,Mixed,Neu
Rps6kb2,chr19,4153991,4163354,-,4163354,4173354,5.2119837342262265,4.83720184006691,-0.37478189415931684,Mixed,Neu
Carns1,chr19,4164324,4175479,-,4175479,4185479,5.455773867249489,4.166672073149681,-1.2891017940998077,Mixed,Neu
Ppp1ca,chr19,4192065,4195420,+,4182065,4192065,4.794499276518821,4.44796422723929,-0.34653504927953094,Mixed,Neu
Rad9a,chr19,4195196,4201662,-,4201662,4211662,4.970429193806648,4.2309307395776115,-0.7394984542290368,Mixed,Neu
Gm45928,chr19,4214357,4233297,+,4204357,4214357,5.497020026493073,3.8779861134847002,-1.6190339130083724,Mixed,Neu
Ssh3,chr19,4261668,4269180,-,4269180,4279180,4.976593389034272,4.730759702642759,-0.2458336863915127,Mixed,Neu
Ankrd13d,chr19,4270180,4283137,-,4283137,4293137,4.69903705523014,4.779096155714989,0.08005910048484921,Mixed,Neu
Grk2,chr19,4286001,4306222,-,4306222,4316222,4.403701491594315,4.173267310873666,-0.23043418072064892,Mixed,Neu
Kdm2a,chr19,4314419,4398285,-,4398285,4408285,4.7119320883154865,4.493874345779418,-0.21805774253606813,Mixed,Neu
Syt12,chr19,4445908,4477447,-,4477447,4487447,4.601900305247307,4.1114155753135675,-0.4904847299337396,Mixed,Neu
Pcx,chr19,4510472,4621752,+,4500472,4510472,6.130867199897766,4.555329431414604,-1.5755377684831622,Mixed,Neu
Lrfn4,chr19,4611785,4615667,-,4615667,4625667,6.80169257196188,3.7667027415593473,-3.0349898304025325,Euchromatin,Neu
Rce1,chr19,4622591,4625641,-,4625641,4635641,5.4835257303714755,4.866128289886315,-0.6173974404851608,Mixed,Neu
Gm960,chr19,4625734,4698668,-,4698668,4708668,3.6763825951814653,4.2353097857316335,0.5589271905501683,Mixed,Neu
Gm21992,chr19,4742913,4811612,-,4811612,4821612,3.9824160463094715,3.3410887407779697,-0.6413273055315019,Mixed,Neu
Rbm4b,chr19,4756497,4767065,+,4746497,4756497,5.113007360243797,4.697822802154223,-0.41518455808957366,Mixed,Neu
Rbm4,chr19,4784293,4793901,-,4793901,4803901,6.2973605941057205,4.93359965997537,-1.36376093413035,Mixed,Neu
Ccs,chr19,4825366,4839332,-,4839332,4849332,6.3178146488189695,5.132626973994573,-1.1851876748243964,Mixed,Neu
Ctsf,chr19,4855130,4860918,+,4845130,4855130,4.665983624815941,4.996836367527645,0.33085274271170384,Mixed,Neu
Zdhhc24,chr19,4878668,4885397,+,4868668,4878668,6.778219252347946,4.561222939920425,-2.216996312427521,Euchromatin,Neu
Dpp3,chr19,4907229,4928287,-,4928287,4938287,6.25762733874321,5.110357405591011,-1.1472699331521987,Mixed,Neu
Peli3,chr19,4929717,4943127,-,4943127,4953127,4.5153975251913065,4.707342460576693,0.19194493538538637,Mixed,Neu
Mrpl11,chr19,4962147,4966999,+,4952147,4962147,5.343766033291817,4.939660023880005,-0.4041060094118123,Mixed,Neu
Npas4,chr19,4984355,4990316,-,4990316,5000316,5.084170166015625,4.0370166713396705,-1.0471534946759542,Mixed,Neu
Slc29a2,chr19,5023860,5031972,+,5013860,5023860,4.5201981920003895,4.578573348681132,0.05837515668074289,Mixed,Neu
B4gat1,chr19,5038826,5041131,+,5028826,5038826,7.014487572312355,5.222561073827744,-1.791926498484611,Mixed,Neu
Brms1,chr19,5041354,5049917,+,5031354,5041354,6.6912011675596235,4.662358155695597,-2.0288430118640264,Euchromatin,Neu
Cd248,chr19,5068078,5070682,+,5058078,5068078,4.674323677921295,4.1860540227572125,-0.4882696551640828,Mixed,Neu
Tmem151a,chr19,5070859,5085531,-,5085531,5095531,6.27802193789482,4.3938706003109615,-1.8841513375838588,Mixed,Neu
Yif1a,chr19,5088538,5092881,+,5078538,5088538,5.275149545264244,3.6827029719034834,-1.592446573360761,Mixed,Neu
Cnih2,chr19,5092868,5098521,-,5098521,5108521,5.50259150018692,4.325817926208178,-1.1767735739787417,Mixed,Neu
Rab1b,chr19,5099205,5107072,-,5107072,5117072,6.063865311264992,5.234682870101929,-0.8291824411630637,Mixed,Neu
Klc2,chr19,5107746,5118560,-,5118560,5128560,5.499662837982178,4.45968997947375,-1.0399728585084276,Mixed,Neu
Pacs1,chr19,5133158,5273119,-,5273119,5283119,4.376716210961342,4.771930975731214,0.3952147647698725,Mixed,Neu
Sf3b2,chr19,5273932,5295455,-,5295455,5305455,5.591343607783317,4.320141740520795,-1.2712018672625218,Mixed,Neu
Cst6,chr19,5344705,5349574,-,5349574,5359574,6.028976002454758,4.483764631740252,-1.5452113707145063,Mixed,Neu
Banf1,chr19,5364638,5367168,-,5367168,5377168,5.028887813496589,5.303206866049766,0.2743190525531771,Mixed,Neu
Sart1,chr19,5377523,5388703,-,5388703,5398703,5.48529123764038,4.98547352092266,-0.49981771671772,Mixed,Neu
AI837181,chr19,5425144,5427313,+,5415144,5425144,6.198504915595056,3.9388907272100453,-2.2596141883850103,Euchromatin,Neu
Fosl1,chr19,5447547,5455946,+,5437547,5447547,3.7298153573274613,5.166877524550755,1.437062167223294,Mixed,Neu
Ccdc85b,chr19,5453180,5457894,-,5457894,5467894,5.656546878933907,5.3060354041020075,-0.35051147483189915,Mixed,Neu
Fibp,chr19,5460615,5465051,+,5450615,5460615,5.762962193846702,4.182228338400523,-1.5807338554461792,Mixed,Neu
Efemp2,chr19,5473954,5482517,+,5463954,5473954,5.786436774635315,5.014554138755798,-0.7718826358795168,Mixed,Neu
Cfl1,chr19,5490455,5495201,+,5480455,5490455,6.6658380150794985,4.452125139156977,-2.2137128759225213,Euchromatin,Neu
Snx32,chr19,5492235,5510538,-,5510538,5520538,5.135126494026184,4.9831524042844775,-0.15197408974170656,Mixed,Neu
Ap5b1,chr19,5568025,5571261,+,5558025,5568025,6.677452793717384,4.233985757191976,-2.4434670365254076,Euchromatin,Neu
Rnaseh2c,chr19,5601873,5607019,+,5591873,5601873,3.434264659690857,3.899356870269776,0.46509221057891903,Mixed,Neu
Kat5,chr19,5603014,5610237,-,5610237,5620237,4.799972915768623,4.364259653139114,-0.43571326262950905,Mixed,Neu
Rela,chr19,5637483,5648130,+,5627483,5637483,4.6459699442505835,4.159493326576551,-0.4864766176740325,Mixed,Neu
Sipa1,chr19,5651185,5663707,-,5663707,5673707,5.9854796273946755,4.4145903556029,-1.570889271791776,Mixed,Neu
Pcnx3,chr19,5664635,5688908,-,5688908,5698908,6.260757104158401,5.004928507272402,-1.2558285968859986,Mixed,Neu
Ehbp1l1,chr19,5707376,5726317,-,5726317,5736317,4.669518373298645,5.204312876574197,0.5347945032755517,Mixed,Neu
Fam89b,chr19,5728087,5729653,-,5729653,5739653,4.627847015666962,5.185063682961464,0.5572166672945018,Mixed,Neu
Ltbp3,chr19,5740904,5758532,+,5730904,5740904,4.511509928584099,5.150269808983803,0.6387598803997045,Mixed,Neu
Scyl1,chr19,5758351,5771419,-,5771419,5781419,4.9605325548648835,3.4124866182168323,-1.5480459366480512,Mixed,Neu
Malat1,chr19,5795690,5802672,-,5802672,5812672,5.408473672747612,4.110235999949773,-1.298237672797839,Mixed,Neu
Neat1,chr19,5824708,5845478,-,5845478,5855478,5.1242105561494835,4.545384521174431,-0.5788260349750525,Mixed,Neu
Frmd8,chr19,5849702,5875274,-,5875274,5885274,5.195643140292169,4.719430470045407,-0.4762126702467615,Mixed,Neu
Tigd3,chr19,5891138,5894149,-,5894149,5904149,4.123371529269218,5.285537588222822,1.1621660589536038,Mixed,Neu
Dpf2,chr19,5896516,5913010,-,5913010,5923010,5.892198773145676,4.813873719612757,-1.078325053532919,Mixed,Neu
Pola2,chr19,5940542,5964202,-,5964202,5974202,4.6405587618350985,4.189085701608659,-0.45147306022643985,Mixed,Neu
Capn1,chr19,5988545,6015897,-,6015897,6025897,4.376268087911606,3.9699068713823955,-0.4063612165292101,Mixed,Neu
Syvn1,chr19,6046576,6053712,+,6036576,6046576,5.435384446978569,3.7025693242152538,-1.732815122763315,Mixed,Neu
Fau,chr19,6057844,6059524,+,6047844,6057844,5.544353581547736,5.045064805205663,-0.49928877634207325,Mixed,Neu
Znhit2,chr19,6061192,6062472,+,6051192,6061192,4.859260395956039,4.86213507715861,0.002874681202570173,Mixed,Neu
Cdca5,chr19,6084983,6091777,+,6074983,6084983,6.24864095981121,4.753463606055578,-1.4951773537556319,Mixed,Neu
Sac3d1,chr19,6116000,6118650,-,6118650,6128650,4.215626789569854,4.1119339549938845,-0.10369283457596978,Mixed,Neu
Arl2,chr19,6134374,6141548,-,6141548,6151548,6.06901098818779,3.370691147534052,-2.698319840653738,Euchromatin,Neu
Ppp2r5b,chr19,6227765,6235872,-,6235872,6245872,4.1297436371088025,3.9856919773976016,-0.14405165971120093,Mixed,Neu
Atg2a,chr19,6241668,6262335,+,6231668,6241668,5.578832683587074,4.397288899556796,-1.1815437840302785,Mixed,Neu
Ehd1,chr19,6276725,6300096,+,6266725,6276725,4.283005465865135,4.20640064561367,-0.07660482025146464,Mixed,Neu
Cdc42bpg,chr19,6306456,6325652,+,6296456,6306456,6.76596913049221,4.151268053078652,-2.6147010774135584,Euchromatin,Neu
Men1,chr19,6334979,6340891,+,6324979,6334979,4.042502355694771,3.7764558926105494,-0.26604646308422186,Mixed,Neu
Map4k2,chr19,6341135,6355615,+,6331135,6341135,7.059030716657639,5.005507346828779,-2.05352336982886,Euchromatin,Neu
Sf1,chr19,6363690,6378030,+,6353690,6363690,3.592034707427025,4.5122721572717035,0.9202374498446786,Mixed,Neu
Rasgrp2,chr19,6399340,6415216,+,6389340,6399340,5.283830740094185,3.8631341590881347,-1.4206965810060503,Mixed,Neu
Nrxn2,chr19,6418731,6544169,+,6408731,6418731,3.7806757328510288,5.307006387758254,1.5263306549072255,Mixed,Neu
Rps6ka4,chr19,6829085,6840636,-,6840636,6850636,6.32674798810482,4.82563091533184,-1.5011170727729803,Mixed,Neu
Mir5046,chr19,6829886,6829944,-,6829944,6839944,7.194248947000504,4.250156290300687,-2.9440926566998167,Euchromatin,Neu
Ccdc88b,chr19,6844623,6858211,-,6858211,6868211,4.71762381093502,4.453449470933278,-0.264174340001742,Mixed,Neu
Prdx5,chr19,6906697,6910106,-,6910106,6920106,7.147387101745605,4.7250564438660945,-2.4223306578795105,Euchromatin,Neu
Esrra,chr19,6910977,6921840,-,6921840,6931840,4.036498984336854,4.250922212084134,0.21442322774728062,Mixed,Neu
Catsperz,chr19,6922371,6925380,-,6925380,6935380,5.4978266535997395,4.089508710026741,-1.4083179435729987,Mixed,Neu
Kcnk4,chr19,6923966,6934515,-,6934515,6944515,6.651478042960167,4.924719512919585,-1.7267585300405823,Mixed,Neu
Gpr137,chr19,6938057,6942480,-,6942480,6952480,6.149173807382584,5.1215238509972885,-1.0276499563852957,Mixed,Neu
Bad,chr19,6941861,6951899,+,6931861,6941861,6.526508626580238,4.504049589983622,-2.022459036596616,Euchromatin,Neu
Plcb3,chr19,6952325,6976470,-,6976470,6986470,5.133963807106019,4.275391062935193,-0.858572744170826,Mixed,Neu
Ppp1r14b,chr19,6974968,6977324,+,6964968,6974968,4.729259240722657,4.6999713185071945,-0.02928792221546228,Mixed,Neu
Vegfb,chr19,6982473,6987651,-,6987651,6997651,6.291833520388603,4.450191055027644,-1.8416424653609589,Mixed,Neu
Stip1,chr19,7020702,7039967,-,7039967,7049967,6.171389018297194,4.762066312603157,-1.4093227056940378,Mixed,Neu
Macrod1,chr19,7056810,7198057,+,7046810,7056810,6.625996335029603,4.824978275577227,-1.8010180594523764,Mixed,Neu
Otub1,chr19,7198202,7206316,-,7206316,7216316,5.056065941905975,3.9733900847435,-1.0826758571624748,Mixed,Neu
Cox8a,chr19,7215153,7217616,-,7217616,7227616,6.674471581220627,4.9927391847054166,-1.6817323965152102,Mixed,Neu
Naa40,chr19,7225668,7241183,-,7241183,7251183,5.236638404369354,4.896134316380819,-0.3405040879885348,Mixed,Neu
Rcor2,chr19,7267325,7275225,+,7257325,7267325,6.161475147604943,3.580540142774582,-2.5809350048303608,Euchromatin,Neu
Mark2,chr19,7275396,7341860,-,7341860,7351860,5.288985223054886,5.412525222023329,0.12353999896844314,Mixed,Neu
1700105P06Rik,chr19,7382537,7383561,+,7372537,7382537,6.2999582109689705,5.230334227561951,-1.0696239834070198,Mixed,Neu
Mir6991,chr19,7422573,7422642,+,7412573,7422573,6.473397185075283,4.102380026046435,-2.371017159028848,Euchromatin,Neu
Rtn3,chr19,7425901,7483281,-,7483281,7493281,3.703165440440178,4.549031614693006,0.8458661742528282,Mixed,Neu
