chrom	start	end	ratio_change	gene_id	gene_name	gene_type	overlap_type	strand	tss	distance_to_tss
chr11	10350000	10500000	-0.1063051666666666	ENSMUSG00000084045.1	Gm11997	processed_pseudogene	promoter	-	10377082	27082
chr18	90150000	90300000	-0.1013374	ENSMUSG00000089008.1	Gm23859	snRNA	promoter	+	90228899	71101
chr9	124200000	124350000	-0.1022278666666666	ENSMUSG00000110834.1	Gm39469	lincRNA	promoter	-	124282139	67861
chr9	124200000	124350000	-0.1022278666666666	ENSMUSG00000074829.10	2010315B03Rik	protein_coding	promoter	-	124312696	37304
chr9	124200000	124350000	-0.1022278666666666	ENSMUSG00000111194.1	Gm47180	transcribed_unprocessed_pseudogene	promoter	+	124338979	11021
chr9	124200000	124350000	-0.1022278666666666	ENSMUSG00000110795.1	Gm47179	TEC	promoter	-	124342618	7382
chr9	124200000	124350000	-0.1022278666666666	ENSMUSG00000111733.1	Gm47181	lincRNA	promoter	-	124347514	2486
chr9	124200000	124350000	-0.1022278666666666	ENSMUSG00000079741.5	Nlrp4g	transcribed_unprocessed_pseudogene	promoter	+	124348872	1128
chrY	4050000	4200000	-0.1196494	ENSMUSG00000101108.1	Gm29038	unprocessed_pseudogene	promoter	-	4164705	35295
chrY	90750000	90900000	-0.1096019999999999	ENSMUSG00000095366.2	Gm21860	lincRNA	promoter	-	90755467	5467
chrY	90750000	90900000	-0.1096019999999999	ENSMUSG00000095134.2	Mid1-ps1	unprocessed_pseudogene	promoter	+	90753057	3057
chrY	90750000	90900000	-0.1096019999999999	ENSMUSG00000096768.8	Gm47283	lincRNA	promoter	+	90784738	34738
chrY	90750000	90900000	-0.1096019999999999	ENSMUSG00000099871.1	Gm21742	unprocessed_pseudogene	promoter	+	90837413	62587
chrY	90750000	90900000	-0.1096019999999999	ENSMUSG00000096850.1	Gm21748	protein_coding	promoter	-	90839177	60823
