gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
Zfhx4,chr3,5218526,5415857,+,5208526,5218526,3.4481046322584152,4.113329340473811,0.6652247082153959,Mixed,NSC
Pex2,chr3,5560188,5576239,-,5576239,5586239,3.183335017323494,3.148773737756411,-0.034561279567083325,Mixed,NSC
Pkia,chr3,7366669,7445366,+,7356669,7366669,4.545090454995632,4.651762399901946,0.1066719449063136,Mixed,NSC
Zc2hc1a,chr3,7503483,7553836,+,7493483,7503483,4.229788788068294,5.127819599231084,0.8980308111627897,Mixed,NSC
Il7,chr3,7569994,7613760,-,7613760,7623760,2.248009701013565,3.609672833025456,1.3616631320118908,Mixed,NSC
Hey1,chr3,8663359,8667256,-,8667256,8677256,6.96616226336956,6.5042549952109665,-0.4619072681585932,Mixed,NSC
Mrps28,chr3,8802146,8923918,-,8923918,8933918,5.435869598972798,5.139982217037677,-0.29588738193512043,Mixed,NSC
Tpd52,chr3,8925593,9004723,-,9004723,9014723,5.303513428723812,4.775225854933262,-0.5282875737905499,Mixed,NSC
Zbtb10,chr3,9250602,9285333,+,9240602,9250602,7.464753623187542,5.66292386482954,-1.8018297583580027,Mixed,NSC
Zfp704,chr3,9427020,9610085,-,9610085,9620085,6.6788949887156495,5.980561532139778,-0.6983334565758712,Mixed,NSC
Pag1,chr3,9687479,9833679,-,9833679,9843679,5.184669030439854,5.141950662533442,-0.042718367906411814,Mixed,NSC
Fabp5,chr3,10012548,10016607,+,10002548,10012548,7.146891858839988,6.191717596439521,-0.9551742624004671,Mixed,NSC
Impa1,chr3,10311956,10331439,-,10331439,10341439,4.214952573001384,4.608152198847135,0.3931996258457504,Mixed,NSC
Chmp4c,chr3,10366907,10428856,+,10356907,10366907,4.352282088321447,4.2151065827488905,-0.1371755055725563,Mixed,NSC
Snx16,chr3,10417817,10440102,-,10440102,10450102,5.3074957042813296,4.687728689849377,-0.6197670144319529,Mixed,NSC
Lrrcc1,chr3,14533788,14572658,+,14523788,14533788,3.211378046941757,4.50241805746158,1.291040010519823,Mixed,NSC
E2f5,chr3,14578641,14606309,+,14568641,14578641,2.6262058537840844,4.158416973646482,1.532211119862398,Mixed,NSC
Rbis,chr3,14606284,14611285,-,14611285,14621285,3.0177765958309175,4.089202282826106,1.0714256869951884,Mixed,NSC
Car2,chr3,14886273,14900770,+,14876273,14886273,3.4951080312371254,4.457117547917366,0.9620095166802405,Mixed,NSC
Ythdf3,chr3,16183212,16217037,+,16173212,16183212,4.239634187626839,5.137299272799492,0.8976650851726529,Mixed,NSC
Mir124-2hg,chr3,17789921,17808970,+,17779921,17789921,3.7030718338966366,4.197390537893772,0.49431870399713507,Mixed,NSC
Bhlhe22,chr3,18054174,18057517,+,18044174,18054174,3.092412411224842,4.142882169648011,1.0504697584231693,Mixed,NSC
Cyp7b1,chr3,18071950,18243338,-,18243338,18253338,3.563155134022236,4.469696772658825,0.9065416386365888,Mixed,NSC
Armc1,chr3,19131402,19163065,-,19163065,19173065,4.680364747047425,4.764462306042512,0.08409755899508742,Mixed,NSC
Mtfr1,chr3,19187327,19220817,+,19177327,19187327,4.863594932448865,4.380831647098065,-0.48276328535080015,Mixed,NSC
Pde7a,chr3,19223108,19311322,-,19311322,19321322,4.024586084270477,4.53155970539252,0.506973621122043,Mixed,NSC
Crh,chr3,19693401,19695396,-,19695396,19705396,4.327707233369351,4.893092203680675,0.5653849703113245,Mixed,NSC
4632415L05Rik,chr3,19894886,19901033,+,19884886,19894886,5.649624032402039,5.768444140390554,0.11882010798851539,Mixed,NSC
Hps3,chr3,19995945,20035315,-,20035315,20045315,4.356755313038826,4.116277108480532,-0.24047820455829338,Mixed,NSC
Hltf,chr3,20057811,20118490,+,20047811,20057811,4.930366019070148,5.197816649238268,0.26745063016811965,Mixed,NSC
