gene,chrom,start,end,neu_signal,nsc_signal,fold_change,enriched_in,gfp_phase,gfp_s3_s2s_ratio
Rsph3b,chr17,6943682,6953682,3.027739454984665,2.037787539919217,1.4857974129651867,Neither,,
Mpc1,chr17,8277904,8287904,42.20407076675097,20.240873367865877,2.085091389077783,Neurons,intermediate,1.0
Pde10a,chr17,8520372,8530372,55.23562741160393,25.596358831485116,2.1579486275860718,Neurons,intermediate,1.0
Prkn,chr17,10835384,10845384,40.307891205469765,16.19568016489347,2.4888050884607535,Neurons,intermediate,1.0
4732491K20Rik,chr17,12313853,12323853,31.444578320201234,16.961736690076194,1.853853699933835,Neither,,
Tcp1,chr17,12910701,12920701,100.48745681826273,31.238727114033697,3.2167590072234318,Neurons,intermediate,1.0
Acat2,chr17,12955747,12965747,35.95136020493507,18.32342604704698,1.962043567214278,Neither,,
Dact2,chr17,14199304,14209304,21.92287672840754,12.852069441994033,1.705785735702199,Neither,,
1600012H06Rik,chr17,14938184,14948184,26.040911458015444,11.026848482227328,2.361591482823695,Neurons,intermediate,1.0
Phf10,chr17,14956273,14966273,1.4273830007712045,3.8984952541192377,0.36613690866059145,NSCs,,
Prdm9,chr17,15559354,15569354,58.95425003258387,33.58566662867864,1.7553395823396616,Neither,,
Lnpep,chr17,17620050,17630050,53.78269013524056,26.762369030594826,2.0096386113559683,Neurons,intermediate,1.0
Spaca6,chr17,17822158,17832158,29.36001914332708,22.564384927988055,1.3011663839730887,Neither,,
Ppp2r1a,chr17,20940311,20950311,74.70574085257847,44.950054852318765,1.6619721844171398,Neither,,
Bicdl2,chr17,23655506,23665506,6.878433874432247,10.947095241284371,0.6283341583155198,Neither,,
Hcfc1r1,chr17,23668596,23678596,46.92015365015666,19.20035082530975,2.443713350711638,Neurons,intermediate,1.0
Tnfrsf12a,chr17,23672468,23682468,43.327067258183156,20.84019471239249,2.0790145128739606,Neurons,intermediate,1.0
Kremen2,chr17,23740833,23750833,15.872619484353066,15.464364815004666,1.0263997050142195,Neither,,
Srrm2,chr17,23785532,23795532,6.418732184076309,12.894461496607462,0.4977898600701611,NSCs,,
Kctd5,chr17,24068485,24078485,20.29903889902433,23.566570555448532,0.8613488692070744,Neither,,
Pdpk1,chr17,24145924,24155924,19.509104780658085,10.48176508741379,1.861242321112889,Neither,,
Amdhd2,chr17,24158766,24168766,26.02006103018125,12.633573169263203,2.05959633759724,Neurons,intermediate,1.0
Atp6v0c,chr17,24164702,24174702,33.533302942927676,16.25698814383348,2.0627008303286094,Neurons,intermediate,1.0
Ccnf,chr17,24246484,24256484,18.52799516301155,15.671176276342074,1.182297667787852,Neither,,
