gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Syp,chrX,7633471,7643471,7.822043249976635,7.822043249976635,1.0,intermediate
Tfe3,chrX,7757560,7767560,19.924194146047036,19.924194146047036,1.0,intermediate
Timm17b,chrX,7894357,7904357,25.58220923899213,25.58220923899213,1.0,intermediate
Hdac6,chrX,7942889,7952889,21.109872400850055,21.109872400850055,1.0,intermediate
Atp6ap2,chrX,12582801,12592801,21.53052495562037,21.53052495562037,1.0,intermediate
Usp9x,chrX,13066498,13076498,32.11014259967009,32.11014259967009,1.0,intermediate
Bcorl1,chrX,48336358,48346358,14.333645285886524,14.333645285886524,1.0,intermediate
Mmgt1,chrX,56593069,56603069,18.403060196427507,18.403060196427507,1.0,intermediate
Mamld1,chrX,71045240,71055240,22.199877835869785,22.199877835869785,1.0,intermediate
F8a,chrX,73223291,73233291,14.023157696393133,14.023157696393133,1.0,intermediate
Idh3g,chrX,73781897,73791897,20.440181813206273,20.440181813206273,1.0,intermediate
Hcfc1,chrX,73961357,73971357,34.936538567970196,34.936538567970196,1.0,intermediate
Flna,chrX,74244820,74254820,20.54010702810685,20.54010702810685,1.0,intermediate
Rpl10,chrX,74265812,74275812,36.22910493011276,36.22910493011276,1.0,intermediate
Cmc4,chrX,75411584,75421584,9.10496606518229,9.10496606518229,1.0,intermediate
Eif2s3x,chrX,94207862,94217862,25.20054298775395,25.20054298775395,1.0,intermediate
Fam90a1b,chrX,94361777,94371777,26.381536016013225,26.381536016013225,1.0,intermediate
Snx12,chrX,101217563,101227563,18.519579837842784,18.519579837842784,1.0,intermediate
Taf1,chrX,101527734,101537734,26.618118753039838,26.618118753039838,1.0,intermediate
Rlim,chrX,103976284,103986284,18.533131600366033,18.533131600366033,1.0,intermediate
Magt1,chrX,106006906,106016906,19.312091064069666,19.312091064069666,1.0,intermediate
Atp7a,chrX,106022276,106032276,13.114384807016451,13.114384807016451,1.0,intermediate
Pgk1,chrX,106182100,106192100,22.899952208419638,22.899952208419638,1.0,intermediate
Armcx4,chrX,134681519,134691519,10.882008418936529,10.882008418936529,1.0,intermediate
BC065397,chrX,136736824,136746824,63.83556507661939,63.83556507661939,1.0,intermediate
Phf8,chrX,151515672,151525672,17.464513906896112,17.464513906896112,1.0,intermediate
Huwe1,chrX,151795807,151805807,21.13224576696754,21.13224576696754,1.0,intermediate
Smc1a,chrX,152011428,152021428,24.795604729499416,24.795604729499416,1.0,intermediate
Kdm5c,chrX,152228020,152238020,23.388893271972737,23.388893271972737,1.0,intermediate
Tspyl2,chrX,152337425,152347425,33.61838391311964,33.61838391311964,1.0,intermediate
9530051G07Rik,chrX,153032629,153042629,6.7772033270319305,6.7772033270319305,1.0,intermediate
Rragb,chrX,153134981,153144981,11.282706810031335,11.282706810031335,1.0,intermediate
Txlng,chrX,162824454,162834454,21.202840958746275,21.202840958746275,1.0,intermediate
Ap1s2,chrX,163904017,163914017,18.553072661083934,18.553072661083934,1.0,intermediate
Siah1b,chrX,164071493,164081493,20.376571785304943,20.376571785304943,1.0,intermediate
Gm15246,chrX,169315622,169325622,24.37495159919858,24.37495159919858,1.0,intermediate
Asmt,chrX,170667644,170677644,12.6003204436481,12.6003204436481,1.0,intermediate
