gene,chrom,start,end,neu_signal,nsc_signal,fold_change,enriched_in,gfp_phase,gfp_s3_s2s_ratio
Clcn5,chrX,7314358,7324358,26.454072668679554,19.47611071639061,1.3582831322896756,Neither,,
Ppp1r3f,chrX,7569283,7579283,32.081880462249124,20.95286977891127,1.5311449362673473,Neither,,
Syp,chrX,7633471,7643471,10.274227725744247,4.753878410975138,2.1612306494891502,Neurons,intermediate,1.0
Tfe3,chrX,7757560,7767560,31.853767674684523,12.896332866191862,2.4699864686487865,Neurons,intermediate,1.0
Otud5,chrX,7836364,7846364,82.5968206150055,43.26648652190368,1.9090253740199314,Neither,,
Slc35a2,chrX,7879028,7889028,23.80165083737374,13.276359896794956,1.7927843943971187,Neither,,
Timm17b,chrX,7894357,7904357,34.039025344276425,16.41390770113468,2.0737916871509725,Neurons,intermediate,1.0
Hdac6,chrX,7942889,7952889,32.1286126844724,14.889850760300954,2.157752498778102,Neurons,intermediate,1.0
Suv39h1,chrX,8069760,8079760,32.22404251217842,18.578631391485533,1.7344680473582403,Neither,,
Tbc1d25,chrX,8171181,8181181,9.127696409193675,7.698800285021464,1.185599842997905,Neither,,
Rpgr,chrX,10211920,10221920,19.584144070943196,9.826145438392956,1.9930647468765879,Neither,,
Mid1ip1,chrX,10710013,10720013,44.847610975980764,23.22472856630087,1.9310284229136156,Neither,,
Bcor,chrX,12155355,12165355,16.431694012085597,16.955836946606635,0.9690877580286041,Neither,,
Atp6ap2,chrX,12582801,12592801,30.60178180150191,14.532360932032267,2.105768081636989,Neurons,intermediate,1.0
Med14,chrX,12757073,12767073,16.173044927406313,8.159137989322344,1.9822001967084715,Neither,,
Usp9x,chrX,13066498,13076498,48.10556742749213,13.962948106924694,3.4452299800237007,Neurons,intermediate,1.0
Ddx3x,chrX,13275970,13285970,33.14031588220596,20.04229034928481,1.653519398464784,Neither,,
Kdm6a,chrX,18157575,18167575,69.36698636734485,36.57030629479885,1.8968117414212213,Neither,,
Syn1,chrX,20916004,20926004,9.679024939155578,8.90333399772644,1.0871236484700246,Neither,,
Uxt,chrX,20957017,20967017,14.083665190943082,10.794490403374036,1.3047086675384831,Neither,,
Wdr44,chrX,23688051,23698051,23.40715586455663,13.140252361957232,1.7813322925458752,Neither,,
Lonrf3,chrX,36323353,36333353,7.5812615952650715,15.567338651196161,0.4869979233529774,NSCs,,
Slc25a5,chrX,36790651,36800651,13.650259444673855,8.44513585380713,1.6163457499052802,Neither,,
Ube2a,chrX,36868900,36878900,4.36780442126592,4.303930884679159,1.0148407440310285,Neither,,
Rpl39,chrX,37080402,37090402,27.88000460979144,17.717875077581407,1.5735523863732546,Neither,,
Zbtb33,chrX,38184793,38194793,11.196359665870666,7.725168848864237,1.4493352682532976,Neither,,
Cul4b,chrX,38571196,38581196,0.9616713489691419,3.7192179765701288,0.258568160034545,NSCs,,
Dcaf12l1,chrX,44785197,44795197,6.193295819759368,4.785028824488323,1.2943068990648423,Neither,,
Apln,chrX,48029853,48039853,8.667364004484812,9.695918521428107,0.8939188159770345,Neither,,
Utp14a,chrX,48251862,48261862,14.29965451339086,9.687838951587677,1.4760417245630806,Neither,,
Bcorl1,chrX,48336358,48346358,20.99564396033287,10.413761709650357,2.0161440741318635,Neurons,intermediate,1.0
Elf4,chrX,48458132,48468132,11.256350606234868,11.01758052265644,1.0216717348321098,Neither,,
Zfp280c,chrX,48589504,48599504,8.74496251320839,6.576003443654378,1.3298293694853498,Neither,,
Rbmx2,chrX,48690004,48700004,12.183794982751209,6.824745178882281,1.7852380804563028,Neither,,
Gpc4,chrX,52160252,52170252,18.339849570671717,10.72347192961375,1.710252956416542,Neither,,
Gpc3,chrX,52608950,52618950,7.176340879678726,9.921676535924275,0.7232992179995715,Neither,,
Ccdc160,chrX,52786200,52796200,8.030632807254792,5.589648617267609,1.4366972518534467,Neither,,
Phf6,chrX,52907266,52917266,12.541249046643577,11.183668665631613,1.121389538764138,Neither,,
Mmgt1,chrX,56593069,56603069,31.13683121331533,12.790891656589508,2.434297158421673,Neurons,intermediate,1.0
Htatsf1,chrX,57048583,57058583,14.7731571337382,10.352662991960843,1.4269910210744816,Neither,,
Rbmx,chrX,57388036,57398036,14.824900319496791,9.638672035455704,1.5380646073404747,Neither,,
Mamld1,chrX,71045240,71055240,31.69917305978139,15.847691979487736,2.0002390948038884,Neurons,intermediate,1.0
Gpr50,chrX,71658667,71668667,5.89737402455012,6.624640291098754,0.8902179990775,Neither,,
Vma21,chrX,71810924,71820924,13.681515436093013,11.97086741716067,1.1429009243290145,Neither,,
Prrg3,chrX,71957624,71967624,6.144039337412516,5.678368481691678,1.082007861452152,Neither,,
Gabrq,chrX,72820178,72830178,5.200465102434158,4.811592340151469,1.0808199728471692,Neither,,
Cetn2,chrX,72913411,72923411,9.217370901664099,6.193215376178423,1.488301365574623,Neither,,
F8a,chrX,73223291,73233291,25.55000940248966,10.231030696920554,2.4973055168508074,Neurons,intermediate,1.0
Atp2b3,chrX,73498086,73508086,3.9319872161388396,6.47212707602183,0.6075262691775951,Neither,,
Abcd1,chrX,73711597,73721597,31.418140375065803,20.591285420219105,1.525797915666573,Neither,,
Idh3g,chrX,73781897,73791897,36.81943361860911,10.711067010760308,3.43751314239939,Neurons,intermediate,1.0
Pdzd4,chrX,73819969,73829969,3.8845392882029217,5.532534146825472,0.7021265816193547,Neither,,
Hcfc1,chrX,73961357,73971357,45.540305546840024,21.028788677453996,2.1656171568106553,Neurons,intermediate,1.0
Mecp2,chrX,74130363,74140363,2.1868522358258566,5.457314755503337,0.40071946255629887,NSCs,,
Flna,chrX,74244820,74254820,36.08189882802963,11.515463896115621,3.1333430553501818,Neurons,intermediate,1.0
Emd,chrX,74249687,74259687,18.200194385933873,14.116317328691482,1.2893018740051905,Neither,,
Rpl10,chrX,74265812,74275812,46.63459038527807,17.867793331782025,2.6099803998923363,Neurons,intermediate,1.0
Fam50a,chrX,74308033,74318033,9.392193296798071,7.245553919212024,1.2962698782620474,Neither,,
Plxna3,chrX,74324066,74334066,9.20573822933833,9.049467374825477,1.0172685140506257,Neither,,
Fam3a,chrX,74388272,74398272,7.6137931258678435,6.489583224550883,1.1732329893026008,Neither,,
Dkc1,chrX,75090854,75100854,30.600564360380176,22.27433270438512,1.3738038650359155,Neither,,
Cmc4,chrX,75411584,75421584,8.176598968044916,3.9637032374143604,2.0628686050115976,Neurons,intermediate,1.0
Rab39b,chrX,75573231,75583231,6.00570177646478,6.130608370741208,0.9796257423859345,Neither,,
Prrg1,chrX,78578896,78588896,5.253351306756337,4.528851924212773,1.1599741821255283,Neither,,
Tab3,chrX,85569022,85579022,9.261358709430695,9.36241151257356,0.9892065411772221,Neither,,
Gk,chrX,85771819,85781819,33.49127828558286,18.52569821302096,1.807828126123916,Neither,,
Arx,chrX,93281445,93291445,24.32977016731103,20.67898835257689,1.1765454746861057,Neither,,
Pola1,chrX,93627155,93637155,11.998617323954901,8.245575704435508,1.4551582271569632,Neither,,
Pdk3,chrX,93827201,93837201,3.5574664553642275,4.698941590309143,0.7570782455991716,Neither,,
Zfx,chrX,94118702,94128702,11.38793426243464,8.173982437928517,1.393192895741114,Neither,,
Eif2s3x,chrX,94207862,94217862,33.459265899340316,13.997460528294246,2.3903811574754066,Neurons,intermediate,1.0
Klhl15,chrX,94229599,94239599,7.439620169321696,7.011722290039063,1.0610260734214345,Neither,,
Fam90a1b,chrX,94361777,94371777,43.470542027457554,13.471731634696326,3.226796911207729,Neurons,intermediate,1.0
Maged1,chrX,94537143,94547143,24.548351015265784,21.33143904728095,1.150806139278957,Neither,,
Gspt2,chrX,94631069,94641069,4.9941385162115095,8.447772997498513,0.5911781149529389,Neither,,
Amer1,chrX,95439872,95449872,17.010852128664652,13.524708335606256,1.2577611070458716,Neither,,
Las1l,chrX,95951962,95961962,26.95187762772242,14.012414532502492,1.9234285115678103,Neither,,
Efnb1,chrX,99131130,99141130,21.276012424707414,12.32123717188835,1.7267756579874889,Neither,,
Pja1,chrX,99466273,99476273,7.372139493544896,8.248683997178079,0.8937352305006407,Neither,,
Pdzd11,chrX,100621568,100631568,8.880792460076014,6.74112622259458,1.317404861862667,Neither,,
Dlg3,chrX,100762722,100772722,9.126017369031906,5.520660989205044,1.6530660706891227,Neither,,
Snx12,chrX,101217563,101227563,31.5561768756787,14.142974958062174,2.2312262426576783,Neurons,intermediate,1.0
Nono,chrX,101424318,101434318,25.89070639022191,15.367780103683472,1.684739514460922,Neither,,
Taf1,chrX,101527734,101537734,46.37105208325386,11.650945988615353,3.9800246373612094,Neurons,intermediate,1.0
Rtl5,chrX,102066304,102076304,21.873891054534912,12.774957691470782,1.7122476318758415,Neither,,
Rps4x,chrX,102184394,102194394,8.30298898952802,8.457077000196774,0.9817799919918939,Neither,,
Chic1,chrX,103351476,103361476,10.602997249921165,5.79323458805879,1.8302378556836658,Neither,,
Ftx,chrX,103618790,103628790,30.626569911321003,16.4549872554938,1.8612332805724754,Neither,,
Rlim,chrX,103976284,103986284,30.708246046590805,10.056451948189736,3.053586513891572,Neurons,intermediate,1.0
