chrom	start	end	ratio_change	gene_id	gene_name	gene_type	overlap_type	strand
chr1	73950000	74100000	-0.1032236666666667	ENSMUSG00000055322.16	Tns1	protein_coding	gene_body	-
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000033007.15	Asic4	protein_coding	partial	+
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000102605.1	Gm37264	TEC	partial	-
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000032997.16	Chpf	protein_coding	partial	-
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000026211.17	Obsl1	protein_coding	partial	-
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000051703.14	Tmem198	protein_coding	partial	+
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000032968.4	Inha	protein_coding	partial	+
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000082745.1	Gm15181	unprocessed_pseudogene	partial	-
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000026213.15	Stk11ip	protein_coding	partial	+
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000082059.1	Gm15183	processed_pseudogene	partial	+
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000006576.16	Slc4a3	protein_coding	partial	+
chr1	75450000	75600000	-0.1101990666666666	ENSMUSG00000083244.1	Gm15180	processed_pseudogene	partial	+
chr1	133350000	133500000	-0.1016903999999999	ENSMUSG00000070645.5	Ren1	protein_coding	partial	+
chr1	133350000	133500000	-0.1016903999999999	ENSMUSG00000070644.13	Etnk2	protein_coding	partial	+
chr1	133350000	133500000	-0.1016903999999999	ENSMUSG00000070643.11	Sox13	protein_coding	partial	-
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000026421.14	Csrp1	protein_coding	partial	+
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000041801.5	Phlda3	protein_coding	partial	+
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000026418.16	Tnni1	protein_coding	partial	+
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000041782.14	Lad1	protein_coding	partial	+
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000026414.13	Tnnt2	protein_coding	partial	+
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000101482.1	Gm28883	processed_pseudogene	partial	+
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000026413.12	Pkp1	protein_coding	partial	-
chr1	135750000	135900000	-0.1102403333333333	ENSMUSG00000102414.1	Gm36938	TEC	partial	-
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000035863.14	Palm	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000035852.11	Misp	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000091994.2	E130317F20Rik	bidirectional_promoter_lncRNA	partial	-
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000006498.16	Ptbp1	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000035835.14	Plppr3	protein_coding	partial	-
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000098562.1	Mir6910	miRNA	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000090860.1	Gm17134	antisense	partial	-
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000057729.12	Prtn3	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000020125.7	Elane	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000111897.1	Gm19810	processed_pseudogene	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000061780.6	Cfd	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000013833.15	Med16	protein_coding	partial	-
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000095023.1	Gm24019	snRNA	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000035781.14	R3hdm4	protein_coding	partial	-
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000097854.1	Gm26602	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000035773.6	Kiss1r	protein_coding	partial	+
chr10	79800000	79950000	-0.1039766666666666	ENSMUSG00000019564.12	Arid3a	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000019564.12	Arid3a	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000035754.8	Wdr18	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000035745.9	Grin3b	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000013858.14	Tmem259	protein_coding	partial	-
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000095615.1	Gm26243	snRNA	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000004665.10	Cnn2	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000035722.15	Abca7	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000035697.14	Arhgap45	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000004667.18	Polr2e	protein_coding	partial	-
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000075706.10	Gpx4	protein_coding	partial	+
chr10	79950000	80100000	-0.1174346666666666	ENSMUSG00000035673.10	Sbno2	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000020153.14	Ndufs7	protein_coding	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000020150.13	Gamt	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000069565.12	Dazap1	protein_coding	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000098672.1	Mir6911	miRNA	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000087672.1	Gm15122	antisense	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000063457.14	Rps15	protein_coding	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000020135.13	Apc2	protein_coding	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000020133.8	2310011J03Rik	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000020131.14	Pcsk4	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000035504.16	Reep6	protein_coding	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000043822.18	Adamtsl5	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000035486.14	Plk5	protein_coding	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000087432.1	Gm15123	antisense	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000085712.1	Gm15124	antisense	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000112648.1	Gm47793	processed_pseudogene	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000048696.11	Mex3d	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000084658.1	Gm22721	miRNA	partial	+
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000035478.14	Mbd3	protein_coding	partial	-
chr10	80250000	80400000	-0.1111316666666666	ENSMUSG00000020163.12	Uqcr11	protein_coding	promoter_upstream	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000034902.17	Pip5k1c	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000090230.1	Gm16315	antisense	partial	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000034889.8	Cactin	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000034881.8	Tbxa2r	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000034872.6	Gipc3	protein_coding	partial	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000020232.17	Hmg20b	protein_coding	partial	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000034854.8	Mfsd12	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000020234.10	4930404N11Rik	protein_coding	partial	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000020235.16	Fzr1	protein_coding	partial	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000078440.10	Dohh	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000113262.1	Gm48551	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000098811.1	Mir6913	miRNA	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000114004.1	Gm48552	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000078439.9	Smim24	protein_coding	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000055053.18	Nfic	protein_coding	partial	-
chr10	81300000	81450000	-0.105832	ENSMUSG00000085327.1	Gm16104	antisense	partial	+
chr10	81300000	81450000	-0.105832	ENSMUSG00000105379.1	Mir1191b	miRNA	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000001445.10	Mrpl10	protein_coding	promoter_downstream	+
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000085262.1	Gm11574	processed_transcript	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000038534.19	Osbpl7	protein_coding	partial	+
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000098769.1	Mir8103	miRNA	partial	+
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000084068.1	Gm11573	processed_pseudogene	partial	+
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000001444.2	Tbx21	protein_coding	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000084368.1	Gm11572	processed_pseudogene	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000038517.15	Tbkbp1	protein_coding	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000099286.1	Mir7235	miRNA	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000001440.5	Kpnb1	protein_coding	partial	-
chr11	97050000	97200000	-0.1124780333333333	ENSMUSG00000084936.1	Gm11583	antisense	partial	+
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000045980.13	Tmem104	protein_coding	partial	+
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000020734.13	Grin2c	protein_coding	partial	-
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000089544.1	Gm25837	miRNA	partial	+
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000018861.8	Fdxr	protein_coding	partial	-
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000044788.10	Fads6	protein_coding	partial	-
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000050201.9	Otop2	protein_coding	partial	+
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000045288.10	Ush1g	protein_coding	partial	-
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000018862.11	Otop3	protein_coding	partial	+
chr11	115200000	115350000	-0.1145493333333333	ENSMUSG00000034586.14	Hid1	protein_coding	partial	-
chr11	115800000	115950000	-0.103274	ENSMUSG00000020747.18	Tmem94	protein_coding	promoter_downstream	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000093539.1	Mir5621	miRNA	promoter_downstream	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000034471.12	Caskin2	protein_coding	partial	-
chr11	115800000	115950000	-0.103274	ENSMUSG00000020781.14	Tsen54	protein_coding	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000020782.18	Llgl2	protein_coding	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000034427.17	Myo15b	protein_coding	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000020752.11	Recql5	protein_coding	partial	-
chr11	115800000	115950000	-0.103274	ENSMUSG00000048442.15	Smim5	protein_coding	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000075420.6	Smim6	protein_coding	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000087072.1	Recql5os1	antisense	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000020755.9	Sap30bp	protein_coding	partial	+
chr11	115800000	115950000	-0.103274	ENSMUSG00000087064.1	Sap30bpos	antisense	partial	-
chr11	117150000	117300000	-0.1015806666666666	ENSMUSG00000020823.16	Sec14l1	protein_coding	partial	+
chr11	117150000	117300000	-0.1015806666666666	ENSMUSG00000059248.13	Septin9	protein_coding	partial	+
chr11	117150000	117300000	-0.1015806666666666	ENSMUSG00000086050.1	Gm16045	antisense	partial	-
chr11	117900000	118050000	-0.1031813333333333	ENSMUSG00000082562.1	Gm11726	processed_pseudogene	partial	+
chr11	117900000	118050000	-0.1031813333333333	ENSMUSG00000053113.3	Socs3	protein_coding	partial	-
chr11	117900000	118050000	-0.1031813333333333	ENSMUSG00000017715.11	Pgs1	protein_coding	partial	+
