gene,Mecp2_ratio,GFP_ratio,Mecp2_log_ratio,GFP_log_ratio,log_ratio_change
Dynlt1a,0.8608819234026193,0.7376907668851881,-0.21611272045137445,-0.4389119162368367,0.22279919578546223
Sft2d1,0.9763111609420562,0.9700444620696765,-0.03458707127530058,-0.0438772200233114,0.009290148748010825
Pde10a,0.7676241276898087,0.8791666766772764,-0.38152803636165267,-0.18579139047412166,-0.195736645887531
Smoc2,1.0697978209087162,0.8842303789801977,0.0973381701470564,-0.17750579392360027,0.2748439640706567
Pdcd2,0.9419829291279175,0.9092346152100115,-0.08622717972621892,-0.13727548525733796,0.05104830553111904
Chd1,1.0053641411393008,1.0071242263924989,0.007718137687698868,0.010241647343426665,-0.002523509655727797
Rgmb,1.0328278657771597,1.0746769045439528,0.04659983030866091,0.10390298700120935,-0.05730315669254844
Spaca6,0.9706828433379376,0.9176808253214931,-0.04292810211213677,-0.12393563165561762,0.08100752954348085
Zfp160,1.1723520454608058,1.1842123895394367,0.2294058615477771,0.24392785280460588,-0.014521991256828792
Zfp53,0.9588731963135226,1.1204824232410073,-0.06058805247530455,0.16412001778902516,-0.2247080702643297
Zfp213,1.0129509033724708,0.823399901833676,0.01856424997558137,-0.28033481822730244,0.2988990682028838
Mmp25,0.9454957237786434,0.8092913030286866,-0.0808571616169219,-0.3052690031225781,0.22441184150565618
Nthl1,0.8764993916131781,0.8820328857750208,-0.19017500529097506,-0.18109564856026722,-0.009079356730707838
Gfer,0.7726109274859014,0.7552853479200599,-0.3721860122978031,-0.40490629514549914,0.032720282847696014
Meiob,0.8874829356251138,1.019204674029073,-0.1722087150172771,0.0274437988598166,-0.1996525138770937
Gnptg,0.8555226152323457,0.617451814377741,-0.22512210288183346,-0.6956015409766807,0.47047943809484727
Metrn,1.0087165834372687,0.9158433744985137,0.012520880979763054,-0.1268272019745327,0.13934808295429577
Fbxl16,1.0147395441934333,0.8522073476524364,0.021109474681581048,-0.230723604535236,0.251833079216817
Rab11fip3,0.8003800145308825,0.846620039013346,-0.32124295125335534,-0.24021345805830033,-0.08102949319505501
Bnip1,1.0283227586988313,1.2251519763573606,0.040293152947349115,0.2929607222380864,-0.2526675692907373
Phf1,0.7553273025072258,0.8207690362880324,-0.40482615855344123,-0.28495178893789774,-0.11987436961554349
Mir3083,0.8239743216961369,0.8273428493907022,-0.2793287168707196,-0.2734427913489936,-0.00588592552172601
