gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Clcn5,chrX,7153810,7319358,-,7319358,7329358,2.2526132140159607,3.479962255160013,1.5448556518746215,Mixed,Neu,Mecp2
Cacna1f,chrX,7607083,7635196,+,7597083,7607083,3.815406268374126,3.6467100088834763,0.9557855054941405,Mixed,Neu,Mecp2
Slc35a2,chrX,7884028,7894492,+,7874028,7884028,4.142981326198578,3.3636303671836854,0.8118864417547371,Mixed,Neu,Mecp2
Porcn,chrX,8193848,8206525,-,8206525,8216525,5.089425445397695,3.2530144092241926,0.6391712471524371,Mixed,Neu,Mecp2
Xk,chrX,9272756,9313250,+,9262756,9272756,0.8442205670674641,3.3251360759655637,3.9387053640684906,Heterochromatin,Neu,Mecp2
Bcor,chrX,12036740,12160355,-,12160355,12170355,3.433184698740641,2.675765751918157,0.7793829888906588,Mixed,Neu,Mecp2
Cask,chrX,13517080,13851367,-,13851367,13861367,3.003191199938456,2.929875242427985,0.9755873160816488,Mixed,Neu,Mecp2
Wdr44,chrX,23693051,23806025,+,23683051,23693051,1.8594889097213745,2.902588818756739,1.5609605432880278,Mixed,Neu,Mecp2
Slc25a43,chrX,36743659,36777202,+,36733659,36743659,1.3152186059633892,2.8420706905206043,2.1609112566034647,Mixed,Neu,Mecp2
Sowahd,chrX,37048845,37050418,+,37038845,37048845,4.259708218097687,3.070324010888735,0.7207827047505825,Mixed,Neu,Mecp2
Bcorl1,chrX,48341358,48408049,+,48331358,48341358,3.484645496368408,3.16546961265405,0.9084050632849185,Mixed,Neu,Mecp2
Elf4,chrX,48411046,48463132,-,48463132,48473132,4.379172126483918,2.6373562728404996,0.6022499679541164,Mixed,Neu,Mecp2
Aifm1,chrX,48474944,48513563,-,48513563,48523563,2.41929130674998,3.547796381346385,1.466461013375199,Mixed,Neu,Mecp2
Rbmx2,chrX,48695004,48710723,+,48685004,48695004,2.7413160751660666,3.1520461905638375,1.1498295359366355,Mixed,Neu,Mecp2
AW822252,chrX,53695855,53716773,-,53716773,53726773,3.214026037279765,3.6694519691785175,1.1416995153792246,Mixed,Neu,Mecp2
Smim10l2a,chrX,56374586,56377799,+,56364586,56374586,2.417489077250163,3.586745581849416,1.4836656825474697,Mixed,Neu,Mecp2
Gpr101,chrX,57496668,57503757,-,57503757,57513757,3.9898770554860428,4.379567371694247,1.0976697554307804,Mixed,Neu,Mecp2
Plxna3,chrX,74329066,74344689,+,74319066,74329066,2.840611832459768,2.931010170698166,1.031823544915716,Mixed,Neu,Mecp2
G6pdx,chrX,74409483,74429194,-,74429194,74439194,3.7995177291234334,3.878620547223091,1.0208191733106893,Mixed,Neu,Mecp2
Dkc1,chrX,75095854,75109777,+,75085854,75095854,3.8817160364150998,4.21675300207138,1.086311559762032,Mixed,Neu,Mecp2
Nr0b1,chrX,86191764,86195947,+,86181764,86191764,2.57895290295283,3.3681445375998815,1.3060124261065214,Mixed,Neu,Mecp2
Maged1,chrX,94535474,94542143,-,94542143,94552143,1.558141081174215,3.0690918806473415,1.969713729859734,Mixed,Neu,Mecp2
