gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Clcn5,chrX,7153810,7319358,-,7319358,7329358,2.2526132140159607,3.479962255160013,1.5448556518746215,Mixed,Neu,Mecp2
Cacna1f,chrX,7607083,7635196,+,7597083,7607083,3.815406268374126,3.6467100088834763,0.9557855054941405,Mixed,Neu,Mecp2
Slc35a2,chrX,7884028,7894492,+,7874028,7884028,4.142981326198578,3.3636303671836854,0.8118864417547371,Mixed,Neu,Mecp2
Porcn,chrX,8193848,8206525,-,8206525,8216525,5.089425445397695,3.2530144092241926,0.6391712471524371,Mixed,Neu,Mecp2
Xk,chrX,9272756,9313250,+,9262756,9272756,0.8442205670674641,3.3251360759655637,3.9387053640684906,Heterochromatin,Neu,Mecp2
Bcor,chrX,12036740,12160355,-,12160355,12170355,3.433184698740641,2.675765751918157,0.7793829888906588,Mixed,Neu,Mecp2
Cask,chrX,13517080,13851367,-,13851367,13861367,3.003191199938456,2.929875242427985,0.9755873160816488,Mixed,Neu,Mecp2
Wdr44,chrX,23693051,23806025,+,23683051,23693051,1.8594889097213745,2.902588818756739,1.5609605432880278,Mixed,Neu,Mecp2
Slc25a43,chrX,36743659,36777202,+,36733659,36743659,1.3152186059633892,2.8420706905206043,2.1609112566034647,Mixed,Neu,Mecp2
Sowahd,chrX,37048845,37050418,+,37038845,37048845,4.259708218097687,3.070324010888735,0.7207827047505825,Mixed,Neu,Mecp2
Bcorl1,chrX,48341358,48408049,+,48331358,48341358,3.484645496368408,3.16546961265405,0.9084050632849185,Mixed,Neu,Mecp2
Elf4,chrX,48411046,48463132,-,48463132,48473132,4.379172126483918,2.6373562728404996,0.6022499679541164,Mixed,Neu,Mecp2
Aifm1,chrX,48474944,48513563,-,48513563,48523563,2.41929130674998,3.547796381346385,1.466461013375199,Mixed,Neu,Mecp2
Rbmx2,chrX,48695004,48710723,+,48685004,48695004,2.7413160751660666,3.1520461905638375,1.1498295359366355,Mixed,Neu,Mecp2
AW822252,chrX,53695855,53716773,-,53716773,53726773,3.214026037279765,3.6694519691785175,1.1416995153792246,Mixed,Neu,Mecp2
Smim10l2a,chrX,56374586,56377799,+,56364586,56374586,2.417489077250163,3.586745581849416,1.4836656825474697,Mixed,Neu,Mecp2
Gpr101,chrX,57496668,57503757,-,57503757,57513757,3.9898770554860428,4.379567371694247,1.0976697554307804,Mixed,Neu,Mecp2
Plxna3,chrX,74329066,74344689,+,74319066,74329066,2.840611832459768,2.931010170698166,1.031823544915716,Mixed,Neu,Mecp2
G6pdx,chrX,74409483,74429194,-,74429194,74439194,3.7995177291234334,3.878620547223091,1.0208191733106893,Mixed,Neu,Mecp2
Dkc1,chrX,75095854,75109777,+,75085854,75095854,3.8817160364150998,4.21675300207138,1.086311559762032,Mixed,Neu,Mecp2
Nr0b1,chrX,86191764,86195947,+,86181764,86191764,2.57895290295283,3.3681445375998815,1.3060124261065214,Mixed,Neu,Mecp2
Maged1,chrX,94535474,94542143,-,94542143,94552143,1.558141081174215,3.0690918806473415,1.969713729859734,Mixed,Neu,Mecp2
Snx12,chrX,101097786,101222563,-,101222563,101232563,2.2587484219233196,3.2808062100648883,1.4524885455243788,Mixed,Neu,Mecp2
Rtl5,chrX,102066544,102071304,-,102071304,102081304,3.9444927918434143,2.693171998206774,0.682767630803085,Mixed,Neu,Mecp2
Magee2,chrX,104854952,104857267,-,104857267,104867267,0.6008296807607015,1.274419825601578,2.121099982923703,Mixed,Neu,Mecp2
Tspan6,chrX,133891068,133898429,-,133898429,133908429,3.0122422458648686,2.664928984085719,0.88469942540115,Mixed,Neu,Mecp2
Bhlhb9,chrX,135797594,135891081,+,135787594,135797594,2.468689384841919,2.6310852433045704,1.0657822160453978,Mixed,Neu,Mecp2
Tro,chrX,150645304,150657583,-,150657583,150667583,1.8666810347239178,3.54475996556282,1.898963936325142,Mixed,Neu,Mecp2
Huwe1,chrX,151800807,151935417,+,151790807,151800807,3.073949656804403,3.0162289394259454,0.9812226211152518,Mixed,Neu,Mecp2
Rragb,chrX,153139981,153171943,+,153129981,153139981,2.096277567164103,3.080995407120387,1.4697459226682634,Mixed,Neu,Mecp2
Txlng,chrX,162778919,162829454,-,162829454,162839454,2.9524566774368286,3.647374532675743,1.2353693656369606,Mixed,Neu,Mecp2
Ap1s2,chrX,163909017,163933666,+,163899017,163909017,2.71658898897171,3.7579675611495973,1.3833404966321654,Mixed,Neu,Mecp2
Gemin8,chrX,166170454,166190512,+,166160454,166170454,4.018079225858052,3.5597152491092685,0.8859246045227241,Mixed,Neu,Mecp2
