gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Nudt11,chrX,6047453,6055110,+,6037453,6047453,1.3180035773515701,1.2791936606407166,0.9705540126159299,Mixed,NSC,Mecp2
Syp,chrX,7638471,7653256,+,7628471,7638471,3.259001627290249,2.9784040187454224,0.9139007461072873,Mixed,NSC,Mecp2
Ccdc120,chrX,7731714,7750905,-,7750905,7760905,2.816868739128113,2.7851169751644136,0.9887279930645518,Mixed,NSC,Mecp2
Tbc1d25,chrX,8154472,8176181,-,8176181,8186181,3.009556562972069,2.672223952498436,0.8879128524700323,Mixed,NSC,Mecp2
Ebp,chrX,8185329,8193512,-,8193512,8203512,3.105467525565624,2.847688481268883,0.9169918725040317,Mixed,NSC,Mecp2
Mid1ip1,chrX,10715013,10719690,+,10705013,10715013,1.9775284026861188,2.039788981370926,1.0314840376503505,Mixed,NSC,Mecp2
Bcor,chrX,12036740,12160355,-,12160355,12170355,3.058230763375759,2.8333806092500686,0.9264770478348421,Mixed,NSC,Mecp2
Cask,chrX,13517080,13851367,-,13851367,13861367,2.2540358005762102,2.9048173247814177,1.2887183619882367,Mixed,NSC,Mecp2
Chst7,chrX,20059560,20097521,+,20049560,20059560,2.70506381714344,2.5451059461832046,0.9408672468477466,Mixed,NSC,Mecp2
Slc9a7,chrX,20105754,20291807,-,20291807,20301807,2.813621476453543,2.586176735208035,0.9191629921974461,Mixed,NSC,Mecp2
Dock11,chrX,35888832,36076562,+,35878832,35888832,2.7126409863829615,2.2410845158338546,0.8261633320014526,Mixed,NSC,Mecp2
Lonrf3,chrX,36328353,36362341,+,36318353,36328353,2.5262686014771463,2.544312859163284,1.007142652082042,Mixed,NSC,Mecp2
Akap17b,chrX,36608314,36645395,-,36645395,36655395,1.3950471720099449,1.9248480604887006,1.3797727411005274,Mixed,NSC,Mecp2
Upf3b,chrX,37091678,37110322,-,37110322,37120322,2.812128962135315,2.895126312417984,1.0295140626195347,Mixed,NSC,Mecp2
Zbtb33,chrX,38189793,38197046,+,38179793,38189793,3.2872635289788246,2.484334924912453,0.7557455929565227,Mixed,NSC,Mecp2
Gria3,chrX,41400854,41678601,+,41390854,41400854,2.734438161802292,2.796010915937424,1.0225175156619921,Mixed,NSC,Mecp2
Xiap,chrX,42059679,42109656,+,42049679,42059679,3.02812394797802,2.953220484232903,0.9752640694265067,Mixed,NSC,Mecp2
