gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Clcn5,chrX,7153810,7319358,-,7319358,7329358,2.5533041628360746,3.1610403190294907,1.2380194906032562,Mixed,Neu,GFP
Cacna1f,chrX,7607083,7635196,+,7597083,7607083,2.6662807071924206,3.1985611667792004,1.199634066342275,Mixed,Neu,GFP
Slc35a2,chrX,7884028,7894492,+,7874028,7884028,3.369515769171715,3.4110729781707128,1.0123332881772544,Mixed,Neu,GFP
Porcn,chrX,8193848,8206525,-,8206525,8216525,3.5062703216075897,4.0819290504058205,1.1641797910590925,Mixed,Neu,GFP
Xk,chrX,9272756,9313250,+,9262756,9272756,1.285283262014389,4.3384533658425015,3.375484217419095,Heterochromatin,Neu,GFP
Bcor,chrX,12036740,12160355,-,12160355,12170355,3.1648376760482786,2.8263894675572714,0.8930598523101492,Mixed,Neu,GFP
Cask,chrX,13517080,13851367,-,13851367,13861367,2.6039390847921373,4.514169948037465,1.7335927612138493,Mixed,Neu,GFP
Wdr44,chrX,23693051,23806025,+,23683051,23693051,2.0411866961717604,3.2069446966528896,1.5711177731402546,Mixed,Neu,GFP
Slc25a43,chrX,36743659,36777202,+,36733659,36743659,2.137185202383995,2.368307132569949,1.1081431454457673,Mixed,Neu,GFP
Sowahd,chrX,37048845,37050418,+,37038845,37048845,3.6238059207201,3.4009428350130713,0.9385002699971463,Mixed,Neu,GFP
Bcorl1,chrX,48341358,48408049,+,48331358,48341358,3.733286265206337,3.1379626495281854,0.8405363067851299,Mixed,Neu,GFP
Elf4,chrX,48411046,48463132,-,48463132,48473132,4.323694923162461,3.487794123888016,0.8066698011470602,Mixed,Neu,GFP
Aifm1,chrX,48474944,48513563,-,48513563,48523563,3.6370578763127326,3.1007081007083257,0.8525319657139575,Mixed,Neu,GFP
Rbmx2,chrX,48695004,48710723,+,48685004,48695004,2.6978640295505523,3.7889894594589872,1.4044404825287693,Mixed,Neu,GFP
AW822252,chrX,53695855,53716773,-,53716773,53726773,2.5938447461128233,3.439837739658356,1.326154059456855,Mixed,Neu,GFP
Smim10l2a,chrX,56374586,56377799,+,56364586,56374586,2.4108664378881457,3.345059590053559,1.3874927028241935,Mixed,Neu,GFP
Gpr101,chrX,57496668,57503757,-,57503757,57513757,1.8569471887826918,3.8746145441055297,2.086550747113872,Mixed,Neu,GFP
Plxna3,chrX,74329066,74344689,+,74319066,74329066,2.4587963946104052,3.8090188781976697,1.5491396060881268,Mixed,Neu,GFP
G6pdx,chrX,74409483,74429194,-,74429194,74439194,3.1954137126922606,3.8738668495416637,1.2123209067278427,Mixed,Neu,GFP
Dkc1,chrX,75095854,75109777,+,75085854,75095854,1.605024356365204,3.785731608160337,2.358675488721954,Mixed,Neu,GFP
Nr0b1,chrX,86191764,86195947,+,86181764,86191764,3.143058693766594,4.20222239584128,1.3369850216845298,Mixed,Neu,GFP
Maged1,chrX,94535474,94542143,-,94542143,94552143,1.7405310752391814,2.7983548256556197,1.6077591865293606,Mixed,Neu,GFP
Snx12,chrX,101097786,101222563,-,101222563,101232563,2.57315186920166,2.8305132598638534,1.1000179560882435,Mixed,Neu,GFP
Rtl5,chrX,102066544,102071304,-,102071304,102081304,3.75922956597805,3.7280409927527116,0.9917034667136047,Mixed,Neu,GFP
Magee2,chrX,104854952,104857267,-,104857267,104867267,0.7614689853191375,1.5963935165564218,2.096465578157935,Mixed,Neu,GFP
Tspan6,chrX,133891068,133898429,-,133898429,133908429,2.6715137237310413,2.8902097046852107,1.0818621963314259,Mixed,Neu,GFP
Bhlhb9,chrX,135797594,135891081,+,135787594,135797594,2.0864034159898757,3.597370178572337,1.724196840842305,Mixed,Neu,GFP
Tro,chrX,150645304,150657583,-,150657583,150667583,2.7142669882774353,3.9939677064259844,1.471471938344831,Mixed,Neu,GFP
Huwe1,chrX,151800807,151935417,+,151790807,151800807,3.361367811560631,3.033488305513064,0.9024565223359661,Mixed,Neu,GFP
Rragb,chrX,153139981,153171943,+,153129981,153139981,2.3677766980290413,3.1793561045408247,1.3427601121285422,Mixed,Neu,GFP
Txlng,chrX,162778919,162829454,-,162829454,162839454,3.555396154522896,2.9408759995539984,0.8271584576624034,Mixed,Neu,GFP
Ap1s2,chrX,163909017,163933666,+,163899017,163909017,2.6907128603458403,3.5803866777618722,1.330646138622789,Mixed,Neu,GFP
Gemin8,chrX,166170454,166190512,+,166160454,166170454,4.123334586024285,2.8659752017974855,0.6950624893530302,Mixed,Neu,GFP
