gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Aasdhppt,chr9,4304471,4314471,63.92667198223868,63.92667198223868,1.0,intermediate
Birc2,chr9,7832064,7842064,20.84922540810108,20.84922540810108,1.0,intermediate
Fam76b,chr9,13822716,13832716,122.20088722160062,122.20088722160062,1.0,intermediate
Sesn3,chr9,14270067,14280067,70.15866983700792,70.15866983700792,1.0,intermediate
Chordc1,chr9,18287125,18297125,25.386112872451545,25.386112872451545,1.0,intermediate
Pin1,chr9,20647095,20657095,73.52300053327282,73.52300053327282,1.0,intermediate
Angptl6,chr9,20874727,20884727,43.37483494293888,43.37483494293888,1.0,intermediate
Pde4a,chr9,21160714,21170714,21.11352271801432,21.11352271801432,1.0,intermediate
Kri1,chr9,21282969,21292969,77.91539450046817,77.91539450046817,1.0,intermediate
Cdkn2d,chr9,21286407,21296407,77.25582165495159,77.25582165495159,1.0,intermediate
Ilf3,chr9,21362871,21372871,62.92447687568466,62.92447687568466,1.0,intermediate
Yipf2,chr9,21587828,21597828,22.507367058527475,22.507367058527475,1.0,intermediate
Smarca4,chr9,21611169,21621169,29.167580201935774,29.167580201935774,1.0,intermediate
Spc24,chr9,21755303,21765303,14.607735066278776,14.607735066278776,1.0,intermediate
Swsap1,chr9,21950755,21960755,49.59875350806117,49.59875350806117,1.0,intermediate
Prkcsh,chr9,21997806,22007806,52.53792392918069,52.53792392918069,1.0,intermediate
Zfp872,chr9,22183090,22193090,3.3808847453991575,3.3808847453991575,1.0,intermediate
Dpy19l2,chr9,24691293,24701293,6.923443195350966,6.923443195350966,1.0,intermediate
B3gat1,chr9,26728728,26738728,11.618511488982042,11.618511488982042,1.0,intermediate
Prdm10,chr9,31275538,31285538,67.43274667286276,67.43274667286276,1.0,intermediate
Foxred1,chr9,35206055,35216055,26.469692492892346,26.469692492892346,1.0,intermediate
Stt3a,chr9,36762679,36772679,72.844232337751,72.844232337751,1.0,intermediate
Robo3,chr9,37428246,37438246,12.081596793804565,12.081596793804565,1.0,intermediate
Scn3b,chr9,40264217,40274217,15.216358041110636,15.216358041110636,1.0,intermediate
Oaf,chr9,43234911,43244911,22.46889796878497,22.46889796878497,1.0,intermediate
Usp2,chr9,44062021,44072021,25.014749815543496,25.014749815543496,1.0,intermediate
Cbl,chr9,44229049,44239049,13.00471292416056,13.00471292416056,1.0,intermediate
Hinfp,chr9,44300671,44310671,29.27307161742647,29.27307161742647,1.0,intermediate
Ube4a,chr9,44960600,44970600,12.295902556111413,12.295902556111413,1.0,intermediate
Mpzl3,chr9,45050186,45060186,11.597135324680806,11.597135324680806,1.0,intermediate
Nkapd1,chr9,50612464,50622464,18.093012214024863,18.093012214024863,1.0,intermediate
Fdxacb1,chr9,50763236,50773236,28.14872951171796,28.14872951171796,1.0,intermediate
Atm,chr9,53531740,53541740,37.77564448046684,37.77564448046684,1.0,intermediate
Rab39,chr9,53701232,53711232,23.214196011914808,23.214196011914808,1.0,intermediate
Peak1,chr9,56413067,56423067,44.409824122373266,44.409824122373266,1.0,intermediate
Snx33,chr9,56923371,56933371,23.94591854727467,23.94591854727467,1.0,intermediate
Imp3,chr9,56932475,56942475,14.260718203514815,14.260718203514815,1.0,intermediate
Arid3b,chr9,57831793,57841793,12.916495043302575,12.916495043302575,1.0,intermediate
Arih1,chr9,59481618,59491618,18.41034594658812,18.41034594658812,1.0,intermediate
