gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Rab10os,chr12,3230504,3240504,43.804029243663955,43.804029243663955,1.0,intermediate
Gdf7,chr12,8296954,8306954,14.475573635613918,14.475573635613918,1.0,intermediate
Rps7,chr12,28630953,28640953,11.456611929837862,11.456611929837862,1.0,intermediate
Rnaseh1,chr12,28644602,28654602,8.903885401109854,8.903885401109854,1.0,intermediate
Sntg2,chr12,30368375,30378375,18.246488962243003,18.246488962243003,1.0,intermediate
Hbp1,chr12,31945535,31955535,152.07993165972832,152.07993165972832,1.0,intermediate
Tspan13,chr12,36037500,36047500,9.334735690077148,9.334735690077148,1.0,intermediate
Mir1938,chr12,40217811,40227811,78.3974250813842,78.3974250813842,1.0,intermediate
Mir5627,chr12,44205313,44215313,37.689237414316345,37.689237414316345,1.0,intermediate
3110039M20Rik,chr12,49384652,49394652,12.77626330326001,12.77626330326001,1.0,intermediate
Scfd1,chr12,51372510,51382510,14.09547062515219,14.09547062515219,1.0,intermediate
Ap4s1,chr12,51686033,51696033,35.470436697214836,35.470436697214836,1.0,intermediate
Arhgap5,chr12,52498972,52508972,34.66468806371888,34.66468806371888,1.0,intermediate
Eapp,chr12,54690897,54700897,94.56013474990327,94.56013474990327,1.0,intermediate
Togaram1,chr12,64960804,64970804,30.070406066854797,30.070406066854797,1.0,intermediate
Lrr1,chr12,69163814,69173814,17.97282916121682,17.97282916121682,1.0,intermediate
Arf6,chr12,69367150,69377150,12.193728628744681,12.193728628744681,1.0,intermediate
Arid4a,chr12,71010990,71020990,56.65226109992464,56.65226109992464,1.0,intermediate
Jkamp,chr12,72080589,72090589,95.53560890951951,95.53560890951951,1.0,intermediate
Pcnx4,chr12,72531383,72541383,25.06986546503504,25.06986546503504,1.0,intermediate
Wdr89,chr12,75664537,75674537,70.87070435781679,70.87070435781679,1.0,intermediate
Hspa2,chr12,76399176,76409176,68.34462017222245,68.34462017222245,1.0,intermediate
Fut8,chr12,77233125,77243125,16.743362709204355,16.743362709204355,1.0,intermediate
Eif2s1,chr12,78856819,78866819,54.07080132948557,54.07080132948557,1.0,intermediate
Med6,chr12,81590008,81600008,15.11748291043242,15.11748291043242,1.0,intermediate
Rbm25,chr12,83626236,83636236,30.575321222595374,30.575321222595374,1.0,intermediate
Numb,chr12,83916934,83926934,45.86458946192264,45.86458946192264,1.0,intermediate
Aldh6a1,chr12,84446004,84456004,166.75810479354263,166.75810479354263,1.0,intermediate
Ylpm1,chr12,84991321,85001321,12.161423403741916,12.161423403741916,1.0,intermediate
Tmed10,chr12,85369847,85379847,23.638681281903384,23.638681281903384,1.0,intermediate
Ttll5,chr12,85819659,85829659,34.542141900235414,34.542141900235414,1.0,intermediate
Gstz1,chr12,87142165,87152165,26.293623866468668,26.293623866468668,1.0,intermediate
Sptlc2,chr12,87383355,87393355,44.00402937763929,44.00402937763929,1.0,intermediate
Adck1,chr12,88355554,88365554,12.081734802997113,12.081734802997113,1.0,intermediate
Gtf2a1,chr12,91585487,91595487,30.24717906781832,30.24717906781832,1.0,intermediate
Sel1l,chr12,91844157,91854157,40.60401591072281,40.60401591072281,1.0,intermediate
Gm10433,chr12,100182968,100192968,28.4957146039923,28.4957146039923,1.0,intermediate
Rps6ka5,chr12,100721983,100731983,78.90529687274496,78.90529687274496,1.0,intermediate
Cpsf2,chr12,101970988,101980988,23.46019172482292,23.46019172482292,1.0,intermediate
Slc24a4,chr12,102123733,102133733,9.436135320772726,9.436135320772726,1.0,intermediate
Golga5,chr12,102464135,102474135,16.673213901132346,16.673213901132346,1.0,intermediate
Gon7,chr12,102752803,102762803,20.24317673290173,20.24317673290173,1.0,intermediate
Snhg10,chr12,105027279,105037279,66.75040606843233,66.75040606843233,1.0,intermediate
Tunar,chr12,105328870,105338870,9.317519403388102,9.317519403388102,1.0,intermediate
Ccnk,chr12,108174579,108184579,55.27931365745862,55.27931365745862,1.0,intermediate
Cyp46a1,chr12,108329381,108339381,43.77042791393796,43.77042791393796,1.0,intermediate
Yy1,chr12,108787973,108797973,15.946781337151924,15.946781337151924,1.0,intermediate
B930059L03Rik,chr12,110585512,110595512,29.50182196646134,29.50182196646134,1.0,intermediate
4921507G05Rik,chr12,110836029,110846029,39.52310157250762,39.52310157250762,1.0,intermediate
Tnfaip2,chr12,111437469,111447469,15.489038655881084,15.489038655881084,1.0,intermediate
Eif5,chr12,111533016,111543016,31.21930753457944,31.21930753457944,1.0,intermediate
Mir203,chr12,112125880,112135880,11.147502902001143,11.147502902001143,1.0,intermediate
Kif26a,chr12,112141208,112151208,18.647113633555172,18.647113633555172,1.0,intermediate
Siva1,chr12,112639679,112649679,31.0845253967007,31.0845253967007,1.0,intermediate
Cep170b,chr12,112715455,112725455,17.69877306290467,17.69877306290467,1.0,intermediate
Tedc1,chr12,113151421,113161421,45.77470118346215,45.77470118346215,1.0,intermediate
Zfp386,chr12,116042724,116052724,29.280075553492704,29.280075553492704,1.0,intermediate
Esyt2,chr12,116276196,116286196,29.13595956669052,29.13595956669052,1.0,intermediate
Sp4,chr12,118296440,118306440,55.013761977881195,55.013761977881195,1.0,intermediate
Sp8,chr12,118841329,118851329,14.731201236806314,14.731201236806314,1.0,intermediate
