gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type
Shroom4,chrX,6399854,6637448,+,6389854,6399854,2.9936546962261206,3.365720697307587,0.37206600108146626,Mixed,Neu
Clcn5,chrX,7153810,7319358,-,7319358,7329358,2.5533041628360746,3.1610403190294907,0.607736156193416,Mixed,Neu
Ppp1r3f,chrX,7557296,7574283,-,7574283,7584283,2.6729471771955495,3.741256646601359,1.0683094694058095,Mixed,Neu
Syp,chrX,7638471,7653256,+,7628471,7638471,2.97698050365448,4.401414489452044,1.424433985797564,Mixed,Neu
Gpkow,chrX,7697131,7710262,+,7687131,7697131,4.187857226657868,3.4034054249286645,-0.7844518017292033,Mixed,Neu
Praf2,chrX,7728439,7731064,+,7718439,7728439,3.8305551043987274,3.437324082891146,-0.39323102150758116,Mixed,Neu
Tfe3,chrX,7762560,7775202,+,7752560,7762560,3.558594039320946,2.821232152581215,-0.7373618867397309,Mixed,Neu
Otud5,chrX,7841364,7876626,+,7831364,7841364,4.7164435836315155,4.099706803027789,-0.6167367806037269,Mixed,Neu
Pim2,chrX,7878262,7883432,+,7868262,7878262,3.052821932792664,3.7930540263096493,0.7402320935169855,Mixed,Neu
Slc35a2,chrX,7884028,7894492,+,7874028,7884028,3.369515769171715,3.4110729781707128,0.04155720899899773,Mixed,Neu
Timm17b,chrX,7899357,7908351,+,7889357,7899357,4.004619744062424,3.7230053961277014,-0.2816143479347226,Mixed,Neu
Hdac6,chrX,7930120,7947889,-,7947889,7957889,3.911684837317466,3.6375858120679854,-0.2740990252494808,Mixed,Neu
Suv39h1,chrX,8061171,8074760,-,8074760,8084760,4.325136511564255,4.108295838038127,-0.21684067352612768,Mixed,Neu
Gm6787,chrX,8097087,8106701,+,8087087,8097087,3.8847745081663128,3.639862475331624,-0.24491203283468854,Mixed,Neu
Rbm3,chrX,8138975,8145880,-,8145880,8155880,4.227208093762398,3.30728104754289,-0.9199270462195077,Mixed,Neu
Tbc1d25,chrX,8154472,8176181,-,8176181,8186181,3.5300459313392643,3.176512382348379,-0.3535335489908853,Mixed,Neu
Ebp,chrX,8185329,8193512,-,8193512,8203512,5.346833534026146,3.772967463715871,-1.5738660703102751,Mixed,Neu
B630019K06Rik,chrX,8892382,8894964,+,8882382,8892382,2.773929770064354,2.953118833931287,0.17918906386693312,Mixed,Neu
Lancl3,chrX,9199902,9268085,+,9189902,9199902,3.321012895822525,4.508095380282402,1.1870824844598769,Mixed,Neu
Rpgr,chrX,10073621,10216920,-,10216920,10226920,1.7867957239151,4.132350878636042,2.345555154720942,Heterochromatin,Neu
Mid1ip1,chrX,10715013,10719690,+,10705013,10715013,1.521819834947586,3.748262385511398,2.226442550563812,Heterochromatin,Neu
Bcor,chrX,12036740,12160355,-,12160355,12170355,3.1648376760482786,2.8263894675572714,-0.3384482084910072,Mixed,Neu
Atp6ap2,chrX,12587801,12617049,+,12577801,12587801,2.740807491564751,2.9359424623012544,0.19513497073650354,Mixed,Neu
1810030O07Rik,chrX,12654879,12673668,-,12673668,12683668,2.111159371137619,3.567676799988746,1.456517428851127,Mixed,Neu
