gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type
Shroom4,chrX,6399854,6637448,+,6389854,6399854,2.9936546962261206,3.365720697307587,1.124284875456913,Mixed,Neu
Clcn5,chrX,7153810,7319358,-,7319358,7329358,2.5533041628360746,3.1610403190294907,1.2380194906032562,Mixed,Neu
Ppp1r3f,chrX,7557296,7574283,-,7574283,7584283,2.6729471771955495,3.741256646601359,1.399674740496248,Mixed,Neu
Syp,chrX,7638471,7653256,+,7628471,7638471,2.97698050365448,4.401414489452044,1.4784828063364734,Mixed,Neu
Gpkow,chrX,7697131,7710262,+,7687131,7697131,4.187857226657868,3.4034054249286645,0.8126842059619981,Mixed,Neu
Praf2,chrX,7728439,7731064,+,7718439,7728439,3.8305551043987274,3.437324082891146,0.8973435936070927,Mixed,Neu
Tfe3,chrX,7762560,7775202,+,7752560,7762560,3.558594039320946,2.821232152581215,0.7927940420873534,Mixed,Neu
Otud5,chrX,7841364,7876626,+,7831364,7841364,4.7164435836315155,4.099706803027789,0.8692369007138937,Mixed,Neu
Pim2,chrX,7878262,7883432,+,7868262,7878262,3.052821932792664,3.7930540263096493,1.2424747036719024,Mixed,Neu
Slc35a2,chrX,7884028,7894492,+,7874028,7884028,3.369515769171715,3.4110729781707128,1.0123332881772544,Mixed,Neu
Timm17b,chrX,7899357,7908351,+,7889357,7899357,4.004619744062424,3.7230053961277014,0.9296776308531498,Mixed,Neu
Hdac6,chrX,7930120,7947889,-,7947889,7957889,3.911684837317466,3.6375858120679854,0.9299281417984965,Mixed,Neu
Suv39h1,chrX,8061171,8074760,-,8074760,8084760,4.325136511564255,4.108295838038127,0.9498650105155401,Mixed,Neu
Gm6787,chrX,8097087,8106701,+,8087087,8097087,3.8847745081663128,3.639862475331624,0.9369559205251551,Mixed,Neu
Rbm3,chrX,8138975,8145880,-,8145880,8155880,4.227208093762398,3.30728104754289,0.7823795219409857,Mixed,Neu
Tbc1d25,chrX,8154472,8176181,-,8176181,8186181,3.5300459313392643,3.176512382348379,0.8998501560978959,Mixed,Neu
Ebp,chrX,8185329,8193512,-,8193512,8203512,5.346833534026146,3.772967463715871,0.7056452084594524,Mixed,Neu
B630019K06Rik,chrX,8892382,8894964,+,8882382,8892382,2.773929770064354,2.953118833931287,1.0645975488639627,Mixed,Neu
Lancl3,chrX,9199902,9268085,+,9189902,9199902,3.321012895822525,4.508095380282402,1.3574459123459286,Mixed,Neu
Rpgr,chrX,10073621,10216920,-,10216920,10226920,1.7867957239151,4.132350878636042,2.3127158988166414,Mixed,Neu
Mid1ip1,chrX,10715013,10719690,+,10705013,10715013,1.521819834947586,3.748262385511398,2.4630132289217364,Mixed,Neu
Bcor,chrX,12036740,12160355,-,12160355,12170355,3.1648376760482786,2.8263894675572714,0.8930598523101492,Mixed,Neu
Atp6ap2,chrX,12587801,12617049,+,12577801,12587801,2.740807491564751,2.9359424623012544,1.0711961607435256,Mixed,Neu
1810030O07Rik,chrX,12654879,12673668,-,12673668,12683668,2.111159371137619,3.567676799988746,1.6899135369710474,Mixed,Neu
Med14,chrX,12675369,12762073,-,12762073,12772073,3.865700073826313,3.762513284111023,0.9733070885623171,Mixed,Neu
AA414768,chrX,12936872,12938128,+,12926872,12936872,3.8316371915340426,2.9522993872086207,0.7705059846823942,Mixed,Neu
Usp9x,chrX,13071498,13173328,+,13061498,13071498,2.8692043640851974,3.7527803270419433,1.3079515610727368,Mixed,Neu
Ddx3x,chrX,13280970,13294052,+,13270970,13280970,3.063853961348533,3.253547535618146,1.0619133864285493,Mixed,Neu
Cask,chrX,13517080,13851367,-,13851367,13861367,2.6039390847921373,4.514169948037465,1.7335927612138493,Mixed,Neu
Maoa,chrX,16619698,16687818,+,16609698,16619698,5.402650093770028,3.4639566174666085,0.6411587938039908,Mixed,Neu
Kdm6a,chrX,18162575,18279936,+,18152575,18162575,1.9693483234047888,3.5257648379405335,1.7903205827219382,Mixed,Neu
Slc9a7,chrX,20105754,20291807,-,20291807,20301807,3.0064083694219588,4.099138179818789,1.3634668601614255,Mixed,Neu
Jade3,chrX,20425688,20519939,+,20415688,20425688,2.8369890851974486,3.796492777721087,1.3382119788652125,Mixed,Neu
Ndufb11,chrX,20615326,20617619,-,20617619,20627619,3.370521590399742,3.018684387159348,0.8956134254583824,Mixed,Neu
Cdk16,chrX,20687954,20699880,+,20677954,20687954,3.7912677865028384,4.207372323218982,1.10975340180335,Mixed,Neu
Usp11,chrX,20703906,20720539,+,20693906,20703906,3.899559307813644,3.2368146017313,0.830046255546265,Mixed,Neu
Araf,chrX,20797814,20860519,+,20787814,20797814,3.853018049693108,3.640180014149348,0.9447606959534715,Mixed,Neu
Syn1,chrX,20860511,20921004,-,20921004,20931004,3.211553404688835,3.4955980257113772,1.0884446201666271,Mixed,Neu
Uxt,chrX,20941722,20962017,-,20962017,20972017,4.674484670221806,2.9840516320228576,0.638370182499981,Mixed,Neu
Klhl13,chrX,23219271,23365082,-,23365082,23375082,2.378771417784691,3.749308594441414,1.5761533732959854,Mixed,Neu
Wdr44,chrX,23693051,23806025,+,23683051,23693051,2.0411866961717604,3.2069446966528896,1.5711177731402546,Mixed,Neu
Dock11,chrX,35888832,36076562,+,35878832,35888832,2.589615775132179,3.3554059696435927,1.2957157590192414,Mixed,Neu
Il13ra1,chrX,36112110,36171259,+,36102110,36112110,2.04043923163414,3.3916584336757665,1.662219771651551,Mixed,Neu
Lonrf3,chrX,36328353,36362341,+,36318353,36328353,3.2731271508932114,2.781248207648595,0.8497220179453199,Mixed,Neu
Pgrmc1,chrX,36598206,36606079,+,36588206,36598206,2.5943237658977507,3.3266450447241467,1.2822782909568653,Mixed,Neu
Akap17b,chrX,36608314,36645395,-,36645395,36655395,2.7856078755855562,2.39968135090669,0.8614569810556192,Mixed,Neu
Slc25a5,chrX,36795651,36798807,+,36785651,36795651,3.177041640281677,3.2556975144704183,1.0247575836562746,Mixed,Neu
Ube2a,chrX,36873900,36884222,+,36863900,36873900,2.943932967662811,3.485775226990382,1.1840538712257906,Mixed,Neu
Sowahd,chrX,37048845,37050418,+,37038845,37048845,3.6238059207201,3.4009428350130713,0.9385002699971463,Mixed,Neu
Rpl39,chrX,37082520,37085402,-,37085402,37095402,3.2449430398464205,3.9130433381080625,1.2058896843666207,Mixed,Neu
Upf3b,chrX,37091678,37110322,-,37110322,37120322,4.283756910920143,2.503320212785403,0.5843749458340983,Mixed,Neu
Ndufa1,chrX,37187588,37191163,-,37191163,37201163,4.131001393127441,3.6756951272726064,0.8897830761780166,Mixed,Neu
Rhox13,chrX,38121219,38129967,+,38111219,38121219,2.6382045096158984,3.1486676424781486,1.193488840990788,Mixed,Neu
Zbtb33,chrX,38189793,38197046,+,38179793,38189793,2.8442414340257645,3.0931112418015796,1.0874995367125226,Mixed,Neu
Cul4b,chrX,38533274,38576196,-,38576196,38586196,2.4937389515638353,3.252354788462321,1.3042081996685155,Mixed,Neu
C1galt1c1,chrX,38630785,38635087,-,38635087,38645087,3.1836734153747557,3.104981017446518,0.9752825156160138,Mixed,Neu
Gria3,chrX,41400854,41678601,+,41390854,41400854,1.9221296094417573,3.483625589871407,1.8123780897809247,Mixed,Neu
Thoc2,chrX,41794991,41920674,-,41920674,41930674,2.9267294771194456,3.3830419511397682,1.1559120778287428,Mixed,Neu
Xiap,chrX,42059679,42109656,+,42049679,42059679,3.2553519909381867,3.4934257834990823,1.073133041595383,Mixed,Neu
Stag2,chrX,42149317,42277185,+,42139317,42149317,2.881260787177086,3.021791108051936,1.0487738983920767,Mixed,Neu
Dcaf12l1,chrX,44786570,44790197,-,44790197,44800197,2.3624663232207297,3.279287171737353,1.3880778487740428,Mixed,Neu
Ocrl,chrX,47912387,47965868,+,47902387,47912387,2.178618978142738,3.260318407944838,1.4965069342801023,Mixed,Neu
Apln,chrX,48025146,48034853,-,48034853,48044853,3.3707873978614806,3.2431729582627615,0.962141059480737,Mixed,Neu
Utp14a,chrX,48256862,48282453,+,48246862,48256862,2.9916683214426043,2.9324708602348966,0.9802125587307211,Mixed,Neu
Bcorl1,chrX,48341358,48408049,+,48331358,48341358,3.733286265206337,3.1379626495281854,0.8405363067851299,Mixed,Neu
Elf4,chrX,48411046,48463132,-,48463132,48473132,4.323694923162461,3.487794123888016,0.8066698011470602,Mixed,Neu
Aifm1,chrX,48474944,48513563,-,48513563,48523563,3.6370578763127326,3.1007081007083257,0.8525319657139575,Mixed,Neu
Zfp280c,chrX,48541625,48594504,-,48594504,48604504,2.9843627462148667,4.0917326685110735,1.371057413747946,Mixed,Neu
Rbmx2,chrX,48695004,48710723,+,48685004,48695004,2.6978640295505523,3.7889894594589872,1.4044404825287693,Mixed,Neu
Stk26,chrX,50841047,50893097,+,50831047,50841047,1.3560883498430252,3.4103902242263167,2.5148731825777344,Mixed,Neu
Rap2c,chrX,51003912,51018018,-,51018018,51028018,2.641251442527771,3.4662171181042987,1.312338939903051,Mixed,Neu
Hs6st2,chrX,51387212,51681856,-,51681856,51691856,2.5783460906267166,2.5492675496578214,0.9887220179344399,Mixed,Neu
Gpc4,chrX,52053021,52165252,-,52165252,52175252,2.3978439553260804,3.304599196322759,1.3781543994898409,Mixed,Neu
Gpc3,chrX,52272426,52613950,-,52613950,52623950,2.9012857567071917,3.532683846394221,1.2176269911460336,Mixed,Neu
Ccdc160,chrX,52791200,52799468,+,52781200,52791200,3.3654576736688613,3.145314972082774,0.9345875886930712,Mixed,Neu
Phf6,chrX,52912266,52956943,+,52902266,52912266,3.209466946911812,2.68689136680762,0.837176830686161,Mixed,Neu
Rtl8b,chrX,53669177,53670408,-,53670408,53680408,1.4592834807157515,1.339665375916163,0.9180295628777226,Mixed,Neu
Smim10l2a,chrX,56374586,56377799,+,56364586,56374586,2.4108664378881457,3.345059590053559,1.3874927028241935,Mixed,Neu
Ints6l,chrX,56454857,56507843,+,56444857,56454857,3.7895466282367707,3.6921348102649056,0.9742945983970674,Mixed,Neu
Mmgt1,chrX,56585512,56598069,-,56598069,56608069,3.1225631877064703,3.495056493234634,1.1192908784022912,Mixed,Neu
Slc9a6,chrX,56609757,56664230,+,56599757,56609757,2.9131839390993117,3.742890733464559,1.2848109874660962,Mixed,Neu
Fhl1,chrX,56731787,56793346,+,56721787,56731787,3.3051086844682693,2.905087763611476,0.8789689057014627,Mixed,Neu
Htatsf1,chrX,57053583,57067183,+,57043583,57053583,2.1617861501216886,3.6005402206142745,1.665539498627835,Mixed,Neu
Rbmx,chrX,57383530,57393036,-,57393036,57403036,3.2290977225780484,3.3934482877095546,1.050896745546707,Mixed,Neu
Gpr101,chrX,57496668,57503757,-,57503757,57513757,1.8569471887826918,3.8746145441055297,2.086550747113872,Mixed,Neu
Zic3,chrX,58022700,58041736,+,58012700,58022700,3.73579343867302,3.263214865922928,0.8734998118852216,Mixed,Neu
Fgf13,chrX,59062145,59568071,-,59568071,59578071,2.9333164310932163,3.303660260327657,1.1262543056414878,Mixed,Neu
Atp11c,chrX,60223290,60592698,-,60592698,60602698,2.9167178123235704,3.021216643500328,1.0358275424297936,Mixed,Neu
Gm715,chrX,60548019,60548849,+,60538019,60548019,1.2590592100858689,2.9010814898411432,2.3041660523997813,Mixed,Neu
Gm14662,chrX,60893653,60898067,+,60883653,60893653,4.118872238993644,3.306093746693929,0.8026696519971934,Mixed,Neu
Slitrk4,chrX,64264885,64276996,-,64276996,64286996,1.4849229688167571,3.843647338032722,2.588448975973135,Mixed,Neu
Fmr1,chrX,68678541,68717963,+,68668541,68678541,2.0166682326078416,3.4017785337845488,1.6868310209783792,Mixed,Neu
Aff2,chrX,69360294,69868037,+,69350294,69360294,1.5415569794178008,3.5740136221249905,2.318444060027406,Mixed,Neu
Ids,chrX,70343069,70365084,-,70365084,70375084,1.6812176959514618,1.904421555161476,1.132763210705854,Mixed,Neu
Tmem185a,chrX,70459753,70477180,-,70477180,70487180,2.024617958903313,2.1754485568205517,1.0744983009036135,Mixed,Neu
Mamld1,chrX,71050240,71156056,+,71040240,71050240,3.0492772463560103,3.779687291344007,1.2395354656126667,Mixed,Neu
Mtmr1,chrX,71364760,71419196,+,71354760,71364760,3.2277888691425325,3.0481077052752177,0.9443330492941915,Mixed,Neu
Hmgb3,chrX,71555918,71560676,+,71545918,71555918,3.10338277065754,3.8144456592957177,1.2291251003135262,Mixed,Neu
Gpr50,chrX,71663667,71669257,+,71653667,71663667,1.6548481888771054,3.774545709188779,2.2809014957136284,Mixed,Neu
Vma21,chrX,71815924,71839757,+,71805924,71815924,2.425783292341232,2.9160639892578124,1.2021123232501896,Mixed,Neu
Prrg3,chrX,71962624,71972722,+,71952624,71962624,3.08168469953537,3.6329568073829015,1.17888660313972,Mixed,Neu
Gabre,chrX,72255999,72274803,-,72274803,72284803,1.8772543511390687,2.936490182733536,1.56424737060897,Mixed,Neu
Gabrq,chrX,72825178,72842602,+,72815178,72825178,1.8166053378582,2.4400379362901052,1.343185492984921,Mixed,Neu
Cetn2,chrX,72913532,72918411,-,72918411,72928411,2.3427386023283003,3.3248307558854417,1.4192068857281397,Mixed,Neu
