gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Phf14,chr6,11902809,11912809,28.344817681298654,28.344817681298654,1.0,intermediate
Gpr85,chr6,13834942,13844942,10.499512374073266,10.499512374073266,1.0,intermediate
Foxp2,chr6,14896349,14906349,24.576422823347645,24.576422823347645,1.0,intermediate
Ing3,chr6,21944571,21954571,50.52389505347511,50.52389505347511,1.0,intermediate
Prrt4,chr6,29174584,29184584,10.941530527865886,10.941530527865886,1.0,intermediate
Tspan33,chr6,29689222,29699222,11.65498919207851,11.65498919207851,1.0,intermediate
Cep41,chr6,30688749,30698749,21.690520694376033,21.690520694376033,1.0,intermediate
Mest,chr6,30718547,30728547,7.7793311528305225,7.7793311528305225,1.0,intermediate
Cnot4,chr6,35128724,35138724,33.64775131259362,33.64775131259362,1.0,intermediate
Creb3l2,chr6,37437146,37447146,60.29530496589144,60.29530496589144,1.0,intermediate
Ubn2,chr6,38428950,38438950,23.546564403305453,23.546564403305453,1.0,intermediate
Fmc1,chr6,38528502,38538502,73.9985742807885,73.9985742807885,1.0,intermediate
Luc7l2,chr6,38546334,38556334,42.31225653996268,42.31225653996268,1.0,intermediate
Lrrc61,chr6,48549796,48559796,29.984544520399968,29.984544520399968,1.0,intermediate
Cycs,chr6,50561538,50571538,37.119436562399066,37.119436562399066,1.0,intermediate
Cbx3,chr6,51465360,51475360,40.53319070837895,40.53319070837895,1.0,intermediate
Mturn,chr6,54676624,54686624,20.052680564179024,20.052680564179024,1.0,intermediate
Grid2,chr6,63250876,63260876,13.750037555406491,13.750037555406491,1.0,intermediate
Mad2l1,chr6,66530390,66540390,36.51364112432798,36.51364112432798,1.0,intermediate
Kdm3a,chr6,71627990,71637990,33.362265095273656,33.362265095273656,1.0,intermediate
Immt,chr6,71826331,71836331,16.633744498835007,16.633744498835007,1.0,intermediate
Mat2a,chr6,72434558,72444558,31.3929820265015,31.3929820265015,1.0,intermediate
Suclg1,chr6,73243382,73253382,46.83788781122763,46.83788781122763,1.0,intermediate
Ctnna2,chr6,77974699,77984699,7.433744186937809,7.433744186937809,1.0,intermediate
Lrrtm1,chr6,77237689,77247689,19.725362761676312,19.725362761676312,1.0,intermediate
Eva1a,chr6,82036043,82046043,13.811510656875372,13.811510656875372,1.0,intermediate
Aup1,chr6,83049521,83059521,24.964250544657315,24.964250544657315,1.0,intermediate
Pcgf1,chr6,83072869,83082869,17.56965819507241,17.56965819507241,1.0,intermediate
Wbp1,chr6,83116559,83126559,24.870034114293258,24.870034114293258,1.0,intermediate
Dguok,chr6,83501969,83511969,27.12844567628503,27.12844567628503,1.0,intermediate
Paip2b,chr6,83826741,83836741,40.80372141292592,40.80372141292592,1.0,intermediate
Emx1,chr6,85182438,85192438,14.509497737248736,14.509497737248736,1.0,intermediate
Fam136a,chr6,86360646,86370646,18.158459997014205,18.158459997014205,1.0,intermediate
Isy1,chr6,87833798,87843798,18.34277508414785,18.34277508414785,1.0,intermediate
Gata2,chr6,88188891,88198891,18.017843470642962,18.017843470642962,1.0,intermediate
Gm15612,chr6,88837854,88847854,132.6142343979597,132.6142343979597,1.0,intermediate
Mcm2,chr6,88893780,88903780,30.617649316052596,30.617649316052596,1.0,intermediate
Tpra1,chr6,88897251,88907251,35.033823014883204,35.033823014883204,1.0,intermediate
Chchd6,chr6,89590652,89600652,6.402053389002879,6.402053389002879,1.0,intermediate
Klf15,chr6,90457576,90467576,35.02347477756738,35.02347477756738,1.0,intermediate
Uba3,chr6,97200647,97210647,21.16287130522132,21.16287130522132,1.0,intermediate
Eif4e3,chr6,99661771,99671771,19.03580230306387,19.03580230306387,1.0,intermediate
Gpr27,chr6,99687679,99697679,5.675028199374675,5.675028199374675,1.0,intermediate
Thumpd3,chr6,113041225,113051225,13.500465178618827,13.500465178618827,1.0,intermediate
Gt(ROSA)26Sor,chr6,113072333,113082333,34.51904448692401,34.51904448692401,1.0,intermediate
