gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type,chromosome
2810429I04Rik,chr13,3478230,3501393,+,3468230,3478230,3.703266469836235,4.1548964663346615,0.4516299964984265,Mixed,NSC,chr13
Gdi2,chr13,3538063,3567871,+,3528063,3538063,5.11608335454464,4.820043864762783,-0.2960394897818563,Mixed,NSC,chr13
Tasor2,chr13,3566035,3611108,-,3611108,3621108,2.44378009121418,3.125410483364264,0.6816303921500841,Mixed,NSC,chr13
Asb13,chr13,3634032,3653822,+,3624032,3634032,4.073401721155643,4.861535674635569,0.7881339534799254,Mixed,NSC,chr13
Net1,chr13,3882018,3918220,-,3918220,3928220,4.139756418168545,4.570261302292347,0.4305048841238017,Mixed,NSC,chr13
Tubal3,chr13,3918274,3935277,+,3908274,3918274,5.578479377090931,5.57752992399931,-0.0009494530916205,Mixed,NSC,chr13
Klf6,chr13,5861482,5870394,+,5851482,5861482,4.422665952384472,4.677094479600588,0.254428527216116,Mixed,NSC,chr13
Pitrm1,chr13,6548149,6580515,+,6538149,6548149,2.952966688454151,4.190715846637885,1.237749158183734,Mixed,NSC,chr13
Pfkp,chr13,6579768,6648777,-,6648777,6658777,5.669346583926678,5.4359532154361405,-0.2333933684905371,Mixed,NSC,chr13
Wdr37,chr13,8802968,8871909,-,8871909,8881909,3.157884214687347,3.9777465171635153,0.8198623024761682,Mixed,NSC,chr13
Idi1,chr13,8885501,8892451,+,8875501,8885501,3.3890003649830813,4.16790969572862,0.778909330745539,Mixed,NSC,chr13
Gtpbp4,chr13,8966331,8996083,-,8996083,9006083,4.863650211286545,5.340068151144187,0.476417939857642,Mixed,NSC,chr13
Larp4b,chr13,9093881,9174451,+,9083881,9093881,4.664982426935435,4.882254179728031,0.2172717527925964,Mixed,NSC,chr13
Dip2c,chr13,9276528,9668928,+,9266528,9276528,6.2797578263759615,5.69592112060388,-0.5838367057720815,Mixed,NSC,chr13
Zmynd11,chr13,9684833,9765330,-,9765330,9775330,5.746070801794529,5.284961191793283,-0.4611096100012464,Mixed,NSC,chr13
Chrm3,chr13,9875486,10360847,-,10360847,10370847,4.274246769499778,3.972091699071725,-0.3021550704280531,Mixed,NSC,chr13
Ryr2,chr13,11553102,12106945,-,12106945,12116945,5.4843674383759495,5.2662050768435,-0.2181623615324497,Mixed,NSC,chr13
Mtr,chr13,12182712,12258113,-,12258113,12268113,5.393855385494232,5.243737220235666,-0.1501181652585668,Mixed,NSC,chr13
Heatr1,chr13,12395027,12440289,+,12385027,12395027,5.105245331382752,4.9161971380651,-0.1890481933176513,Mixed,NSC,chr13
Lgals8,chr13,12439415,12464944,-,12464944,12474944,5.637938270568848,5.14464980661869,-0.493288463950158,Mixed,NSC,chr13
Edaradd,chr13,12472632,12520438,-,12520438,12530438,5.662698099124432,5.3535855781634645,-0.3091125209609675,Mixed,NSC,chr13
Lyst,chr13,13590397,13778803,+,13580397,13590397,5.101441363036632,5.035461703936259,-0.0659796591003729,Mixed,NSC,chr13
B3galnt2,chr13,13954469,13999103,+,13944469,13954469,4.48103646966219,4.3206315091768905,-0.160404960485299,Mixed,NSC,chr13
Tbce,chr13,13997949,14039638,-,14039638,14049638,4.10351425498724,5.373900311112404,1.2703860561251643,Mixed,NSC,chr13
Ggps1,chr13,14050659,14063488,-,14063488,14073488,4.124732988667488,4.955551996954282,0.8308190082867934,Mixed,NSC,chr13
Psma2,chr13,14613240,14674236,+,14603240,14613240,3.7705068652629854,4.57516658415397,0.8046597188909845,Mixed,NSC,chr13
Gli3,chr13,15463235,15730026,+,15453235,15463235,4.887092013955117,5.086215802987417,0.1991237890323001,Mixed,NSC,chr13
Sugct,chr13,16857472,17695553,-,17695553,17705553,2.991124965262413,4.5661427992542585,1.5750178339918457,Mixed,NSC,chr13
Cdk13,chr13,17710315,17805097,-,17805097,17815097,4.173407835996151,4.99639103927215,0.8229832032759994,Mixed,NSC,chr13
Rala,chr13,17880571,17944239,-,17944239,17954239,4.888602568084002,4.901706998896599,0.0131044308125973,Mixed,NSC,chr13
Yae1d1,chr13,17981330,17993349,-,17993349,18003349,2.7689124874591826,3.550892209092776,0.7819797216335935,Mixed,NSC,chr13
Amph,chr13,18948205,19150921,+,18938205,18948205,5.015622425317765,4.347559362411499,-0.6680630629062652,Mixed,NSC,chr13
Stard3nl,chr13,19357676,19395795,-,19395795,19405795,3.0772617251873022,4.722901931832235,1.6456402066449325,Mixed,NSC,chr13
Epdr1,chr13,19591706,19619927,-,19619927,19629927,4.622228815090656,5.270440225243569,0.6482114101529133,Mixed,NSC,chr13
Sfrp4,chr13,19623104,19632994,+,19613104,19623104,5.242609963953495,5.24342590107123,0.0008159371177356,Mixed,NSC,chr13
Elmo1,chr13,20090596,20608353,+,20080596,20090596,3.9612098360180856,4.912398880267143,0.9511890442490576,Mixed,NSC,chr13
Trim27,chr13,21179445,21194724,+,21169445,21179445,5.459953719437122,5.202739502906799,-0.2572142165303228,Mixed,NSC,chr13
Zscan12,chr13,21362820,21372289,+,21352820,21362820,4.86950354796648,4.462791944166024,-0.4067116038004563,Mixed,NSC,chr13
Zkscan3,chr13,21387003,21402755,-,21402755,21412755,3.461228722453117,4.511104527066151,1.0498758046130336,Mixed,NSC,chr13
Pgbd1,chr13,21421275,21441058,-,21441058,21451058,5.156590577566623,4.624333561591308,-0.5322570159753157,Mixed,NSC,chr13
Nkapl,chr13,21467047,21468509,-,21468509,21478509,4.192699905586243,4.857437511614958,0.6647376060287158,Mixed,NSC,chr13
Zkscan8,chr13,21513222,21531120,-,21531120,21541120,3.7699787331819534,4.784864908397197,1.0148861752152438,Mixed,NSC,chr13
