gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type,chromosome
2810429I04Rik,chr13,3478230,3501393,+,3468230,3478230,3.4675492863655086,4.853437152504921,1.3858878661394125,Mixed,Neu,chr13
Gdi2,chr13,3538063,3567871,+,3528063,3538063,4.675169874691963,4.717529347101848,0.0423594724098848,Mixed,Neu,chr13
Tasor2,chr13,3566035,3611108,-,3611108,3621108,3.301627803397179,2.358540238873164,-0.9430875645240148,Mixed,Neu,chr13
Asb13,chr13,3634032,3653822,+,3624032,3634032,4.434438142299652,4.608914665174484,0.1744765228748317,Mixed,Neu,chr13
Net1,chr13,3882018,3918220,-,3918220,3928220,4.025854290604592,5.60437809173266,1.5785238011280684,Mixed,Neu,chr13
Tubal3,chr13,3918274,3935277,+,3908274,3918274,3.183394582414627,5.241287014460563,2.057892432045936,Heterochromatin,Neu,chr13
Klf6,chr13,5861482,5870394,+,5851482,5861482,3.5518987140178684,4.561825540693601,1.0099268266757324,Mixed,Neu,chr13
Pitrm1,chr13,6548149,6580515,+,6538149,6548149,4.218300306558609,4.723983264648914,0.5056829580903051,Mixed,Neu,chr13
Pfkp,chr13,6579768,6648777,-,6648777,6658777,5.043232538557053,4.249911437694232,-0.7933211008628209,Mixed,Neu,chr13
Wdr37,chr13,8802968,8871909,-,8871909,8881909,3.023980023503304,3.994221577731768,0.9702415542284646,Mixed,Neu,chr13
Idi1,chr13,8885501,8892451,+,8875501,8885501,3.0399098604917527,4.299275665402413,1.2593658049106602,Mixed,Neu,chr13
Gtpbp4,chr13,8966331,8996083,-,8996083,9006083,4.087298172640801,3.8801479346116383,-0.2071502380291625,Mixed,Neu,chr13
Larp4b,chr13,9093881,9174451,+,9083881,9093881,3.9165134170055382,4.09291471238931,0.176401295383771,Mixed,Neu,chr13
Dip2c,chr13,9276528,9668928,+,9266528,9276528,2.3722431542873386,4.710875488948822,2.338632334661483,Heterochromatin,Neu,chr13
