gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type
Insr,chr8,3122061,3279617,-,3279617,3289617,3.709069369792938,5.089183130804698,1.3720916551875668,Mixed,Neu
Arhgef18,chr8,3353415,3456601,+,3343415,3353415,3.2663210487365726,3.755551777879397,1.149780355893693,Mixed,Neu
Zfp358,chr8,3493138,3497208,+,3483138,3493138,5.5661914179086684,4.6724579196214675,0.8394353641141945,Mixed,Neu
Mcoln1,chr8,3500457,3515232,+,3490457,3500457,6.585085463190079,3.344969030491511,0.5079613695508629,Mixed,Neu
Pnpla6,chr8,3515384,3544267,+,3505384,3515384,5.70661713051796,4.847672145930925,0.8494826330658226,Mixed,Neu
Camsap3,chr8,3587293,3609075,+,3577293,3587293,3.602295713186264,3.9594058231353757,1.0991340351770411,Mixed,Neu
Pet100,chr8,3621548,3625848,+,3611548,3621548,5.23538725566864,5.033020172691345,0.9613463010289867,Mixed,Neu
Stxbp2,chr8,3630955,3643644,+,3620955,3630955,4.83110469508171,5.050250988046328,1.0453615284280051,Mixed,Neu
Trappc5,chr8,3676299,3681255,+,3666299,3676299,5.219787028980255,4.422907037234307,0.8473347691540535,Mixed,Neu
Evi5l,chr8,4166567,4211257,+,4156567,4166567,4.390201580381394,5.149556261730194,1.1729657892571832,Mixed,Neu
Prr36,chr8,4209543,4217459,-,4217459,4227459,4.822503981757164,4.171574200856686,0.8650224482213282,Mixed,Neu
Map2k7,chr8,4238740,4247897,+,4228740,4238740,6.108991474866866,4.584290645718575,0.7504169329060131,Mixed,Neu
Tgfbr3l,chr8,4248214,4251423,+,4238214,4248214,5.315787308526039,5.064007450962067,0.9526354530475402,Mixed,Neu
Snapc2,chr8,4253080,4256220,+,4243080,4253080,5.612191246747971,4.721452674865723,0.8412850644748798,Mixed,Neu
Ctxn1,chr8,4257660,4259274,-,4259274,4269274,5.2162322944641115,4.306088965415954,0.8255171016800622,Mixed,Neu
Timm44,chr8,4259731,4275913,-,4275913,4285913,5.542216046011447,5.108490034270287,0.9217414102697605,Mixed,Neu
Elavl1,chr8,4285382,4325413,-,4325413,4335413,4.153213831114769,5.933057547386487,1.4285461304538678,Mixed,Neu
Cers4,chr8,4493026,4531680,+,4483026,4493026,5.215291906714439,4.033293177930514,0.773359046832612,Mixed,Neu
Shcbp1,chr8,4735976,4779567,-,4779567,4789567,3.867284557414055,6.0557860589067145,1.5659013369722266,Mixed,Neu
Efnb2,chr8,8617434,8661242,-,8661242,8671242,4.1260407313108445,5.26964834245046,1.2771682796200345,Mixed,Neu
Mir7654,chr8,8690093,8690162,-,8690162,8700162,3.817408293151855,4.871897667050361,1.276231750161538,Mixed,Neu
Lig4,chr8,9969049,9977686,-,9977686,9987686,5.205889569759369,5.142917094262441,0.9879036090464289,Mixed,Neu
