gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type
Prkcg,chr7,3289179,3331099,+,3279179,3289179,5.678025404596329,4.660458861279488,0.8207886596468683,Mixed,Neu
3300002P13Rik,chr7,3421665,3423445,-,3423445,3433445,3.2970826021432873,3.8702363463242846,1.1738366347899247,Mixed,Neu
Ndufa3,chr7,3617373,3620327,+,3607373,3617373,5.912916627764702,4.1682229905446375,0.7049351873104929,Mixed,Neu
Prpf31,chr7,3629985,3642486,+,3619985,3629985,5.826341913938522,4.6205818083286285,0.7930502323035111,Mixed,Neu
Cnot3,chr7,3645268,3661109,+,3635268,3645268,5.8055461634635925,5.172990051738421,0.8910427901329807,Mixed,Neu
Leng1,chr7,3660098,3665840,-,3665840,3675840,4.2498315994739535,4.9175008890628815,1.1571048814432017,Mixed,Neu
Mboat7,chr7,3677789,3693523,-,3693523,3703523,3.7492971937656403,3.275577663962046,0.8736511123761278,Mixed,Neu
Tsen34,chr7,3692863,3701024,+,3682863,3692863,4.656047316789627,4.560758505233129,0.9795343979403114,Mixed,Neu
Rps9,chr7,3703993,3706897,+,3693993,3703993,3.7310001207470895,3.369784807650248,0.9031853922790782,Mixed,Neu
D030047H15Rik,chr7,4126340,4136926,-,4136926,4146926,7.839644283413887,4.772798241146405,0.6088029084743142,Mixed,Neu
Leng8,chr7,4137039,4148177,+,4127039,4137039,5.522655197000503,5.483564313912392,0.9929217230310988,Mixed,Neu
Leng9,chr7,4147915,4150374,-,4150374,4160374,5.145210617852211,4.455861417849858,0.8660211891792079,Mixed,Neu
Ppp1r12c,chr7,4481520,4501680,-,4501680,4511680,5.762648885607719,4.644138177315394,0.8059033735187618,Mixed,Neu
Ppp6r1,chr7,4631495,4659019,-,4659019,4669019,5.359136412382125,4.511806599887212,0.841890605632433,Mixed,Neu
Brsk1,chr7,4690604,4715997,+,4680604,4690604,3.6328744276762004,4.397756279079119,1.2105445334349698,Mixed,Neu
Kmt5c,chr7,4740115,4747514,+,4730115,4740115,5.110608338832856,4.496114103078842,0.8797610391927724,Mixed,Neu
Tmem238,chr7,4784557,4789656,-,4789656,4799656,4.895099029779434,4.126554068946839,0.8429970555943533,Mixed,Neu
Rpl28,chr7,4792874,4795066,+,4782874,4792874,5.056234974932671,4.620115227063497,0.9137461470775532,Mixed,Neu
Ube2s,chr7,4794546,4812590,-,4812590,4822590,3.6091139656305313,3.7614919203122454,1.0422203222543827,Mixed,Neu
Shisa7,chr7,4825552,4844696,-,4844696,4854696,5.471853174757958,4.3834809130509695,0.8010962233548726,Mixed,Neu
Isoc2b,chr7,4844959,4870258,-,4870258,4880258,4.959610093069077,3.66537244998614,0.73904447753028,Mixed,Neu
Isoc2a,chr7,4877153,4896973,+,4867153,4877153,5.641294779062271,4.089741773708662,0.7249650893776699,Mixed,Neu
Zfp628,chr7,4915217,4922002,+,4905217,4915217,5.386245296359062,4.405561281863849,0.8179280815231111,Mixed,Neu
Zfp579,chr7,4983483,4996158,-,4996158,5006158,5.754897170758247,4.711064038292567,0.8186182825699129,Mixed,Neu
Fiz1,chr7,5007059,5014697,-,5014697,5024697,4.874399667572975,4.733243927502632,0.9710414102870177,Mixed,Neu
