chrom	start	end	score_nsc	n_bins_nsc	coverage_nsc	score_neu	n_bins_neu	coverage_neu	ratio_change
chr1	3000000	3150000	-0.02566626333333333	3	1.0	0.1144841	3	1.0	0.14015036333333333
chr1	3750000	3900000	-0.04573526666666666	3	1.0	0.07958153333333333	3	1.0	0.1253168
chr1	5400000	5550000	-0.017571966666666664	3	1.0	0.14351566666666668	3	1.0	0.16108763333333334
chr1	5550000	5700000	-0.04011096666666667	3	1.0	0.13463656666666668	3	1.0	0.17474753333333334
chr1	5700000	5850000	-0.08180436666666667	3	1.0	0.04264303333333334	3	1.0	0.12444740000000001
chr1	5850000	6000000	-0.06970483333333333	3	1.0	0.06534186333333333	3	1.0	0.13504669666666666
chr1	6000000	6150000	-0.04227630333333334	3	1.0	0.11638806666666666	3	1.0	0.15866437
chr1	6450000	6600000	-0.021984466666666667	3	1.0	0.10401866666666666	3	1.0	0.12600313333333332
chr1	6600000	6750000	-0.08316071	3	1.0	0.02302226666666667	3	1.0	0.10618297666666666
chr1	7200000	7350000	-0.0272376	3	1.0	0.07573654	3	1.0	0.10297414
chr1	7800000	7950000	-0.07769699999999999	3	1.0	0.055644799999999994	3	1.0	0.13334179999999998
chr1	8250000	8400000	-0.06620586666666667	3	1.0	0.07485069999999999	3	1.0	0.14105656666666666
chr1	8700000	8850000	-0.05835866666666666	3	1.0	0.043274200000000006	3	1.0	0.10163286666666667
chr1	8850000	9000000	-0.0786032	3	1.0	0.0685279	3	1.0	0.14713110000000001
chr1	9300000	9450000	-0.013098466666666666	3	1.0	0.10263353333333333	3	1.0	0.115732
chr1	10350000	10500000	-0.004248566666666668	3	1.0	0.12626830000000003	3	1.0	0.1305168666666667
chr1	10650000	10800000	-0.050263133333333335	3	1.0	0.05389246666666666	3	1.0	0.10415559999999999
chr1	12150000	12300000	-0.0362515	3	1.0	0.07049953333333335	3	1.0	0.10675103333333336
chr1	13950000	14100000	-0.0006515300000000002	3	1.0	0.13336866666666666	3	1.0	0.13402019666666667
chr1	15450000	15600000	-0.05831935	3	1.0	0.047067000000000005	3	1.0	0.10538635
chr1	16350000	16500000	-0.02333763333333333	3	1.0	0.09499233333333332	3	1.0	0.11832996666666665
chr1	16800000	16950000	0.01654052333333333	3	1.0	0.11654643333333334	3	1.0	0.10000591
chr1	17250000	17400000	-0.07831046666666666	3	1.0	0.06811676999999998	3	1.0	0.14642723666666663
chr1	17550000	17700000	-0.0742904	3	1.0	0.04794088999999999	3	1.0	0.12223128999999999
chr1	17700000	17850000	-0.11744006666666666	3	1.0	0.0018856533333333379	3	1.0	0.11932572
chr1	17850000	18000000	-0.06704089999999999	3	1.0	0.046035633333333326	3	1.0	0.11307653333333331
