gene,chrom,start,end,neu_signal,nsc_signal,fold_change,enriched_in,gfp_phase,gfp_s3_s2s_ratio
Tasor2,chr13,3606108,3616108,32.239172275018696,17.12394377509753,1.8826955226226838,Neither,,
Klf6,chr13,5856482,5866482,100.51703634030024,47.5882328693072,2.1122246042704043,Neurons,intermediate,1.0
Wdr37,chr13,8866909,8876909,25.0370734740893,18.143245892087617,1.3799666070230645,Neither,,
Larp4b,chr13,9088881,9098881,33.37516070067088,20.78066585614681,1.6060679158073603,Neither,,
Mtr,chr13,12253113,12263113,20.30736095826626,16.47531490159432,1.2325931904525302,Neither,,
Heatr1,chr13,12390027,12400027,39.168784574063615,21.859322160840033,1.791857235364447,Neither,,
Lyst,chr13,13585397,13595397,24.242354880507786,14.260833475112916,1.6999255283931318,Neither,,
Gng4,chr13,13779059,13789059,10.787421443827947,7.277386248000464,1.482320860294024,Neither,,
Tbce,chr13,14034638,14044638,25.757111731799444,13.225107116023699,1.9475919178447954,Neither,,
Ggps1,chr13,14058488,14068488,111.46749159417152,57.230811962405845,1.9476832107046294,Neither,,
Psma2,chr13,14608240,14618240,44.96041422756514,18.635451647480327,2.412628096064641,Neurons,intermediate,1.0
Sugct,chr13,17690553,17700553,57.04849021784465,15.447665849407514,3.693016846298026,Neurons,intermediate,1.0
Cdk13,chr13,17800097,17810097,39.7270531027317,17.22726455034415,2.3060569474994264,Neurons,intermediate,1.0
Stard3nl,chr13,19390795,19400795,28.601195419549942,19.356078577836357,1.4776337730050182,Neither,,
Zscan12,chr13,21357820,21367820,10.438861888329187,4.154248004794121,2.512816248881252,Neurons,intermediate,1.0
Pgbd1,chr13,21436058,21446058,7.199285503816604,8.108405643701554,0.8878792971351729,Neither,,
H4c12,chr13,21745505,21755505,23.44220408058166,17.5315822010835,1.3371413835730621,Neither,,
Zfp184,chr13,21940094,21950094,42.38236527937253,18.057622397740683,2.3470623289074473,Neurons,intermediate,1.0
H4c9,chr13,22036362,22046362,31.812348135582607,21.06573580926259,1.5101465443041746,Neither,,
H2ac11,chr13,22037944,22047944,31.295293204609553,21.046253635962803,1.486976910281728,Neither,,
Abt1,chr13,23418866,23428866,29.82369015525182,12.240472622108458,2.4364819134013636,Neurons,intermediate,1.0
H4c8,chr13,23526050,23536050,31.794753232081728,22.442389111121496,1.4167276520629257,Neither,,
H4c6,chr13,23546648,23556648,22.913009665648143,15.327268784085911,1.494917978435819,Neither,,
H3c6,chr13,23557369,23567369,20.57491116949717,11.413023298366864,1.802757309050733,Neither,,
H2ac8,chr13,23566220,23576220,47.01835612583161,22.78049504454931,2.063974291773861,Neurons,intermediate,1.0
H2ac7,chr13,23569381,23579381,48.81286524870396,27.195416639486947,1.7948930842202693,Neither,,
H3c4,chr13,23570763,23580763,48.162522751990956,28.77811532108784,1.6735815467630273,Neither,,
H4c4,chr13,23576598,23586598,31.821753722969692,23.338009240404762,1.36351620205365,Neither,,
H1f4,chr13,23617558,23627558,23.570396316734946,12.725871882867814,1.8521635714772955,Neither,,
H2ac6,chr13,23678948,23688948,35.84869956652323,20.568953873713813,1.742854779422508,Neither,,
H4c3,chr13,23693454,23703454,29.0750029779911,11.26069721616904,2.5819895890853726,Neurons,intermediate,1.0
