gene,chrom,start,end,s2s_signal,s3_signal,ratio,state
Plag1,chr4,3933423,3943423,47.587511050723,47.587511050723,1.0,intermediate
Penk,chr4,4133819,4143819,6.298254786241054,6.298254786241054,1.0,intermediate
Tox,chr4,6986557,6996557,17.620591227386395,17.620591227386395,1.0,intermediate
Asph,chr4,9664344,9674344,52.838809612617894,52.838809612617894,1.0,intermediate
Plekhf2,chr4,11002927,11012927,18.958996570487816,18.958996570487816,1.0,intermediate
Virma,chr4,11480958,11490958,25.751380380882818,25.751380380882818,1.0,intermediate
Otud6b,chr4,14821587,14831587,22.120752216386794,22.120752216386794,1.0,intermediate
Ccnc,chr4,21722701,21732701,17.37883239137133,17.37883239137133,1.0,intermediate
Pnisr,chr4,21842583,21852583,46.87592663743894,46.87592663743894,1.0,intermediate
Ufl1,chr4,25276821,25286821,18.188676295449337,18.188676295449337,1.0,intermediate
Epha7,chr4,28808131,28818131,21.818525948649647,21.818525948649647,1.0,intermediate
Map3k7,chr4,31959097,31969097,8.597744804642598,8.597744804642598,1.0,intermediate
Casp8ap2,chr4,32610451,32620451,35.97428601156672,35.97428601156672,1.0,intermediate
Lingo2,chr4,36946747,36956747,6.630373305505514,6.630373305505514,1.0,intermediate
Bag1,chr4,40943294,40953294,26.090711407220365,26.090711407220365,1.0,intermediate
Ubap2,chr4,41270144,41280144,30.489721828981246,30.489721828981246,1.0,intermediate
Ubap1,chr4,41343996,41353996,15.578698135677975,15.578698135677975,1.0,intermediate
Kif24,chr4,41459887,41469887,38.21115235297084,38.21115235297084,1.0,intermediate
Dnajb5,chr4,42944814,42954814,54.53315865688125,54.53315865688125,1.0,intermediate
Vcp,chr4,42995507,43005507,38.69640582987468,38.69640582987468,1.0,intermediate
Stoml2,chr4,43026710,43036710,20.046228386362394,20.046228386362394,1.0,intermediate
Tesk1,chr4,43436939,43446939,39.06880867659748,39.06880867659748,1.0,intermediate
Rmrp,chr4,43488058,43498058,42.464056945641836,42.464056945641836,1.0,intermediate
Zbtb5,chr4,45007412,45017412,138.72392140721283,138.72392140721283,1.0,intermediate
Slc25a51,chr4,45403766,45413766,24.646945343150694,24.646945343150694,1.0,intermediate
Coro2a,chr4,46597202,46607202,13.564350255674126,13.564350255674126,1.0,intermediate
Nr4a3,chr4,48040153,48050153,56.094533033124605,56.094533033124605,1.0,intermediate
Rad23b,chr4,55345043,55355043,48.90726939992309,48.90726939992309,1.0,intermediate
Elp1,chr4,56797331,56807331,21.171912177180246,21.171912177180246,1.0,intermediate
Slc31a1,chr4,62355727,62365727,28.515627363431452,28.515627363431452,1.0,intermediate
4933430I17Rik,chr4,62520369,62530369,29.012847441860043,29.012847441860043,1.0,intermediate
Astn2,chr4,66399611,66409611,12.301514196006458,12.301514196006458,1.0,intermediate
Tle1,chr4,72195919,72205919,47.08650312521855,47.08650312521855,1.0,intermediate
Ptprd,chr4,78206961,78216961,3.781975159611305,3.781975159611305,1.0,intermediate
Psip1,chr4,83481459,83491459,15.545391129930813,15.545391129930813,1.0,intermediate
Dennd4c,chr4,86743555,86753555,16.376953319902224,16.376953319902224,1.0,intermediate
Jun,chr4,95047222,95057222,82.03805362068415,82.03805362068415,1.0,intermediate
Nfia,chr4,97767734,97777734,26.361935388261085,26.361935388261085,1.0,intermediate
Ror1,chr4,100090791,100100791,16.760625288794436,16.760625288794436,1.0,intermediate
Leprot,chr4,101642718,101652718,137.88328238337834,137.88328238337834,1.0,intermediate
Dab1,chr4,103614359,103624359,7.2115041458626585,7.2115041458626585,1.0,intermediate
Scp2,chr4,108139998,108149998,2.7435794976254306,2.7435794976254306,1.0,intermediate
Coa7,chr4,108323140,108333140,38.28634999385476,38.28634999385476,1.0,intermediate
Pik3r3,chr4,116216618,116226618,35.849006687609354,35.849006687609354,1.0,intermediate
Prdx1,chr4,116680544,116690544,20.00970573444764,20.00970573444764,1.0,intermediate
Eri3,chr4,117545365,117555365,22.558587058971327,22.558587058971327,1.0,intermediate
Slc6a9,chr4,117829506,117839506,27.004294848378496,27.004294848378496,1.0,intermediate
Cdc20,chr4,118432352,118442352,18.430849893959365,18.430849893959365,1.0,intermediate
Ppcs,chr4,119417420,119427420,9.31113798503081,9.31113798503081,1.0,intermediate
Foxo6,chr4,120282349,120292349,23.971166287404298,23.971166287404298,1.0,intermediate
Cap1,chr4,122881056,122891056,59.18638112151226,59.18638112151226,1.0,intermediate
Ndufs5,chr4,123713202,123723202,11.099048806242147,11.099048806242147,1.0,intermediate
Sf3a3,chr4,124709776,124719776,16.835537420801323,16.835537420801323,1.0,intermediate
Mtf1,chr4,124797104,124807104,11.024261606407165,11.024261606407165,1.0,intermediate
Zc3h12a,chr4,125122840,125132840,21.934977328757444,21.934977328757444,1.0,intermediate
Grik3,chr4,125485700,125495700,15.538132189999024,15.538132189999024,1.0,intermediate
Stk40,chr4,126098957,126108957,61.95908041369617,61.95908041369617,1.0,intermediate
Trappc3,chr4,126257325,126267325,32.635054234325885,32.635054234325885,1.0,intermediate
Zmym6,chr4,127072383,127082383,30.67878727184733,30.67878727184733,1.0,intermediate
Csmd2,chr4,127982857,127992857,30.088579155041774,30.088579155041774,1.0,intermediate
Rbbp4,chr4,129330370,129340370,38.01461358854174,38.01461358854174,1.0,intermediate
Bsdc1,chr4,129456581,129466581,58.01494050880074,58.01494050880074,1.0,intermediate
Pef1,chr4,130097558,130107558,16.634335029222566,16.634335029222566,1.0,intermediate
