gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type
Ghr,chr15,3317760,3583492,-,3583492,3593492,2.0079724870920184,5.249060458985965,2.614109751368032,Mixed,Neu
Fbxo4,chr15,3965445,3979573,-,3979573,3989573,2.235821348500252,5.000756538995107,2.2366530055496265,Mixed,Neu
Rpl37,chr15,5116645,5119140,+,5106645,5116645,5.603417471885681,5.400288483679295,0.9637490889755125,Mixed,Neu
Prkaa1,chr15,5143861,5181899,+,5133861,5143861,3.5657752957344058,4.611175891963641,1.2931762406565008,Mixed,Neu
Ttc33,chr15,5185525,5218336,+,5175525,5185525,4.597243339538574,5.192621044317881,1.1295075463286364,Mixed,Neu
Ptger4,chr15,5206661,5244187,-,5244187,5254187,3.9927477974653245,5.535345433473587,1.3863498808984465,Mixed,Neu
Dab2,chr15,6299788,6440712,+,6289788,6299788,3.213707283616066,4.9247895925283425,1.532432532868073,Mixed,Neu
Rictor,chr15,6708379,6800401,+,6698379,6708379,2.7219883856773377,3.577386277000109,1.3142547910284028,Mixed,Neu
Osmr,chr15,6813577,6874969,-,6874969,6884969,5.072386628842354,5.388464477872849,1.0623134378663543,Mixed,Neu
Lifr,chr15,7090614,7197489,+,7080614,7090614,4.58226571700573,4.222710705717405,0.9215333563145536,Mixed,Neu
Egflam,chr15,7206120,7398395,-,7398395,7408395,4.17041771030426,5.309041677912076,1.2730239622746915,Mixed,Neu
Gdnf,chr15,7810846,7837575,+,7800846,7810846,3.320963348031044,3.854946740555764,1.1607917151031828,Mixed,Neu
Wdr70,chr15,7873055,8099209,-,8099209,8109209,4.333342740654945,4.963155922575792,1.1453411879960496,Mixed,Neu
Nup155,chr15,8109273,8161247,+,8099273,8109273,4.310616253495216,4.9328255313237515,1.1443434630313063,Mixed,Neu
Cplane1,chr15,8169106,8271158,+,8159106,8169106,5.430222512316704,4.536609058531126,0.8354370466847896,Mixed,Neu
Nipbl,chr15,8290617,8444463,-,8444463,8454463,3.272748604154587,5.1340679027716325,1.5687327453915025,Mixed,Neu
Slc1a3,chr15,8634124,8710764,-,8710764,8720764,3.22893756878376,4.479560438871384,1.387317141767685,Mixed,Neu
Nadk2,chr15,9071260,9110891,+,9061260,9071260,3.1774037451744084,4.455930483222008,1.402380950167043,Mixed,Neu
Skp2,chr15,9111985,9155425,-,9155425,9165425,3.5931761965751647,5.488013904809951,1.5273433877361344,Mixed,Neu
Dnajc21,chr15,10446756,10470516,-,10470516,10480516,3.850890495038033,4.479936106864611,1.1633506880128424,Mixed,Neu
Rad1,chr15,10486018,10499063,+,10476018,10486018,3.464107700586319,4.686597410527864,1.3529017616093841,Mixed,Neu
4930556M19Rik,chr15,10714836,10790123,+,10704836,10714836,4.395551111006737,4.952178876908621,1.1266343518354394,Mixed,Neu
Amacr,chr15,10981756,10996626,+,10971756,10981756,3.0549184675216674,4.897832819104194,1.6032613868996672,Mixed,Neu
Rxfp3,chr15,11033717,11037991,-,11037991,11047991,2.1367212208628654,3.853974416971207,1.8036861240208344,Mixed,Neu
Npr3,chr15,11839896,11907287,-,11907287,11917287,3.9463032844543458,4.369657413498561,1.1072786601860867,Mixed,Neu
Gm5144,chr15,11906519,11907464,+,11896519,11906519,4.37189231991768,4.971980743098259,1.1372605680260393,Mixed,Neu
Sub1,chr15,11981339,11996983,-,11996983,12006983,3.6755431900024416,4.6169046376943585,1.256114919354625,Mixed,Neu
Zfr,chr15,12117831,12185683,+,12107831,12117831,4.4396523999929425,5.379842601521809,1.2117711290934312,Mixed,Neu
Mtmr12,chr15,12205028,12274496,+,12195028,12205028,4.530931192374229,5.078651761110623,1.1208847686008194,Mixed,Neu
Golph3,chr15,12321450,12351591,+,12311450,12321450,4.955263040065765,4.711141324202219,0.9507348623292647,Mixed,Neu
Pdzd2,chr15,12359711,12739924,-,12739924,12749924,3.373576893568039,5.4266888233741115,1.6085860777978633,Mixed,Neu
Drosha,chr15,12824815,12935291,+,12814815,12824815,4.401966634988785,5.331264259338379,1.2111096474387435,Mixed,Neu
Cdh6,chr15,13028701,13173675,-,13173675,13183675,3.029424277424812,4.811134477337202,1.588134918304328,Mixed,Neu
Basp1,chr15,25363277,25413764,-,25413764,25423764,3.0355520358324055,4.825241953285535,1.5895764250874924,Mixed,Neu
Gm48957,chr15,25415022,25464362,+,25405022,25415022,3.8721147629022594,4.868373784359297,1.2572906751116832,Mixed,Neu
Myo10,chr15,25622525,25813673,+,25612525,25622525,4.0073309935331345,4.630547387639681,1.1555190712003245,Mixed,Neu
Retreg1,chr15,25843180,25973687,+,25833180,25843180,3.2799200592041013,4.957230549534162,1.511387613128923,Mixed,Neu
Zfp622,chr15,25984366,25998481,+,25974366,25984366,5.492741121411323,4.531898106225332,0.8250703985591971,Mixed,Neu
Marchf11,chr15,26309048,26409576,+,26299048,26309048,3.63672379052639,5.307065175549189,1.45929839086873,Mixed,Neu
Fbxl7,chr15,26540459,26895580,-,26895580,26905580,3.4665428323745724,5.256711527546247,1.5164132629353417,Mixed,Neu
Ank,chr15,27466677,27594909,+,27456677,27466677,4.732204016900062,4.344457384204865,0.9180621479313988,Mixed,Neu
Otulin,chr15,27542635,27630693,-,27630693,27640693,4.1454854739904405,3.7183607543547956,0.8969662968751172,Mixed,Neu
Otulinl,chr15,27655069,27681579,-,27681579,27691579,4.113020090603829,5.155960443647703,1.2535704494676467,Mixed,Neu
Trio,chr15,27730651,28025848,-,28025848,28035848,3.151123906850815,4.749552691221237,1.5072567222429116,Mixed,Neu
Ctnnd2,chr15,30172593,31029341,+,30162593,30172593,4.34661408162117,5.123063595390319,1.1786331841725306,Mixed,Neu
Dap,chr15,31224314,31274341,+,31214314,31224314,3.5771838897466655,5.0416358061075215,1.409386814180405,Mixed,Neu
Ankrd33b,chr15,31291478,31367726,-,31367726,31377726,5.265242076587677,4.446449333159129,0.8444909594813549,Mixed,Neu
Ropn1l,chr15,31441211,31453737,-,31453737,31463737,3.7494784929752347,5.64292656223774,1.5049897133187828,Mixed,Neu
Marchf6,chr15,31455891,31531053,-,31531053,31541053,4.103776412808895,4.431909303323428,1.0799587641983488,Mixed,Neu
Cct5,chr15,31590800,31601804,-,31601804,31611804,5.838988802576065,4.711074731318155,0.8068305815622917,Mixed,Neu
Sema5a,chr15,32244810,32696341,+,32234810,32244810,3.5543470935821535,4.100124531507492,1.1535520936913597,Mixed,Neu
Sdc2,chr15,32920723,33034935,+,32910723,32920723,8.528698177289963,4.407247039238612,0.5167549545807749,Mixed,Neu
Tspyl5,chr15,33683875,33687884,-,33687884,33697884,3.248994978022575,5.136788685250282,1.5810392813769965,Mixed,Neu
Mtdh,chr15,34082694,34145624,+,34072694,34082694,3.7140248719453814,4.1442919147650406,1.1158492626341212,Mixed,Neu
Laptm4b,chr15,34238028,34284302,+,34228028,34238028,2.9770187467336657,2.7485056311527885,0.9232409551227724,Mixed,Neu
Matn2,chr15,34306677,34436273,+,34296677,34306677,2.8182518270492554,3.2986940520366037,1.1704752642670606,Mixed,Neu
Rpl30,chr15,34440505,34443640,-,34443640,34453640,3.2625256680250168,3.813492476423581,1.1688773865592588,Mixed,Neu
Rida,chr15,34484021,34495255,-,34495255,34505255,3.4671847537159923,4.239466077009838,1.2227401705277299,Mixed,Neu
Kcns2,chr15,34837355,34843407,+,34827355,34837355,4.0480655970573425,5.1007332786321635,1.2600421500926358,Mixed,Neu
Stk3,chr15,34875496,35178921,-,35178921,35188921,4.434690921616554,3.409254490590095,0.7687693575153006,Mixed,Neu
Osr2,chr15,35296098,35303305,+,35286098,35296098,3.213866364502907,4.3699013688246415,1.3597022630094766,Mixed,Neu
Vps13b,chr15,35371160,35931229,+,35361160,35371160,4.788061303019523,4.273103063543638,0.8924495308464129,Mixed,Neu
Cox6c,chr15,35925886,35938246,-,35938246,35948246,3.898357050514221,3.941814434115092,1.0111476150177516,Mixed,Neu
Rgs22,chr15,36009479,36140400,-,36140400,36150400,3.5605775208473207,4.2719166120290755,1.1997819418386024,Mixed,Neu
Spag1,chr15,36178099,36235621,+,36168099,36178099,2.876534768724442,4.124879287954172,1.4339751192311472,Mixed,Neu
Rnf19a,chr15,36239933,36283147,-,36283147,36293147,3.1350920124053956,3.8412839592456822,1.2252539778883433,Mixed,Neu
Ankrd46,chr15,36477668,36496820,-,36496820,36506820,4.906726027727127,4.602980709870656,0.9380961325046365,Mixed,Neu
Pabpc1,chr15,36595661,36609668,-,36609668,36619668,3.112578273177147,4.434805752166112,1.4248013585339683,Mixed,Neu
Ywhaz,chr15,36770770,36796929,-,36796929,36806929,4.917634920430183,3.480861266481877,0.707832387479748,Mixed,Neu
Zfp706,chr15,36997027,37007773,-,37007773,37017773,3.4520705590248113,4.743381220229467,1.3740684435979325,Mixed,Neu
Gm16136,chr15,37231793,37233309,-,37233309,37243309,4.304366868281365,3.6409469137589134,0.8458728136276776,Mixed,Neu
Ncald,chr15,37366175,37792570,-,37792570,37802570,3.068530324816704,4.561648394664129,1.4865906188939537,Mixed,Neu
Rrm2b,chr15,37923952,37961318,-,37961318,37971318,2.2494128632545474,5.323921894423168,2.3668051256363354,Mixed,Neu
Ubr5,chr15,37967328,38078854,-,38078854,38088854,4.926484367251397,5.126708058826129,1.0406423073024875,Mixed,Neu
Klf10,chr15,38291463,38300706,-,38300706,38310706,5.345042107105255,4.527328730638822,0.8470146052957315,Mixed,Neu
Azin1,chr15,38487427,38519266,-,38519266,38529266,4.629200595259666,4.7612138077656425,1.0285174966583126,Mixed,Neu
Atp6v1c1,chr15,38661933,38692446,+,38651933,38661933,4.655200392127037,4.691256943511963,1.007745434857306,Mixed,Neu
Fzd6,chr15,39006034,39038188,+,38996034,39006034,3.6855290114641193,4.822047130656242,1.3083731306026614,Mixed,Neu
Cthrc1,chr15,39076932,39087121,+,39066932,39076932,4.157596754193306,4.498805152543386,1.0820686609411894,Mixed,Neu
Dcaf13,chr15,39112865,39146856,+,39102865,39112865,3.7382603255510327,4.583476217031479,1.226098724506528,Mixed,Neu
Rims2,chr15,39198261,39684372,+,39188261,39198261,2.782778458237648,4.0130352376699445,1.4420965584919134,Mixed,Neu
Lrp12,chr15,39870589,39943994,-,39943994,39953994,2.604171186685562,4.663860098735491,1.7909191694388498,Mixed,Neu
Zfpm2,chr15,40655035,41104592,+,40645035,40655035,5.477936588346958,5.11029214310646,0.9328863269387644,Mixed,Neu
Oxr1,chr15,41447482,41861048,+,41437482,41447482,4.1594195740222935,5.263340130074819,1.2654025486986393,Mixed,Neu
Rspo2,chr15,43020794,43170826,-,43170826,43180826,2.9292523630857463,5.2076005422592155,1.7777917013518771,Mixed,Neu
Eif3e,chr15,43250058,43282719,-,43282719,43292719,1.2461294736862183,1.6772629288832344,1.345978057899285,Mixed,Neu
Emc2,chr15,43477229,43527763,+,43467229,43477229,2.745498308300972,3.616744664859772,1.3173363297746716,Mixed,Neu
Eny2,chr15,44428042,44438256,+,44418042,44428042,3.555710732102394,5.602648325912159,1.5756760737956506,Mixed,Neu
Ebag9,chr15,44619175,44641515,+,44609175,44619175,3.2743776789903642,4.437032360672951,1.3550765353497904,Mixed,Neu
Sybu,chr15,44671856,44788063,-,44788063,44798063,2.2914367984294888,2.017306542388598,0.8803675247649095,Mixed,Neu
Kcnv1,chr15,45106284,45114920,-,45114920,45124920,2.0927835056781765,4.029984551111857,1.9256576421677796,Mixed,Neu
Csmd3,chr15,47580637,48792063,-,48792063,48802063,2.2566866434812547,5.037859964036941,2.232414490771008,Mixed,Neu
Trps1,chr15,50654752,50890463,-,50890463,50900463,2.4881592425107955,4.473647382243475,1.7979747058830238,Mixed,Neu
Eif3h,chr15,51786558,51865523,-,51865523,51875523,2.9744909991025925,4.349335226782162,1.4622115945532737,Mixed,Neu
Utp23,chr15,51877429,51884614,+,51867429,51877429,2.35024241232872,4.7664417839010556,2.0280638962592215,Mixed,Neu
Rad21,chr15,51962240,51991747,-,51991747,52001747,5.289620144248008,5.055317830610275,0.955705266682993,Mixed,Neu
Aard,chr15,52040107,52045722,+,52030107,52040107,4.1365379095077515,4.905087051812807,1.1857952614282974,Mixed,Neu
