gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Cdk6,chr5,3341485,3531008,+,3331485,3341485,4.476708785414696,4.13863867726326,0.9244824436083752,Mixed,NSC,Mecp2
Fam133b,chr5,3543833,3570238,+,3533833,3543833,5.569085448276997,5.611281657605171,1.0075768651280488,Mixed,NSC,Mecp2
Ankib1,chr5,3690000,3802925,-,3802925,3812925,5.143786831498146,4.7768999926805495,0.9286737862908796,Mixed,NSC,Mecp2
Akap9,chr5,3928054,4081310,+,3918054,3928054,4.7265596118927,5.254892655596732,1.111779621349675,Mixed,NSC,Mecp2
Fzd1,chr5,4753839,4758035,-,4758035,4768035,4.796137325167656,5.293658744597435,1.1037337727631449,Mixed,NSC,Mecp2
Steap1,chr5,5736317,5749326,-,5749326,5759326,4.794934522783756,5.016590846142768,1.0462271846061262,Mixed,NSC,Mecp2
Sri,chr5,8046078,8069379,+,8036078,8046078,4.070290665614605,4.225686867074966,1.0381781583249403,Mixed,NSC,Mecp2
Dbf4,chr5,8396973,8422716,-,8422716,8432716,5.3624918413400655,4.713529076962471,0.8789811185586026,Mixed,NSC,Mecp2
Abcb1a,chr5,8660077,8748575,+,8650077,8660077,1.7191646594882013,1.7280888338327407,1.0051909945305624,Mixed,NSC,Mecp2
Abcb4,chr5,8893717,8959231,+,8883717,8893717,5.537677481758594,4.8152803193402285,0.8695487115676237,Mixed,NSC,Mecp2
Sema3e,chr5,14025276,14256689,+,14015276,14025276,4.060086743462086,4.350939429712295,1.071637062119071,Mixed,NSC,Mecp2
Pclo,chr5,14514918,14863459,+,14504918,14514918,3.3561812158465383,4.151088220677376,1.2368486543806414,Mixed,NSC,Mecp2
Gnai1,chr5,18265135,18360355,-,18360355,18370355,5.646663838148117,5.406611339497566,0.9574877298292864,Mixed,NSC,Mecp2
Gsap,chr5,21186255,21315132,+,21176255,21186255,5.025860396504402,5.499848059773445,1.0943097551214735,Mixed,NSC,Mecp2
Fam185a,chr5,21424958,21482124,+,21414958,21424958,4.739682797467709,5.253878592500687,1.1084873855498727,Mixed,NSC,Mecp2
Psmc2,chr5,21785283,21803787,+,21775283,21785283,5.144042484116554,4.959977393996715,0.9642178129966492,Mixed,NSC,Mecp2
Reln,chr5,21884454,22344702,-,22344702,22354702,5.540334291577339,4.998545865526198,0.9022101560054252,Mixed,NSC,Mecp2
Lhfpl3,chr5,22746059,23275597,+,22736059,22746059,4.254044609749317,4.741365562171936,1.1145547348764957,Mixed,NSC,Mecp2
Pus7,chr5,23740648,23783711,-,23783711,23793711,4.857314717674256,4.198322266597748,0.8643298840244714,Mixed,NSC,Mecp2
Rint1,chr5,23787711,23820369,+,23777711,23787711,4.707751230967045,4.313473810915947,0.916249308702298,Mixed,NSC,Mecp2
2700038G22Rik,chr5,23850597,23855038,+,23840597,23850597,3.854318198990822,4.375883696103096,1.135319781653947,Mixed,NSC,Mecp2
Gbx1,chr5,24502757,24527202,-,24527202,24537202,5.7262186838269225,5.310630411953926,0.9274236114930818,Mixed,NSC,Mecp2
Chpf2,chr5,24586741,24594556,+,24576741,24586741,6.449907068133355,5.797308430070876,0.898820458780448,Mixed,NSC,Mecp2
Wdr86,chr5,24711738,24730727,-,24730727,24740727,7.584049621045589,7.017289991416931,0.9252695251286448,Mixed,NSC,Mecp2
Actr3b,chr5,25759997,25850688,+,25749997,25759997,5.616273526746035,5.254049190661907,0.9355045059042923,Mixed,NSC,Mecp2
Insig1,chr5,28071363,28078662,+,28061363,28071363,6.899868356502056,6.069473134391307,0.8796505702419337,Mixed,NSC,Mecp2
Rnf32,chr5,29195992,29228457,+,29185992,29195992,4.354390016913414,5.180528632121087,1.1897254522444631,Mixed,NSC,Mecp2
Tmem214,chr5,30868012,30879180,+,30858012,30868012,7.640657387185097,6.067654528036118,0.7941272878185562,Mixed,NSC,Mecp2
Slc30a3,chr5,31086106,31108237,-,31108237,31118237,4.364129709327221,4.333097123174667,0.9928891696123904,Mixed,NSC,Mecp2
Babam2,chr5,31697684,32084962,+,31687684,31697684,5.195792346656322,4.94082604297638,0.9509283114741832,Mixed,NSC,Mecp2
Yes1,chr5,32611171,32687057,+,32601171,32611171,4.902380890810489,4.419452884511948,0.9014911290952954,Mixed,NSC,Mecp2
Maea,chr5,33335509,33373296,+,33325509,33335509,3.2700376567959784,2.9724127424669264,0.9089842547499382,Mixed,NSC,Mecp2
Nkx1-1,chr5,33430734,33433976,-,33433976,33443976,6.75284788851738,6.616805607891084,0.9798540878052912,Mixed,NSC,Mecp2
Letm1,chr5,33739673,33782817,-,33782817,33792817,5.521415855360031,5.3217685498356815,0.9638412844179202,Mixed,NSC,Mecp2
Gm1673,chr5,33983433,33985013,+,33973433,33983433,5.991413832950592,5.30297895884037,0.8850964240987527,Mixed,NSC,Mecp2
Nat8l,chr5,33995984,34005916,+,33985984,33995984,5.382587952280045,4.972424266700744,0.9237980523094738,Mixed,NSC,Mecp2
Sh3bp2,chr5,34525838,34563641,+,34515838,34525838,5.965225168800354,5.292849478850365,0.8872841056416972,Mixed,NSC,Mecp2
Sorcs2,chr5,36017180,36398139,-,36398139,36408139,6.137986707806587,5.276549702472687,0.8596547945862635,Mixed,NSC,Mecp2
Mrfap1,chr5,36794867,36796772,-,36796772,36806772,7.268509843206406,5.708870949773789,0.7854252209769859,Mixed,NSC,Mecp2
Lyar,chr5,38220470,38234306,+,38210470,38220470,5.904678459823132,4.871891667413712,0.8250900875573914,Mixed,NSC,Mecp2
Otop1,chr5,38275972,38304217,+,38265972,38275972,6.875133427858352,6.057145886645317,0.8810223030874554,Mixed,NSC,Mecp2
Hs3st1,chr5,39613935,39755475,-,39755475,39765475,4.265755176246167,4.600265911340713,1.0784177059567948,Mixed,NSC,Mecp2
Prom1,chr5,43993620,44102032,-,44102032,44112032,5.451736279857158,5.018504593858719,0.9205332643108352,Mixed,NSC,Mecp2
Tapt1,chr5,44175154,44226626,-,44226626,44236626,5.778528191673756,4.980991561017037,0.8619827395138637,Mixed,NSC,Mecp2
Adgra3,chr5,49959956,50059006,-,50059006,50069006,4.125631282258034,4.744016076421738,1.149888526593014,Mixed,NSC,Mecp2
Sepsecs,chr5,52640087,52669708,-,52669708,52679708,4.983532678425312,4.748250911602974,0.9527881561124464,Mixed,NSC,Mecp2
Tbc1d19,chr5,53809606,53903965,+,53799606,53809606,3.6160672765135766,4.861473340368271,1.3444089859565471,Mixed,NSC,Mecp2
Pgm2,chr5,64092950,64128351,+,64082950,64092950,5.62817084401846,5.217483758068086,0.9270300960414438,Mixed,NSC,Mecp2
