gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Cdk6,chr5,3341485,3531008,+,3331485,3341485,3.683073637485504,3.87455471009016,1.0519894771192746,Mixed,NSC,GFP
Fam133b,chr5,3543833,3570238,+,3533833,3543833,5.543698389178514,5.401923021614551,0.9744258511897556,Mixed,NSC,GFP
Ankib1,chr5,3690000,3802925,-,3802925,3812925,3.886558008611202,5.107909748593966,1.3142502279077506,Mixed,NSC,GFP
Akap9,chr5,3928054,4081310,+,3918054,3928054,4.20029590728283,4.611565228656928,1.0979143685236568,Mixed,NSC,GFP
Fzd1,chr5,4753839,4758035,-,4758035,4768035,4.662124123811722,5.353755208949248,1.1483510663315528,Mixed,NSC,GFP
Steap1,chr5,5736317,5749326,-,5749326,5759326,5.341045859766006,5.4537334051609045,1.0210984043862592,Mixed,NSC,GFP
Sri,chr5,8046078,8069379,+,8036078,8046078,3.640783580303192,4.420099561162789,1.2140517181729045,Mixed,NSC,GFP
Dbf4,chr5,8396973,8422716,-,8422716,8432716,3.971987760043144,4.660086185654004,1.173237801116332,Mixed,NSC,GFP
Abcb1a,chr5,8660077,8748575,+,8650077,8660077,1.3203613211035727,1.828740524784724,1.3850303667304054,Mixed,NSC,GFP
Abcb4,chr5,8893717,8959231,+,8883717,8893717,4.4559473772645,5.077633275699616,1.139518231657567,Mixed,NSC,GFP
Sema3e,chr5,14025276,14256689,+,14015276,14025276,2.8237870226740838,3.5672216108520822,1.263275729440097,Mixed,NSC,GFP
Pclo,chr5,14514918,14863459,+,14504918,14514918,2.714943341481685,4.398222674564521,1.620005326580474,Mixed,NSC,GFP
Gnai1,chr5,18265135,18360355,-,18360355,18370355,5.36791058242321,5.0361993819673865,0.938204782780476,Mixed,NSC,GFP
Gsap,chr5,21186255,21315132,+,21176255,21186255,5.444643530458212,5.654617246905963,1.038565190773854,Mixed,NSC,GFP
Fam185a,chr5,21424958,21482124,+,21414958,21424958,4.180525505018235,4.577627339096864,1.0949884969250767,Mixed,NSC,GFP
Psmc2,chr5,21785283,21803787,+,21775283,21785283,5.488073641884326,5.020534636900822,0.9148081757840671,Mixed,NSC,GFP
Reln,chr5,21884454,22344702,-,22344702,22354702,4.636571220874787,4.712231087815762,1.016318064219598,Mixed,NSC,GFP
Lhfpl3,chr5,22746059,23275597,+,22736059,22746059,4.661162442684174,4.875965896010399,1.0460836660312849,Mixed,NSC,GFP
Pus7,chr5,23740648,23783711,-,23783711,23793711,4.698248376202583,5.246333826855818,1.1166574022415203,Mixed,NSC,GFP
Rint1,chr5,23787711,23820369,+,23777711,23787711,5.099563137936593,5.211082924048106,1.0218684979664037,Mixed,NSC,GFP
2700038G22Rik,chr5,23850597,23855038,+,23840597,23850597,3.664872894704342,3.4774423346916827,0.9488575551191716,Mixed,NSC,GFP
Gbx1,chr5,24502757,24527202,-,24527202,24537202,7.5536045040011395,6.483267015779018,0.8583010948408585,Mixed,NSC,GFP
Chpf2,chr5,24586741,24594556,+,24576741,24586741,5.313886752068996,5.696548119584719,1.0720115774704329,Mixed,NSC,GFP
Wdr86,chr5,24711738,24730727,-,24730727,24740727,8.042117723882198,6.369446483266355,0.7920110973197257,Mixed,NSC,GFP
Actr3b,chr5,25759997,25850688,+,25749997,25759997,6.494328201705217,6.381597172439098,0.9826416180758282,Mixed,NSC,GFP
Insig1,chr5,28071363,28078662,+,28061363,28071363,7.0965659204900255,5.546525180383523,0.7815787583074448,Mixed,NSC,GFP
Rnf32,chr5,29195992,29228457,+,29185992,29195992,4.533467535936833,5.281128049882253,1.1649202311516975,Mixed,NSC,GFP
Tmem214,chr5,30868012,30879180,+,30858012,30868012,8.945260045278072,5.908062085930506,0.6604684554753879,Mixed,NSC,GFP
Slc30a3,chr5,31086106,31108237,-,31108237,31118237,5.3013579662323,4.4325830683549245,0.8361221967256028,Mixed,NSC,GFP
Babam2,chr5,31697684,32084962,+,31687684,31697684,4.269834739255906,4.727729310552279,1.107239413058916,Mixed,NSC,GFP
Yes1,chr5,32611171,32687057,+,32601171,32611171,3.475588776636124,5.026598036428292,1.4462579895005083,Mixed,NSC,GFP
Maea,chr5,33335509,33373296,+,33325509,33335509,4.364278356862068,2.899321466016769,0.6643300974279267,Mixed,NSC,GFP
Nkx1-1,chr5,33430734,33433976,-,33433976,33443976,8.231031853806972,6.185956337960562,0.7515408089569556,Mixed,NSC,GFP
Letm1,chr5,33739673,33782817,-,33782817,33792817,6.60896806179285,5.450627572445074,0.8247320188995517,Mixed,NSC,GFP
Gm1673,chr5,33983433,33985013,+,33973433,33983433,6.799655958580971,5.6714747046152745,0.834082597584667,Mixed,NSC,GFP
Nat8l,chr5,33995984,34005916,+,33985984,33995984,6.212650633430481,5.564295280496279,0.895639495733853,Mixed,NSC,GFP
Sh3bp2,chr5,34525838,34563641,+,34515838,34525838,5.812196408355236,4.899303587452571,0.842934966961827,Mixed,NSC,GFP
Sorcs2,chr5,36017180,36398139,-,36398139,36408139,6.63168568700552,5.656877616258463,0.8530074981302042,Mixed,NSC,GFP
Mrfap1,chr5,36794867,36796772,-,36796772,36806772,7.107903660178184,5.93410800904433,0.8348605007535472,Mixed,NSC,GFP
Lyar,chr5,38220470,38234306,+,38210470,38220470,5.803832847476007,5.108600407203038,0.8802114984108624,Mixed,NSC,GFP
Otop1,chr5,38275972,38304217,+,38265972,38275972,6.471882912099361,5.654648079514504,0.8737253371724303,Mixed,NSC,GFP
Hs3st1,chr5,39613935,39755475,-,39755475,39765475,3.028666517615318,3.6373089057207113,1.2009605166383983,Mixed,NSC,GFP
Prom1,chr5,43993620,44102032,-,44102032,44112032,5.357658482956886,5.03047621833086,0.9389318550880358,Mixed,NSC,GFP
Tapt1,chr5,44175154,44226626,-,44226626,44236626,4.881604248976708,4.241701612699031,0.868915503256575,Mixed,NSC,GFP
Adgra3,chr5,49959956,50059006,-,50059006,50069006,4.189550925409794,4.8193200101534535,1.1503189950321608,Mixed,NSC,GFP
Sepsecs,chr5,52640087,52669708,-,52669708,52679708,5.235002147305012,4.911561920766036,0.9382158368921616,Mixed,NSC,GFP
Tbc1d19,chr5,53809606,53903965,+,53799606,53809606,3.732129986047744,4.239346115354697,1.1359052688955469,Mixed,NSC,GFP
Pgm2,chr5,64092950,64128351,+,64082950,64092950,5.940503766417503,5.739930681248506,0.9662363508120532,Mixed,NSC,GFP
Ugdh,chr5,65413221,65435949,-,65435949,65445949,7.709576346921921,5.776694683420658,0.7492882129284609,Mixed,NSC,GFP
Nsun7,chr5,66259897,66298026,+,66249897,66259897,3.761693880188465,4.030628038515648,1.0714928345827304,Mixed,NSC,GFP
Slc30a9,chr5,67306955,67358443,+,67296955,67306955,4.979060478925705,4.781477235714594,0.9603171634392876,Mixed,NSC,GFP
Shisa3,chr5,67607882,67623552,+,67597882,67607882,3.682156213343144,3.762071823203564,1.0217034816640391,Mixed,NSC,GFP
