gene,Mecp2_ratio,GFP_ratio,Mecp2_log_ratio,GFP_log_ratio,log_ratio_change,chromosome
Cdk6,0.9244824436083752,1.0519894771192746,-0.1132821725100621,0.0731202736570534,-0.1864024461671156,chr5
Fam133b,1.0075768651280488,0.9744258511897556,0.0108899019880761,-0.0373756869217087,0.0482655889097848,chr5
Ankib1,0.9286737862908796,1.3142502279077506,-0.1067561824009723,0.3942399850915298,-0.5009961674925021,chr5
Akap9,1.111779621349675,1.0979143685236568,0.1528708431917667,0.1347655361975064,0.0181053069942603,chr5
Fzd1,1.1037337727631449,1.1483510663315528,0.142392227340348,0.1995637606795801,-0.057171533339232,chr5
Steap1,1.0462271846061262,1.0210984043862592,0.0651961618298642,0.0301219070375111,0.0350742547923531,chr5
Sri,1.0381781583249403,1.2140517181729045,0.0540540410722373,0.2798298812000984,-0.2257758401278611,chr5
Dbf4,0.8789811185586026,1.173237801116332,-0.1860959197967722,0.2304954598458546,-0.4165913796426269,chr5
Abcb1a,1.0051909945305624,1.3850303667304054,0.0074696513368801,0.4699176076470953,-0.4624479563102152,chr5
Abcb4,0.8695487115676237,1.139518231657567,-0.2016612462300241,0.1884240071056615,-0.3900852533356856,chr5
Sema3e,1.071637062119071,1.263275729440097,0.0998163821596434,0.3371695639713946,-0.237353181811751,chr5
Pclo,1.2368486543806414,1.620005326580474,0.3066689773290186,0.695998556701629,-0.3893295793726103,chr5
Gnai1,0.9574877298292864,0.938204782780476,-0.062674095816206,-0.0920252394637358,0.0293511436475298,chr5
Gsap,1.0943097551214735,1.038565190773854,0.1300211649352932,0.0545917770437213,0.0754293878915719,chr5
Fam185a,1.1084873855498727,1.0949884969250767,0.1485923526064903,0.130915714103786,0.0176766385027043,chr5
Psmc2,0.9642178129966492,0.9148081757840671,-0.0525690125038027,-0.1284588354884313,0.0758898229846285,chr5
Reln,0.9022101560054252,1.016318064219598,-0.1484645685993331,0.0233519748083917,-0.1718165434077248,chr5
Lhfpl3,1.1145547348764957,1.0460836660312849,0.1564674679174327,0.0649982433069443,0.0914692246104883,chr5
Pus7,0.8643298840244714,1.1166574022415203,-0.2103460519276182,0.1591866254800064,-0.3695326774076246,chr5
Rint1,0.916249308702298,1.0218684979664037,-0.1261878901343838,0.0312095509346654,-0.1573974410690492,chr5
2700038G22Rik,1.135319781653947,0.9488575551191716,0.1830987137515559,-0.075736572391059,0.258835286142615,chr5
Gbx1,0.9274236114930818,0.8583010948408585,-0.1086996377993043,-0.2204442562156197,0.1117446184163154,chr5
Chpf2,0.898820458780448,1.0720115774704329,-0.1538951316454921,0.1003204866436203,-0.2542156182891125,chr5
Wdr86,0.9252695251286448,0.7920110973197257,-0.1120544201478098,-0.3364074500168562,0.2243530298690464,chr5
Actr3b,0.9355045059042923,0.9826416180758282,-0.0961834925916697,-0.025262751666435,-0.0709207409252347,chr5
Insig1,0.8796505702419337,0.7815787583074448,-0.1849975491982459,-0.3555368365126702,0.1705392873144243,chr5
Rnf32,1.1897254522444631,1.1649202311516975,0.2506286874964838,0.2202311685602907,0.0303975189361931,chr5
Tmem214,0.7941272878185562,0.6604684554753879,-0.3325578245638253,-0.5984384360889684,0.2658806115251431,chr5
Slc30a3,0.9928891696123904,0.8361221967256028,-0.0102954077221235,-0.2582142916636241,0.2479188839415005,chr5
Babam2,0.9509283114741832,1.107239413058916,-0.0725915115082254,0.1469672028674648,-0.2195587143756903,chr5
Yes1,0.9014911290952954,1.4462579895005083,-0.1496147996503701,0.5323249291726443,-0.6819397288230145,chr5
Maea,0.9089842547499382,0.6643300974279267,-0.1376727903369768,-0.5900278177936373,0.4523550274566604,chr5
Nkx1-1,0.9798540878052912,0.7515408089569556,-0.0293611645089506,-0.4120766497193346,0.382715485210384,chr5
Letm1,0.9638412844179202,0.8247320188995517,-0.0531324972236638,-0.2780026759040487,0.2248701786803848,chr5
Gm1673,0.8850964240987527,0.834082597584667,-0.1760934611704485,-0.2617378368465039,0.0856443756760553,chr5
Nat8l,0.9237980523094738,0.895639495733853,-0.1143505904047052,-0.1590099456126685,0.0446593552079632,chr5
Sh3bp2,0.8872841056416972,0.842934966961827,-0.1725319698733629,-0.246506764385275,0.0739747945119121,chr5
Sorcs2,0.8596547945862635,0.8530074981302042,-0.2181706514906465,-0.229369671670037,0.0111990201793905,chr5
Mrfap1,0.7854252209769859,0.8348605007535472,-0.348454169413973,-0.2603929412339142,-0.0880612281800587,chr5
Lyar,0.8250900875573914,0.8802114984108624,-0.2773764461026023,-0.1840778767654715,-0.0932985693371307,chr5
Otop1,0.8810223030874554,0.8737253371724303,-0.182749553441571,-0.1947482670787729,0.0119987136372018,chr5
Hs3st1,1.0784177059567948,1.2009605166383983,0.1089160886561125,0.2641887210799061,-0.1552726324237935,chr5
Prom1,0.9205332643108352,0.9389318550880358,-0.1194582392663531,-0.0909076397709068,-0.0285505994954463,chr5
Tapt1,0.8619827395138637,0.868915503256575,-0.2142691140498654,-0.20271220433754,-0.0115569097123253,chr5
Adgra3,1.149888526593014,1.1503189950321608,0.2014940090596754,0.2020339905038086,-0.0005399814441331,chr5
Sepsecs,0.9527881561124464,0.9382158368921616,-0.0697726153797529,-0.0920082414495984,0.0222356260698454,chr5
Tbc1d19,1.3444089859565471,1.1359052688955469,0.4269720906859719,0.1838425234048227,0.2431295672811492,chr5
Pgm2,0.9270300960414438,0.9662363508120532,-0.1093119181671625,-0.0495519654150474,-0.0597599527521151,chr5
Ugdh,1.0539157353477022,0.7492882129284609,0.0757595225199215,-0.4164073383085552,0.4921668608284767,chr5
Nsun7,0.8462342624676463,1.0714928345827304,-0.2408709959438935,0.0996222022808853,-0.3404931982247788,chr5
