GFP_state,Mecp2_state,count,percentage,chromosome
Mixed,Mixed,57,100.0,chr5
Mixed,Heterochromatin,1,1.4285714285714286,chr2
Mixed,Mixed,69,98.57142857142858,chr2
Mixed,Mixed,22,100.0,chr13
Mixed,Mixed,56,100.0,chr11
Mixed,Mixed,43,100.0,chr8
Mixed,Mixed,37,100.0,chr17
Mixed,Mixed,26,100.0,chr12
Mixed,Mixed,74,100.0,chr7
Mixed,Mixed,46,100.0,chr1
Mixed,Mixed,29,100.0,chr3
Mixed,Mixed,38,100.0,chr10
Heterochromatin,Heterochromatin,1,3.0303030303030303,chrX
Mixed,Mixed,32,96.96969696969695,chrX
Mixed,Mixed,28,100.0,chr14
Mixed,Mixed,11,100.0,chr18
Mixed,Mixed,15,100.0,chr19
Mixed,Mixed,25,100.0,chr16
Mixed,Mixed,42,100.0,chr6
Mixed,Mixed,36,100.0,chr15
Mixed,Mixed,54,100.0,chr9
Mixed,Mixed,58,100.0,chr4
