gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,ratio,state,cell_type,condition
Il7,chr3,7569994,7613760,-,7613760,7623760,1.8468561894098918,4.435440735379854,2.4016167370330375,Mixed,Neu,Mecp2
Ythdf3,chr3,16183212,16217037,+,16173212,16183212,4.590499963887532,4.2359058091084165,0.9227547854114735,Mixed,Neu,Mecp2
Gnb4,chr3,32580332,32616585,-,32616585,32626585,3.1203627230326334,1.7182706340154015,0.5506637485867156,Mixed,Neu,Mecp2
Atp11b,chr3,35754106,35856276,+,35744106,35754106,3.359354199727376,4.778275446812311,1.422379172520744,Mixed,Neu,Mecp2
Cog6,chr3,52981875,53017237,-,53017237,53027237,3.207109565258026,4.939306624825796,1.5401115940447787,Mixed,Neu,Mecp2
Mlf1,chr3,67374097,67400003,+,67364097,67374097,3.724304592291514,4.906650244164466,1.3174674956286192,Mixed,Neu,Mecp2
Trim2,chr3,84160439,84306877,-,84306877,84316877,4.901514898777008,4.307876024731,0.8788866531459225,Mixed,Neu,Mecp2
Lrba,chr3,86224680,86782692,+,86214680,86224680,3.7517078410784404,4.498057400981585,1.1989359490446367,Mixed,Neu,Mecp2
Bcan,chr3,87987531,88000230,-,88000230,88010230,4.695696670850118,3.6309308082660032,0.773246455804108,Mixed,Neu,Mecp2
Iqgap3,chr3,88081971,88121048,+,88071971,88081971,4.97449539677302,4.865877532823881,0.9781650488570962,Mixed,Neu,Mecp2
Fdps,chr3,89093588,89101959,-,89101959,89111959,4.7736768940289815,5.12888225764831,1.07440917588361,Mixed,Neu,Mecp2
Ints3,chr3,90391388,90433622,-,90433622,90443622,5.730983810424806,4.256670885594685,0.7427469744115648,Mixed,Neu,Mecp2
Ilf2,chr3,90476126,90488379,+,90466126,90476126,4.51712703371048,3.981471050477028,0.8814166661163276,Mixed,Neu,Mecp2
Ankrd35,chr3,96670131,96691032,+,96660131,96670131,4.621047711213429,3.5973746834596,0.7784759881899108,Mixed,Neu,Mecp2
Pias3,chr3,96696384,96706070,+,96686384,96696384,5.572334733263652,3.9774364888350164,0.713782764178181,Mixed,Neu,Mecp2
Wnt2b,chr3,104945272,104961921,-,104961921,104971921,5.639514844290416,3.761551156826814,0.6669990700769413,Mixed,Neu,Mecp2
Kcna2,chr3,107101146,107115005,+,107091146,107101146,4.342343096574147,5.1240081954797105,1.1800099811372,Mixed,Neu,Mecp2
Slc6a17,chr3,107467543,107518018,-,107518018,107528018,4.128815203952789,4.640258258255323,1.1238716263718695,Mixed,Neu,Mecp2
Sypl2,chr3,108211472,108226648,-,108226648,108236648,4.183151330947876,4.620532207520802,1.104557746533597,Mixed,Neu,Mecp2
Wdr47,chr3,108591279,108645719,+,108581279,108591279,5.938214629713694,5.066291781767209,0.8531675087014287,Mixed,Neu,Mecp2
Tram1l1,chr3,124320855,124324743,+,124310855,124320855,2.7557016442616784,5.575528809507688,2.023270124731341,Mixed,Neu,Mecp2
Mcub,chr3,129914960,129970206,-,129970206,129980206,3.701463947168986,3.48419507680734,0.9413019082550241,Mixed,Neu,Mecp2
Rpl34,chr3,130726831,130730398,-,130730398,130740398,4.872376610279082,4.401713009659449,0.9034016377907466,Mixed,Neu,Mecp2
Dkk2,chr3,132085292,132180304,+,132075292,132085292,3.056610374927521,5.354746653930346,1.7518577761345584,Mixed,Neu,Mecp2
Pdha2,chr3,141210004,141212355,-,141212355,141222355,2.4250230487187703,4.381479486862818,1.806778491931331,Mixed,Neu,Mecp2
2410004B18Rik,chr3,145938014,145944829,+,145928014,145938014,5.279941230932872,4.032794984976451,0.763795430401775,Mixed,Neu,Mecp2
Mcoln2,chr3,146149833,146195513,+,146139833,146149833,5.5449586807886755,4.750341464134057,0.8566955567391897,Mixed,Neu,Mecp2
Acadm,chr3,153922357,153944632,-,153944632,153954632,4.276283650875092,4.474536169139544,1.0463609373115093,Mixed,Neu,Mecp2
Lrrc7,chr3,158082891,158562221,-,158562221,158572221,4.145314442125956,5.111532950639725,1.2330869037809917,Mixed,Neu,Mecp2
